"","Year NA","Rep NA","Site ","Date ","Microsite ","ID.notes NA","species","abun"
"1",2023,1,"Barstow","2023-04-15","shrub",NA,"Rafinesquia.neomexicana desert chicory",1
"2",2023,1,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",2
"3",2023,1,"Barstow","2023-04-15","shrub",NA,"Malacothrix.glabrata NA",1
"4",2023,1,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",9
"5",2023,1,"Barstow","2023-04-15","open",NA,"Logfia.depressa yellow stamen",30
"6",2023,2,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",7
"7",2023,2,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",1
"8",2023,2,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",32
"9",2023,3,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",1
"10",2023,3,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",1
"11",2023,3,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",13
"12",2023,4,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",6
"13",2023,4,"Barstow","2023-04-15","shrub",NA,"Menzelia.sp. NA",1
"14",2023,4,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",1
"15",2023,4,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",26
"16",2023,4,"Barstow","2023-04-15","open",NA,"Logfia.depressa yellow stamen",1
"17",2023,6,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",8
"18",2023,6,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",8
"19",2023,6,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",4
"20",2023,6,"Barstow","2023-04-15","open",NA,"Crypantha.sp. NA",1
"21",2023,6,"Barstow","2023-04-15","open",NA,"Logfia.depressa yellow stamen",14
"22",2023,7,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",10
"23",2023,7,"Barstow","2023-04-15","shrub",NA,"Crypantha.sp. NA",4
"24",2023,7,"Barstow","2023-04-15","shrub",NA,"Logfia.depressa yellow stamen",26
"25",2023,7,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",1
"26",2023,7,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",20
"27",2023,7,"Barstow","2023-04-15","open",NA,"Logfia.depressa yellow stamen",1
"28",2023,7,"Barstow","2023-04-15","open",NA,"Malacothrix.glabrata NA",2
"29",2023,8,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",2
"30",2023,8,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",2
"31",2023,8,"Barstow","2023-04-15","shrub",NA,"Malacothrix.glabrata NA",1
"32",2023,8,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",36
"33",2023,9,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",13
"34",2023,9,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",5
"35",2023,9,"Barstow","2023-04-15","open",NA,"Crypantha.sp. NA",4
"36",2023,9,"Barstow","2023-04-15","open",NA,"Pectocarya.sp. NA",1
"37",2023,9,"Barstow","2023-04-15","open",NA,"Malacothrix.glabrata NA",1
"38",2023,10,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",1
"39",2023,10,"Barstow","2023-04-15","shrub",NA,"Crypantha.sp. NA",2
"40",2023,10,"Barstow","2023-04-15","shrub",NA,"Brassica.tournefortii sahara mustard",1
"41",2023,10,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",5
"42",2023,10,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",10
"43",2023,11,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",17
"44",2023,11,"Barstow","2023-04-15","shrub",NA,"Crypantha.sp. NA",1
"45",2023,11,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",1
"46",2023,11,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",21
"47",2023,11,"Barstow","2023-04-15","open",NA,"Crypantha.sp. NA",1
"48",2023,11,"Barstow","2023-04-15","open",NA,"Logfia.depressa yellow stamen",8
"49",2023,12,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",5
"50",2023,12,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",2
"51",2023,12,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",10
"52",2023,12,"Barstow","2023-04-15","open",NA,"Crypantha.sp. NA",3
"53",2023,12,"Barstow","2023-04-15","open",NA,"Pectocarya.sp. NA",1
"54",2023,12,"Barstow","2023-04-15","open",NA,"Logfia.depressa yellow stamen",2
"55",2023,13,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",16
"56",2023,13,"Barstow","2023-04-15","shrub",NA,"Crypantha.sp. NA",1
"57",2023,13,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",1
"58",2023,13,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",13
"59",2023,13,"Barstow","2023-04-15","open",NA,"Crypantha.sp. NA",2
"60",2023,14,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",8
"61",2023,14,"Barstow","2023-04-15","shrub",NA,"Brassica.tournefortii sahara mustard",1
"62",2023,14,"Barstow","2023-04-15","shrub",NA,"Pectocarya.sp. NA",1
"63",2023,14,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",2
"64",2023,14,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",30
"65",2023,14,"Barstow","2023-04-15","open",NA,"Chylismia.brevipes yellow primrose",1
"66",2023,15,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",3
"67",2023,15,"Barstow","2023-04-15","shrub",NA,"Crypantha.sp. NA",5
"68",2023,15,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",3
"69",2023,15,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",27
"70",2023,16,"Barstow","2023-04-15","shrub",NA,"Crypantha.sp. NA",2
"71",2023,16,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",1
"72",2023,16,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",23
"73",2023,16,"Barstow","2023-04-15","open",NA,"Logfia.depressa yellow stamen",2
"74",2023,17,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",2
"75",2023,17,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",6
"76",2023,17,"Barstow","2023-04-15","shrub",NA,"Malacothrix.glabrata NA",2
"77",2023,17,"Barstow","2023-04-15","open",NA,"Chaenactis.fremonti pincushion",4
"78",2023,17,"Barstow","2023-04-15","open",NA,"Malacothrix.glabrata NA",1
"79",2023,18,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",16
"80",2023,18,"Barstow","2023-04-15","shrub",NA,"Menzelia.sp. NA",1
"81",2023,18,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",2
"82",2023,18,"Barstow","2023-04-15","shrub",NA,"Malacothrix.glabrata NA",2
"83",2023,18,"Barstow","2023-04-15","open",NA,"Schismus.barbatus med grass",19
"84",2023,18,"Barstow","2023-04-15","open",NA,"Crypantha.sp. NA",1
"85",2023,19,"Barstow","2023-04-15","shrub",NA,"Schismus.barbatus med grass",13
"86",2023,19,"Barstow","2023-04-15","shrub",NA,"Crypantha.sp. NA",2
"87",2023,19,"Barstow","2023-04-15","shrub",NA,"Chaenactis.fremonti pincushion",3
