,Year NA,Rep NA,Site ,Date ,Microsite ,ID.notes NA,species,abun
2277,2024,22,Tecopa,2024-04-16,open,,Achyronychia.cooperi,1
1545,2024,4,HOM,2024-04-25,shrub,NA,Acmispon.strigosus,1
1551,2024,5,HOM,2024-04-25,open,NA,Acmispon.strigosus,2
1563,2024,9,HOM,2024-04-25,open,NA,Acmispon.strigosus,1
1570,2024,11,HOM,2024-04-25,shrub,NA,Acmispon.strigosus,1
1573,2024,11,HOM,2024-04-25,open,NA,Acmispon.strigosus,1
1582,2024,14,HOM,2024-04-25,shrub,NA,Acmispon.strigosus,1
1598,2024,16,HOM,2024-04-25,open,NA,Acmispon.strigosus,1
1600,2024,17,HOM,2024-04-25,shrub,NA,Acmispon.strigosus,1
1602,2024,17,HOM,2024-04-25,open,NA,Acmispon.strigosus,2
1613,2024,19,HOM,2024-04-25,shrub,NA,Acmispon.strigosus,1
1614,2024,19,HOM,2024-04-25,open,NA,Acmispon.strigosus,2
1618,2024,20,HOM,2024-04-25,open,NA,Acmispon.strigosus,1
1715,2024,39,HOM,2024-04-25,open,NA,Acmispon.strigosus,1
2623,2024,23,Yucca,2024-04-21,shrub,NA,Acmispon.strigosus,2
2637,2024,24,Yucca,2024-04-21,open,NA,Acmispon.strigosus,1
764,2024,6,Cuyama 1,2024-05-01,open,NA,Acmispon.wrangelianus,1
1272,2024,27,Cuyama 2,2024-04-30,open,NA,Acmispon.wrangelianus,1
2501,2024,4,Yucca,2024-04-21,open,NA,Aliciella.leptomeria,1
2442,2023,22,Yucca,2023-04-17,shrub,NA,Allium.nevadense,1
2447,2023,23,Yucca,2023-04-17,shrub,NA,Allium.nevadense,1
1536,2024,2,HOM,2024-04-25,shrub,NA,Ambrosia.salsola,1
2175,2024,3,Tecopa,2024-04-16,open,,Ambrosia.salsola,1
198,2024,13,Barstow,2024-04-15,shrub,NA,Amsinckia.tesselata,1
482,2023,26,Cuyama 1,2023-04-28,open,NA,Amsinckia.tesselata,1
930,2024,29,Cuyama 1,2024-05-01,shrub,NA,Amsinckia.tesselata,1
1827,2024,16,Sheephole,2024-04-20,shrub,NA,Amsinckia.tesselata,2
1877,2024,25,Sheephole,2024-04-20,shrub,NA,Amsinckia.tesselata,1
2357,2023,5,Yucca,2023-04-17,shrub,NA,Amsinckia.tesselata,1
370,2023,10,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,1
374,2023,11,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,1
383,2023,13,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,3
389,2023,14,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,6
400,2023,16,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,1
415,2023,18,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,4
452,2023,22,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,1
459,2023,23,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,3
474,2023,25,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,3
481,2023,26,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,1
489,2023,27,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,2
498,2023,28,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,1
511,2023,30,Cuyama 1,2023-04-28,open,NA,Astragalus.didymocarpus,3
772,2024,7,Cuyama 1,2024-05-01,shrub,NA,Astragalus.didymocarpus,1
876,2024,21,Cuyama 1,2024-05-01,open,NA,Astragalus.didymocarpus,1
883,2024,22,Cuyama 1,2024-05-01,open,NA,Astragalus.didymocarpus,1
890,2024,23,Cuyama 1,2024-05-01,open,NA,Astragalus.didymocarpus,3
