Year,Rep,Site,Date,Microsite,shrub species,ID notes,Schismus barbatus,Crypantha sp.,Lepidium fremontii ,Nama demissa,Monoptilon bellioides,Stephanomeria exigua,Plantago ovata,Chorizanthe brevicornu,Eriophyllum wallacei,Chylismia caliviformis,Menzelia sp.,Loeseliastrum schotti,Eschscholzia minutiflora,Eriogonum reniforme,Pectocarya,Salvia columbariae,Chorizanthhe rigida,Chylismia brevipes,Rafinesquia neomexicana,Brassica tournefortii,Pectocarya sp.,Linanthus dumosa,Eriogonum,Logfila depressa,Chaenactis fremonti,Malacothrix glabrata,Stylocline,Erodium cicutarium,Bromus rubens,Lasthenia californica,Eremalche parryi,woolystar?,Camissonia campestris,Hordeum murinum,Astragalus didymocarpus/lentigonsus,Bromus diandrus,Castilleja exserta,Bromus diandrus?,Poa secunda?,Bromus tectorum?,Bromus diandrs?,Salvia carduacea,Amsinckia,small grass,white phace vine,Phacelia tanacetifolia,Lastarriaea coriacea,Eriophyllum pringlei,,Eriogonum,Eremocarya??,Eschscholzia Glyptosperma,Geranium californicum,Phacelia fremontii,,Chaenactis carphoclinia,Cryptantha nevadensis,Astragalus nuttallianus?,Lepidium,Festuca?,Globemallow?,Lupinus sp.,,Allium?,Dasyochloa pulchella
,,,,,,,med grass,,,,,,,long leaf/spiky HOM,wallace wooly,brown-eyed primrose,,little sunbonnets,,,long with tiny whitish flowers,,furry leaf with spikes,yellow primrose,desert chicory,sahara mustard,,,yellow flowered,yellow stamen,pincushion,,,,,Gokldfields,purple,unknown white fuzzy on leaves cuy 1/unknown bud,yellow cuyama,barley,purple pinnate,ripgut brome,purple cone,tall slender grass,bluestem,cuyama grass1,cuyama grass2,"fuzzy purple, thistle sage",,,,,spiky,low fuzzy yello,red and yellow,"dried out, sheephole",white fuzzy hom,,"california geranium, drawn outline",,tiny buckwheat,slender green YG,,milkvetch,lepium YG,shhort grass Yg,like bells,lupine,flat round,unknown YG,fluffy white
2023,1,Sheephole,2023-04-20,shrub,EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,Sheephole,2023-04-20,open,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,Sheephole,2023-04-20,shrub,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,Sheephole,2023-04-20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,Sheephole,2023-04-20,shrub,EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,Sheephole,2023-04-20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4,Sheephole,2023-04-20,shrub,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4,Sheephole,2023-04-20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,5,Sheephole,2023-04-20,shrub,EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,5,Sheephole,2023-04-20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,6,Sheephole,2023-04-20,shrub,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,6,Sheephole,2023-04-20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2023,7,Sheephole,2023-04-20,shrub,EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,7,Sheephole,2023-04-20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,8,Sheephole,2023-04-20,shrub,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,8,Sheephole,2023-04-20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9,Sheephole,2023-04-20,shrub,EC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9,Sheephole,2023-04-20,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,10,Sheephole,2023-04-20,shrub,LT,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
