Year,Rep,Site,Date,Microsite,shrub species,ID notes,Schismus barbatus,Crypantha sp.,Lepidium lasiocarpum,Chorizanthe brevicornu,Eriophyllum wallacei,Chylismia caliviformis,Menzelia sp.,Loeseliastrum schotti,Pectocarya,Chorizanthhe rigida,Chylismia brevipes,Rafinesquia neomexicana,Brassica tournefortii,Pectocarya sp.,Linanthus dumosa,Eriogonum,tiny fuzzy white,Chaenactis fremonti,Malacothrix glabrata,Erodium cicutarium,Bromus rubens,Plantago ovata,Ambrosia salsola,Unknown,Euphorbia setiloba,Stylocline
,,,,,,,med grass,,,long leaf/spiky HOM,wallace wooly,brown-eyed primrose/white cup,,little sunbonnets,long with tiny whitish flowers,furry leaf with spikes,yellow primrose,desert chicory,sahara mustard,,,yellow flowered,yellow stamen,pincushion,,,,,slender green,red stem unknown,dried red,
2023,1,Tecopa,2023-04-11,shrub,,,136,4,1,1,,,,,,,,,,,,,,,,,,,,,,
2023,1,Tecopa,2023-04-11,open,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,Tecopa,2023-04-11,shrub,,,94,2,1,,,,,,,,,,1,,,,,,,,,,,,,
2023,2,Tecopa,2023-04-11,open,,2 of the grasses are larger,72,,2,,4,,,,1,,,,,,,,,,,,,,,,,
2023,3,Tecopa,2023-04-11,shrub,,,82,3,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,Tecopa,2023-04-11,open,,,70,6,1,,3,1,,1,,,,,,,,,,,,,,,,,,
2023,4,Tecopa,2023-04-11,shrub,,5 are larger,64,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4,Tecopa,2023-04-11,open,,,59,,1,,,,,,,,,,,,,,,,,,,,,,,
2023,5,Tecopa,2023-04-11,shrub,,,72,18,,,1,2,,1,,,,,,,,,,,,,,,,,,
2023,5,Tecopa,2023-04-11,open,,,40,16,,,,1,,,,,,,,,,,,,,,,,,,,
2023,6,Tecopa,2023-04-11,shrub,,,73,5,,,1,1,,,,,,,,,,,,,,,,,,,,
2023,6,Tecopa,2023-04-11,open,,,47,10,2,,,,,,,,,,,,,,,,,,,,,,,
2023,7,Tecopa,2023-04-11,shrub,,,82,7,,,,,2,2,5,,,,,,,,,,,,,,,,,
2023,7,Tecopa,2023-04-11,open,,,37,7,,,,,,11,11,,,,,,,,,,,,,,,,,
2023,8,Tecopa,2023-04-11,shrub,,,64,2,1,,,,,,,,,,,,,,,,,,,,,,,
2023,8,Tecopa,2023-04-11,open,,,51,9,1,,,,1,2,,,,,,,,,,,,,,,,,,
2023,9,Tecopa,2023-04-11,shrub,,,70,4,,,,,,,1,,,,,,,,,,,,,,,,,
2023,9,Tecopa,2023-04-11,open,,,36,3,,,,2,,,,,,,,,,,,,,,,,,,,
2023,10,Tecopa,2023-04-11,shrub,,,78,3,,,,,,,,,,,,,,,,,,,,,,,,
2023,10,Tecopa,2023-04-11,open,,,28,2,,,,5,,1,1,,,,,,,,,,,,,,,,,
2023,11,Tecopa,2023-04-11,shrub,,,54,1,1,,1,3,,,,,,,,,,,,,,,,,,,,
2023,11,Tecopa,2023-04-11,open,,,29,5,,,4,,,3,,1,,,,,,,,,,,,,,,,
2023,12,Tecopa,2023-04-11,shrub,,,59,7,,,,,,,,,1,,,,,,,,,,,,,,,
2023,12,Tecopa,2023-04-11,open,,,36,3,,,,2,,,,1,1,,,,,,,,,,,,,,,
2023,13,Tecopa,2023-04-11,shrub,,4 grasses were larger,47,1,,,,,,,,,1,1,2,,,,,,,,,,,,,
2023,13,Tecopa,2023-04-11,open,,,19,1,,,,,,,,,,,,,,,,,,,,,,,,
