Year,Rep,Site,Date,Microsite,ID notes,Schismus barbatus,Crypantha sp.,Oenothera cespitosa,Nemacladus,Lepidium fremontii ,Gilia clokeyi,Dasyochloa pulchella,Descurainia pinnata,Aliciella leptomeria,Acmispon strigosus,Chorizanthe brevicornu,Oxytheca perfoliata,Chaenactis carphoclinia,Caulanthus lasiophyllus,Eriophyllum wallacei,Chylismia caliviformis,unknown YG1,Menzelia sp.,Loeseliastrum schotti,Pectocarya,Chorizanthhe rigida,Chylismia brevipes,Rafinesquia neomexicana,Brassica tournefortii,Pectocarya sp.,Linanthus dumosa,Eriogonum,tiny fuzzy white,Chaenactis fremonti,Malacothrix glabrata,Erodium cicutarium,Bromus rubens,Lasthenia californica,Eremalche parryi,woolystar?,Camissonia campestris,Hordeum murinum,Astragalus didymocarpus/lentigonsus,Bromus diandrus,Castilleja exserta,Bromus diandrus?,Poa secunda?,Bromus tectorum?,Bromus diandrs?,Salvia carduacea,Amsinckia,small grass,white phace vine,Phacelia tanacetifolia,Lastarriaea coriacea,Eriophyllum pringlei,unk,Eriogonum,Eremocarya??,Eschscholzia Glyptosperma,Geranium californicum,Phacelia fremontii,tiny buckwheat,Cryptantha nevadensis,Astragalus nuttallianus?,Lepidium,Festuca octoflora,Globemallow?,Lupinus sp.,unk,Allium?
,,,,,,med grass,,,tiny rosette,,,fluffy white,,,,long leaf/spiky HOM,,slender green YG,,wallace wooly,brown-eyed primrose,,,little sunbonnets,long with tiny whitish flowers,furry leaf with spikes,yellow primrose,desert chicory,sahara mustard,,,yellow flowered,yellow stamen,pincushion,,,,Gokldfields,purple,unknown white fuzzy on leaves cuy 1/unknown bud,yellow cuyama,barley,purple pinnate,ripgut brome,purple cone,tall slender grass,bluestem,cuyama grass1,cuyama grass2,"fuzzy purple, thistle sage",,,,,spiky,low fuzzy yello,red and yellow,"dried out, sheephole",white fuzzy hom,,"california geranium, drawn outline",,tiny buckwheat,,milkvetch,lepium YG,shhort grass Yg,like bells,lupine,flat round,unknown YG
2023,1,Yucca,2023-04-17,shrub,,54,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,Yucca,2023-04-17,shrub,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,
2023,2,Yucca,2023-04-17,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2023,3,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
2023,3,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4,Yucca,2023-04-17,shrub,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,5,Yucca,2023-04-17,shrub,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,51,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,
2023,5,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,6,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2023,6,Yucca,2023-04-17,open,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2023,7,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,7,Yucca,2023-04-17,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,8,Yucca,2023-04-17,shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
