Rep,Microsite,shrub.species,Schismus barbartus,Chaenactis fremontii,Malacothrix glabrata,Pectocarya,Erodium ,Logfia depressa,dried spiky,Crypthantha,Pectocarya,"Red stem, white compound flower",Saharamustard,Amsinkia tesselata,Small cryptantha,Desert chicory,Mentzelia
,,,schis,pincushion,mal,pecto,erod,tiny white fuzzy,dried spiky,large crypht,pecto,,,,,,
1,shrub,larrea,4,1,1,,,,,,,,,,,,
1,open,larrea,49,,,,,,,,,,,,,,
2,shrub,larrea,1,4,,,,,,,,,,,,,
2,open,larrea,76,,,1,1,2,,,,,,,,,
3,shrub,larrea,14,1,,,,,,,,,,,,,
3,open,larrea,67,,,,,,,,,,,,,,
4,shrub,larrea,4,2,,,,,,,,,,,,,
4,open,larrea,46,,,,,,,,,,,,,,
5,shrub,larrea,58,,,1,,3,,,,,,,,,
5,open,larrea,49,1,,,,,,,,,,,,,
6,shrub,larrea,16,,,,,,,,,,,,,,
6,open,larrea,79,,,,,,8,,,,,,,,
7,shrub,larrea,31,2,,,,,1,,,,,,,,
7,open,larrea,94,,,,,7,,,,,,,,,
8,shrub,larrea,14,1,,2,,,,1,,,,,,,
8,open,larrea,48,1,,,,12,,,,,,,,,
9,shrub,larrea,9,2,,4,,,,,,,,,,,
9,open,larrea,37,,,,1,3,,,,,,,,,
10,shrub,larrea,30,1,,,1,,,,,,,,,,
10,open,larrea,65,,,,,,1,,,,,,,,
11,shrub,larrea,2,1,,,,,,1,,,,,,,
11,open,larrea,79,,,,,,,,,1,,,,,
12,shrub,larrea,15,2,,,,,,1,,,,,,,
12,open,larrea,77,,,,,,,,,,,,,,
13,shrub,larrea,26,,,,,,,,,,,1,,,
13,open,larrea,29,,,,2,,,,,,,,,,
14,shrub,larrea,15,6,,,,,,,,,,,,,
14,open,larrea,56,,,,,,2,,,,,,,,
15,shrub,larrea,1,1,,,,,,,,,,,,,
15,open,larrea,79,,,,,1,,,,,,,,,
16,shrub,larrea,22,,,1,1,6,,,,,,,,,
16,open,larrea,45,,,,,,,,,,,,,,
17,shrub,larrea,4,1,,,,,,,,,,,,,
17,open,larrea,51,,,,,,,,,,,,,,
18,shrub,larrea,,2,,,,,,,,,,,,,
18,open,larrea,81,,,,,,,,,,,,,,
19,shrub,larrea,13,,,1,,,,,,,,,,,
19,open,larrea,54,,,,1,1,,1,,,,,,,
20,shrub,larrea,9,,2,,,,,,,,,,,,
20,open,larrea,48,,,,,,,,,,,,,,
21,shrub,larrea,6,1,,,,,,,,,,,,,
21,open,larrea,78,,,,,18,,,,,,,,,
22,shrub,larrea,1,,1,,,,,,,,1,,,,
22,open,larrea,76,,,,,,,,,,,,,,
23,shrub,larrea,9,1,1,,,,,,,,,,,,
23,open,larrea,77,,,,,,,,,1,,,,,
24,shrub,larrea,2,2,,,,1,,,,,,,,,
24,open,larrea,56,2,,,,,,,,,,,,,
25,shrub,larrea,6,2,,,,,,,,,,,,,
25,open,larrea,45,,,1,,11,,,,,,,,,
26,shrub,larrea,24,,,,,,,,,,,,,,
26,open,larrea,56,,,,,,1,,,,,,1,,
27,shrub,larrea,7,2,,,,,,,,,,,,,
27,open,larrea,70,,,,,,1,,,,,,,,
28,shrub,larrea,5,,,,,,,,,,,,,,
28,open,larrea,118,,,,,,,,,,,,2,,
29,shrub,larrea,38,,,,,,,,,,,,,,
29,open,larrea,104,1,,,,,,1,,,,,,,
30,shrub,larrea,6,,,,,,,,,,,,,1,
30,open,larrea,84,,,,,,,2,,,,,,,
31,shrub,larrea,12,1,,,,,,,,,,,,,
31,open,larrea,60,,,,,,3,,,,,,,,
32,shrub,larrea,5,,,,,,,,,,,,,,
32,open,larrea,47,,,,,,,,,,,,,,
33,shrub,larrea,18,1,,,,,,,,,,,,,1
33,open,larrea,23,,,,,,,,,,,,,,
34,shrub,larrea,12,,,,,,,,,,,,,,
34,open,larrea,76,,,,,11,,,,,,,,,
35,shrub,larrea,28,2,,,,,,,,,,,,,
35,open,larrea,44,,,,,,,,,,,,,,
36,shrub,larrea,2,1,,,,,,,,,,,,,
36,open,larrea,106,,,,,3,1,,,,,,,,
37,shrub,larrea,42,,,,,,,,,,,,,,
37,open,larrea,66,,,,,5,,,,,,,,,
38,shrub,larrea,20,3,,3,,3,,,,,,,,,
38,open,larrea,46,,,,,1,,1,,,,,,,
39,shrub,larrea,8,4,,,,,,,,,,,,,
39,open,larrea,88,,,,,,,,,,,,,,
40,shrub,larrea,23,3,,,1,,,,,,,,,,
40,open,larrea,48,3,,,1,,1,,,,,,,,
