,year,Season,site,label,count,highest.rtu,Order,Family,Tribe,Genus,Species,X,X.1
13,2023,spring,Barstow,S9,1,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
3,2023,spring,Barstow,O19,2,,Hymenoptera,Formicidae,,Forelius,mccooki,,
1,2023,spring,Barstow,O14,3,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
2,2023,spring,Barstow,O19,2,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
4,2023,spring,Barstow,O20,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
5,2023,spring,Barstow,O30,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
7,2023,spring,Barstow,S15,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
9,2023,spring,Barstow,S20,3,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
10,2023,spring,Barstow,S24,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
11,2023,spring,Barstow,S25,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
207,2024,spring,Barstow,O9,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
211,2024,spring,Barstow,S29,3,,Hymenoptera,Formicidae,,Messor,Messor pergandei,blackones,
215,2024,spring,Barstow,S5,1,,Hymenoptera,Formicidae,,Messor,Messor pergandei,,
6,2023,spring,Barstow,O9,1,,Hymenoptera,Formicidae,,Myrmecocystus,brown,,
8,2023,spring,Barstow,S19,1,,Hymenoptera,Formicidae,,Myrmecocystus,brown,,
12,2023,spring,Barstow,S30,1,,Hymenoptera,Formicidae,,Solenopsis,Solenopsis xyloni,,
208,2024,spring,Barstow,S10,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
209,2024,spring,Barstow,S20,10,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
210,2024,spring,Barstow,S24,3,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
212,2024,spring,Barstow,S30,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
213,2024,spring,Barstow,S39,3,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
214,2024,spring,Barstow,S4,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
98,2023,summer,Cuyama1,S30,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
90,2023,summer,Cuyama1,O20,20,,Hymenoptera,Formicidae,,Messor,pergandei,,
93,2023,summer,Cuyama1,O29,85,,Hymenoptera,Formicidae,,Messor,pergandei,,
14,2023,spring,Cuyama1,O5,1,,Hymenoptera,Formicidae,,Myrmecocystus,alate or queen,,
87,2023,summer,Cuyama1,O14,1,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
88,2023,summer,Cuyama1,O15,1,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
94,2023,summer,Cuyama1,O4,2,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
96,2023,summer,Cuyama1,S14,1,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
92,2023,summer,Cuyama1,O29,2,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
95,2023,summer,Cuyama1,S14,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
97,2023,summer,Cuyama1,S29,1,,Hymenoptera,Formicidae,,Pheidole,"major, damaged",,
91,2023,summer,Cuyama1,O24,1,,Hymenoptera,Formicidae,,Pheidole?,alate,,
15,2023,spring,Cuyama1,S10,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,,
89,2023,summer,Cuyama1,O15,1,,Hymenoptera,Formicidae,,Solenopsis,xyloni,alate,
107,2023,summer,Cuyama2,O19,2,,Hymenoptera,Formicidae,,alate,,,
22,2023,spring,Cuyama2,S25,1,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
100,2023,summer,Cuyama2,O10,3,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
124,2023,summer,Cuyama2,O9,2,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
126,2023,summer,Cuyama2,S10,3,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
134,2023,summer,Cuyama2,S4,1,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
136,2023,summer,Cuyama2,S9,1,,Hymenoptera,Formicidae,,Dorymyrmex,insanus,,
17,2023,spring,Cuyama2,O10,1,,Hymenoptera,Formicidae,,Forelius,pruiosis,,
18,2023,spring,Cuyama2,O20,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
101,2023,summer,Cuyama2,O10,2,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
105,2023,summer,Cuyama2,O19,4,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
109,2023,summer,Cuyama2,O2,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
111,2023,summer,Cuyama2,O24,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
116,2023,summer,Cuyama2,O25,1,,Hymenoptera,Formicidae,,Forelius,pruinosis,,
119,2023,summer,Cuyama2,O30,1,,Hymenoptera,Formicidae,,Messor ,pergandei,,
110,2023,summer,Cuyama2,O24,2,,Hymenoptera,Formicidae,,Myrmecocystus,myrmecocystus,,
120,2023,summer,Cuyama2,O30,1,,Hymenoptera,Formicidae,,Myrmecocystus,kennedyi?,,
16,2023,spring,Cuyama2,O10,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
20,2023,spring,Cuyama2,S10,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
102,2023,summer,Cuyama2,O14,1,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
104,2023,summer,Cuyama2,O15,2,,Hymenoptera,Formicidae,,Pheidole,hyatti,,
