slide.id,rep,color,sample,ant.species,year,Season,site,webers,mandible,
2,1,red,S9,Dorymyrmex insanus,2023,spring,Barstow,0.839,0.399,
2,4,pink,O19,Forelius mccooki,2023,spring,Barstow,0.66,0.285,
2,5,gold,O19,Forelius mccooki,2023,spring,Barstow,0.657,0.284,
1,1,red,S25,Messor pergandei,2023,spring,Barstow,1.962,0.862,
1,2,blue,O20,Messor pergandei,2023,spring,Barstow,1.834,0.816,
1,3,orange,S24,Messor pergandei,2023,spring,Barstow,1.468,0.706,
1,4,pink,S15,Messor pergandei,2023,spring,Barstow,1.029,0.48,
1,5,gold,S20,Messor pergandei,2023,spring,Barstow,1.576,0.731,
1,6,silver,S20,Messor pergandei,2023,spring,Barstow,2.061,0.933,
2,2,blue,S19,Myrmecocystus kennedyi,2023,spring,Barstow,0.913,0.58,
2,3,orange,O9,Myrmecocystus kennedyi,2023,spring,Barstow,1.05,0.553,
1,7,silver,S10,Solenopsis xyloni,,spring,Barstow,0.818,0.333,
1,8,gold,S30,Solenopsis xyloni,,spring,Barstow,0.9,0.384,
1,9,pink,S4,Solenopsis xyloni,,spring,Barstow,0.831,0.367,
1,10,orange,S39,Solenopsis xyloni,,spring,Barstow,0.803,0.303,
1,11,blue,S39,Solenopsis xyloni,,spring,Barstow,0.713,0.338,
1,12,red,S39,Solenopsis xyloni,,spring,Barstow,0.822,0.462,
5,11,gold,S30,Forelius pruinosis,2023,summer,Cuyama 1,0.662,0.27,
6,7,red,O20,Messor pergandei,2023,summer,Cuyama 1,2.243,1.054,
6,8,blue,O20,Messor pergandei,2023,summer,Cuyama 1,1.429,0.634,
6,9,orange,O20,Messor pergandei,2023,summer,Cuyama 1,1.808,0.714,
6,10,pink,O29,Messor pergandei,2023,summer,Cuyama 1,1.453,0.697,
6,11,gold,O29,Messor pergandei,2023,summer,Cuyama 1,1.928,0.891,
6,12,silver,O29,Messor pergandei,2023,summer,Cuyama 1,1.51,0.686,
6,1,red,O14,Myrmecocystus kennedyi,2023,summer,Cuyama 1,1.36,0.59,
6,2,blue,O15,Myrmecocystus kennedyi,2023,summer,Cuyama 1,1.421,0.587,
6,3,orange,O4,Myrmecocystus kennedyi,2023,summer,Cuyama 1,1.339,0.581,
6,4,pink,O4,Myrmecocystus kennedyi,2023,summer,Cuyama 1,1.62,0.585,
6,5,gold,S14,Myrmecocystus kennedyi,2023,summer,Cuyama 1,2.437,0.88,
5,10,pink,S15,Myrmecocystus testaceus,2024,spring,Cuyama 1,1.327,0.476,
6,6,silver,S14,Pheidole hyatti,2023,summer,Cuyama 1,0.886,0.373,
6,13,red,O29,Pheidole hyatti,2023,summer,Cuyama 1,0.997,0.418,
6,14,blue,O29,Pheidole hyatti,2023,summer,Cuyama 1,0.945,0.29,
5,7,red,S15,Solenopsis molesta,2024,spring,Cuyama 1,0.483,0.2,
5,8,blue,S19,Solenopsis molesta,2024,spring,Cuyama 1,0.632,0.291,
