"Plot Title: C2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597543, SEN S/N: 20597543)","Intensity, Lux (LGR S/N: 20597543, SEN S/N: 20597543)","Coupler Attached (LGR S/N: 20597543)","Coupler Detached (LGR S/N: 20597543)","Host Connected (LGR S/N: 20597543)","Stopped (LGR S/N: 20597543)","End Of File (LGR S/N: 20597543)"
1,06/30/23 09:00:00  PM,30.356,43.1,,,,,
2,06/30/23 09:30:00  PM,29.953,0.0,,,,,
3,06/30/23 10:00:00  PM,29.853,0.0,,,,,
4,06/30/23 10:30:00  PM,29.652,0.0,,,,,
5,06/30/23 11:00:00  PM,29.552,0.0,,,,,
6,06/30/23 11:30:00  PM,29.053,0.0,,,,,
7,07/01/23 12:00:00  AM,28.456,0.0,,,,,
8,07/01/23 12:30:00  AM,28.060,0.0,,,,,
9,07/01/23 01:00:00  AM,27.862,0.0,,,,,
10,07/01/23 01:30:00  AM,27.764,0.0,,,,,
11,07/01/23 02:00:00  AM,27.370,0.0,,,,,
12,07/01/23 02:30:00  AM,27.468,0.0,,,,,
13,07/01/23 03:00:00  AM,27.468,0.0,,,,,
14,07/01/23 03:30:00  AM,27.468,0.0,,,,,
15,07/01/23 04:00:00  AM,27.370,0.0,,,,,
16,07/01/23 04:30:00  AM,27.075,0.0,,,,,
17,07/01/23 05:00:00  AM,27.173,0.0,,,,,
18,07/01/23 05:30:00  AM,27.173,0.0,,,,,
19,07/01/23 06:00:00  AM,26.977,10.8,,,,,
20,07/01/23 06:30:00  AM,26.977,139.9,,,,,
21,07/01/23 07:00:00  AM,27.468,183.0,,,,,
22,07/01/23 07:30:00  AM,30.963,172.2,,,,,
23,07/01/23 08:00:00  AM,29.752,118.4,,,,,
24,07/01/23 08:30:00  AM,31.778,150.7,,,,,
25,07/01/23 09:00:00  AM,36.511,66133.8,,,,,
26,07/01/23 09:30:00  AM,49.632,198401.3,,,,,
27,07/01/23 10:00:00  AM,51.720,187379.0,,,,,
28,07/01/23 10:30:00  AM,49.496,5166.7,,,,,
29,07/01/23 11:00:00  AM,36.946,53.8,,,,,
30,07/01/23 11:30:00  AM,32.497,32.3,,,,,
31,07/01/23 12:00:00  PM,30.457,21.5,,,,,
32,07/01/23 12:30:00  PM,29.452,21.5,,,,,
33,07/01/23 01:00:00  PM,29.452,21.5,,,,,
34,07/01/23 01:30:00  PM,29.552,0.0,,,,,
35,07/01/23 02:00:00  PM,29.853,10.8,,,,,
36,07/01/23 02:30:00  PM,30.054,21.5,,,,,
37,07/01/23 03:00:00  PM,30.054,10.8,,,,,
38,07/01/23 03:30:00  PM,30.356,10.8,,,,,
39,07/01/23 04:00:00  PM,30.457,10.8,,,,,
40,07/01/23 04:30:00  PM,30.356,0.0,,,,,
41,07/01/23 05:00:00  PM,30.255,0.0,,,,,
42,07/01/23 05:30:00  PM,30.356,0.0,,,,,
43,07/01/23 06:00:00  PM,30.963,0.0,,,,,
44,07/01/23 06:30:00  PM,32.291,0.0,,,,,
45,07/01/23 07:00:00  PM,32.704,0.0,,,,,
46,07/01/23 07:30:00  PM,32.911,0.0,,,,,
47,07/01/23 08:00:00  PM,32.911,0.0,,,,,
48,07/01/23 08:30:00  PM,33.014,0.0,,,,,
49,07/01/23 09:00:00  PM,32.911,0.0,,,,,
50,07/01/23 09:30:00  PM,32.911,0.0,,,,,
51,07/01/23 10:00:00  PM,32.807,0.0,,,,,
52,07/01/23 10:30:00  PM,32.704,0.0,,,,,
53,07/01/23 11:00:00  PM,32.497,0.0,,,,,
54,07/01/23 11:30:00  PM,32.291,0.0,,,,,
55,07/02/23 12:00:00  AM,31.983,0.0,,,,,
56,07/02/23 12:30:00  AM,31.676,0.0,,,,,
57,07/02/23 01:00:00  AM,31.472,0.0,,,,,
58,07/02/23 01:30:00  AM,31.268,0.0,,,,,
59,07/02/23 02:00:00  AM,31.166,0.0,,,,,
60,07/02/23 02:30:00  AM,31.064,0.0,,,,,
61,07/02/23 03:00:00  AM,30.862,0.0,,,,,
62,07/02/23 03:30:00  AM,30.760,0.0,,,,,
63,07/02/23 04:00:00  AM,30.659,0.0,,,,,
64,07/02/23 04:30:00  AM,30.558,0.0,,,,,
65,07/02/23 05:00:00  AM,30.558,0.0,,,,,
66,07/02/23 05:30:00  AM,30.457,0.0,,,,,
67,07/02/23 06:00:00  AM,30.356,0.0,,,,,
68,07/02/23 06:30:00  AM,30.255,0.0,,,,,
69,07/02/23 07:00:00  AM,30.356,0.0,,,,,
70,07/02/23 07:30:00  AM,30.356,0.0,,,,,
71,07/02/23 08:00:00  AM,30.457,10.8,,,,,
72,07/02/23 08:30:00  AM,30.659,10.8,,,,,
73,07/02/23 09:00:00  AM,30.862,10.8,,,,,
74,07/02/23 09:30:00  AM,31.064,10.8,,,,,
75,07/02/23 10:00:00  AM,31.370,10.8,,,,,
76,07/02/23 10:30:00  AM,31.676,10.8,,,,,
77,07/02/23 11:00:00  AM,32.086,10.8,,,,,
78,07/02/23 11:30:00  AM,32.394,10.8,,,,,
79,07/02/23 12:00:00  PM,32.807,10.8,,,,,
80,07/02/23 12:30:00  PM,33.118,10.8,,,,,
81,07/02/23 01:00:00  PM,33.535,21.5,,,,,
82,07/02/23 01:30:00  PM,33.848,21.5,,,,,
83,07/02/23 02:00:00  PM,34.163,21.5,,,,,
84,07/02/23 02:30:00  PM,34.585,21.5,,,,,
85,07/02/23 03:00:00  PM,34.903,10.8,,,,,
86,07/02/23 03:30:00  PM,35.222,10.8,,,,,
87,07/02/23 04:00:00  PM,35.542,10.8,,,,,
88,07/02/23 04:30:00  PM,35.756,0.0,,,,,
89,07/02/23 05:00:00  PM,35.864,0.0,,,,,
90,07/02/23 05:30:00  PM,36.079,0.0,,,,,
91,07/02/23 06:00:00  PM,36.079,0.0,,,,,
92,07/02/23 06:30:00  PM,36.079,0.0,,,,,
93,07/02/23 07:00:00  PM,36.079,0.0,,,,,
94,07/02/23 07:30:00  PM,35.971,0.0,,,,,
95,07/02/23 08:00:00  PM,35.971,0.0,,,,,
96,07/02/23 08:30:00  PM,35.864,0.0,,,,,
97,07/02/23 09:00:00  PM,35.649,0.0,,,,,
98,07/02/23 09:30:00  PM,35.435,0.0,,,,,
99,07/02/23 10:00:00  PM,35.222,0.0,,,,,
100,07/02/23 10:30:00  PM,34.796,0.0,,,,,
101,07/02/23 11:00:00  PM,34.479,0.0,,,,,
102,07/02/23 11:30:00  PM,34.163,0.0,,,,,
103,07/03/23 12:00:00  AM,33.848,0.0,,,,,
104,07/03/23 12:30:00  AM,33.430,0.0,,,,,
105,07/03/23 01:00:00  AM,33.118,0.0,,,,,
106,07/03/23 01:30:00  AM,32.704,0.0,,,,,
107,07/03/23 02:00:00  AM,32.394,0.0,,,,,
108,07/03/23 02:30:00  AM,32.188,0.0,,,,,
109,07/03/23 03:00:00  AM,31.880,0.0,,,,,
110,07/03/23 03:30:00  AM,31.676,0.0,,,,,
111,07/03/23 04:00:00  AM,31.472,0.0,,,,,
112,07/03/23 04:30:00  AM,31.370,0.0,,,,,
113,07/03/23 05:00:00  AM,31.166,0.0,,,,,
114,07/03/23 05:30:00  AM,31.064,0.0,,,,,
115,07/03/23 06:00:00  AM,30.862,0.0,,,,,
116,07/03/23 06:30:00  AM,30.862,0.0,,,,,
117,07/03/23 07:00:00  AM,30.862,0.0,,,,,
118,07/03/23 07:30:00  AM,30.963,10.8,,,,,
119,07/03/23 08:00:00  AM,31.064,0.0,,,,,
120,07/03/23 08:30:00  AM,31.166,10.8,,,,,
121,07/03/23 09:00:00  AM,31.370,10.8,,,,,
122,07/03/23 09:30:00  AM,31.574,10.8,,,,,
123,07/03/23 10:00:00  AM,31.880,10.8,,,,,
124,07/03/23 10:30:00  AM,32.086,21.5,,,,,
125,07/03/23 11:00:00  AM,32.394,21.5,,,,,
126,07/03/23 11:30:00  AM,32.807,0.0,,,,,
127,07/03/23 12:00:00  PM,33.014,0.0,,,,,
128,07/03/23 12:30:00  PM,33.222,0.0,,,,,
129,07/03/23 01:00:00  PM,33.639,0.0,,,,,
130,07/03/23 01:30:00  PM,33.953,0.0,,,,,
131,07/03/23 02:00:00  PM,34.163,0.0,,,,,
132,07/03/23 02:30:00  PM,34.479,0.0,,,,,
133,07/03/23 03:00:00  PM,34.796,0.0,,,,,
134,07/03/23 03:30:00  PM,35.009,0.0,,,,,
135,07/03/23 04:00:00  PM,35.328,0.0,,,,,
136,07/03/23 04:30:00  PM,35.435,0.0,,,,,
137,07/03/23 05:00:00  PM,35.649,0.0,,,,,
138,07/03/23 05:30:00  PM,35.756,0.0,,,,,
139,07/03/23 06:00:00  PM,35.864,0.0,,,,,
140,07/03/23 06:30:00  PM,35.756,0.0,,,,,
141,07/03/23 07:00:00  PM,35.756,0.0,,,,,
142,07/03/23 07:30:00  PM,35.864,0.0,,,,,
143,07/03/23 08:00:00  PM,35.756,0.0,,,,,
144,07/03/23 08:30:00  PM,34.268,0.0,,,,,
145,07/03/23 09:00:00  PM,33.743,0.0,,,,,
146,07/03/23 09:30:00  PM,33.535,0.0,,,,,
147,07/03/23 10:00:00  PM,33.222,0.0,,,,,
148,07/03/23 10:30:00  PM,32.911,0.0,,,,,
149,07/03/23 11:00:00  PM,32.704,0.0,,,,,
