"Plot Title: 10641598"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10641598, SEN S/N: 10641598)","Intensity, Lux (LGR S/N: 10641598, SEN S/N: 10641598)","Coupler Detached (LGR S/N: 10641598)","Coupler Attached (LGR S/N: 10641598)","Host Connected (LGR S/N: 10641598)","Stopped (LGR S/N: 10641598)","End Of File (LGR S/N: 10641598)"
1,06/27/23 06:28:21  PM,25.805,53.8,,,,,
2,06/27/23 06:28:26  PM,,,Logged,,,,
3,06/27/23 06:58:21  PM,23.966,1130.2,,,,,
4,06/27/23 07:28:21  PM,25.125,0.0,,,,,
5,06/27/23 07:58:21  PM,25.222,0.0,,,,,
6,06/27/23 08:28:21  PM,24.738,0.0,,,,,
7,06/27/23 08:58:21  PM,24.062,0.0,,,,,
8,06/27/23 09:28:21  PM,23.196,0.0,,,,,
9,06/27/23 09:58:21  PM,22.429,0.0,,,,,
10,06/27/23 10:28:21  PM,21.855,0.0,,,,,
11,06/27/23 10:58:21  PM,21.282,0.0,,,,,
12,06/27/23 11:28:21  PM,20.805,0.0,,,,,
13,06/27/23 11:58:21  PM,20.234,0.0,,,,,
14,06/28/23 12:28:21  AM,19.662,0.0,,,,,
15,06/28/23 12:58:21  AM,19.092,0.0,,,,,
16,06/28/23 01:28:21  AM,18.616,0.0,,,,,
17,06/28/23 01:58:21  AM,18.140,0.0,,,,,
18,06/28/23 02:28:21  AM,17.570,0.0,,,,,
19,06/28/23 02:58:21  AM,17.189,0.0,,,,,
20,06/28/23 03:28:21  AM,16.713,0.0,,,,,
21,06/28/23 03:58:21  AM,16.332,0.0,,,,,
22,06/28/23 04:28:21  AM,15.951,0.0,,,,,
23,06/28/23 04:58:21  AM,15.569,0.0,,,,,
24,06/28/23 05:28:21  AM,15.282,0.0,,,,,
25,06/28/23 05:58:21  AM,15.091,0.0,,,,,
26,06/28/23 06:28:21  AM,14.996,0.0,,,,,
27,06/28/23 06:58:21  AM,17.094,64.6,,,,,
28,06/28/23 07:28:21  AM,20.805,247.6,,,,,
29,06/28/23 07:58:21  AM,23.484,193.8,,,,,
30,06/28/23 08:28:21  AM,27.665,193.8,,,,,
31,06/28/23 08:58:21  AM,31.268,193.8,,,,,
32,06/28/23 09:28:21  AM,34.479,193.8,,,,,
33,06/28/23 09:58:21  AM,29.552,3272.2,,,,,
34,06/28/23 10:28:21  AM,36.079,99200.7,,,,,
