"Plot Title: 20619205"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619205, SEN S/N: 20619205)","Intensity, Lux (LGR S/N: 20619205, SEN S/N: 20619205)","Coupler Detached (LGR S/N: 20619205)","Coupler Attached (LGR S/N: 20619205)","Host Connected (LGR S/N: 20619205)","Stopped (LGR S/N: 20619205)","End Of File (LGR S/N: 20619205)"
1,06/27/23 06:28:40  PM,25.708,64.6,,,,,
2,06/27/23 06:28:45  PM,,,Logged,,,,
3,06/27/23 06:58:40  PM,23.966,441.3,,,,,
4,06/27/23 07:28:40  PM,25.222,0.0,,,,,
5,06/27/23 07:58:40  PM,25.222,0.0,,,,,
6,06/27/23 08:28:40  PM,24.448,0.0,,,,,
7,06/27/23 08:58:40  PM,23.484,0.0,,,,,
8,06/27/23 09:28:40  PM,22.525,0.0,,,,,
9,06/27/23 09:58:40  PM,21.569,0.0,,,,,
10,06/27/23 10:28:40  PM,20.805,0.0,,,,,
11,06/27/23 10:58:40  PM,20.138,0.0,,,,,
12,06/27/23 11:28:40  PM,19.567,0.0,,,,,
13,06/27/23 11:58:40  PM,18.996,0.0,,,,,
14,06/28/23 12:28:40  AM,18.521,0.0,,,,,
15,06/28/23 12:58:40  AM,17.855,0.0,,,,,
16,06/28/23 01:28:40  AM,17.379,0.0,,,,,
17,06/28/23 01:58:40  AM,16.903,0.0,,,,,
18,06/28/23 02:28:40  AM,16.332,0.0,,,,,
19,06/28/23 02:58:40  AM,15.951,0.0,,,,,
20,06/28/23 03:28:40  AM,15.473,0.0,,,,,
21,06/28/23 03:58:40  AM,15.187,0.0,,,,,
22,06/28/23 04:28:40  AM,14.804,0.0,,,,,
23,06/28/23 04:58:40  AM,14.517,0.0,,,,,
24,06/28/23 05:28:40  AM,14.325,0.0,,,,,
25,06/28/23 05:58:40  AM,14.230,0.0,,,,,
26,06/28/23 06:28:40  AM,14.230,0.0,,,,,
27,06/28/23 06:58:40  AM,15.951,10.8,,,,,
28,06/28/23 07:28:40  AM,19.662,1054.9,,,,,
29,06/28/23 07:58:40  AM,17.855,8611.2,,,,,
30,06/28/23 08:28:40  AM,19.948,11022.3,,,,,
31,06/28/23 08:58:40  AM,23.292,44089.2,,,,,
32,06/28/23 09:28:40  AM,30.356,126756.4,,,,,
33,06/28/23 09:58:40  AM,34.163,104711.8,,,,,
34,06/28/23 10:28:40  AM,36.079,187379.0,,,,,
35,06/28/23 10:58:40  AM,47.629,220445.9,,,,,
36,06/28/23 11:28:40  AM,46.722,231468.2,,,,,
37,06/28/23 11:58:40  AM,44.580,60622.6,,,,,
38,06/28/23 12:28:40  PM,47.499,253512.8,,,,,
39,06/28/23 12:58:40  PM,48.421,99200.7,,,,,
40,06/28/23 01:28:40  PM,58.630,264535.1,,,,,
41,06/28/23 01:58:40  PM,60.156,264535.1,,,,,
42,06/28/23 02:28:40  PM,58.464,253512.8,,,,,
43,06/28/23 02:58:40  PM,54.056,209423.6,,,,,
44,06/28/23 03:28:40  PM,46.337,187379.0,,,,,
45,06/28/23 03:58:40  PM,46.979,52355.9,,,,,
46,06/28/23 04:28:40  PM,46.083,143289.8,,,,,
47,06/28/23 04:58:40  PM,45.326,66133.8,,,,,
48,06/28/23 05:28:40  PM,41.810,49600.3,,,,,
49,06/28/23 05:58:40  PM,38.157,24800.2,,,,,
