"Plot Title: 20597543"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597543, SEN S/N: 20597543)","Intensity, Lux (LGR S/N: 20597543, SEN S/N: 20597543)","Coupler Attached (LGR S/N: 20597543)","Host Connected (LGR S/N: 20597543)","Stopped (LGR S/N: 20597543)","End Of File (LGR S/N: 20597543)"
1,06/27/23 07:00:00  PM,24.255,21.5,,,,
2,06/27/23 07:30:00  PM,25.319,0.0,,,,
3,06/27/23 08:00:00  PM,25.416,0.0,,,,
4,06/27/23 08:30:00  PM,24.931,0.0,,,,
5,06/27/23 09:00:00  PM,24.255,0.0,,,,
6,06/27/23 09:30:00  PM,23.484,0.0,,,,
7,06/27/23 10:00:00  PM,22.717,0.0,,,,
8,06/27/23 10:30:00  PM,22.142,0.0,,,,
9,06/27/23 11:00:00  PM,21.569,0.0,,,,
10,06/27/23 11:30:00  PM,20.901,0.0,,,,
11,06/28/23 12:00:00  AM,20.424,0.0,,,,
12,06/28/23 12:30:00  AM,19.948,0.0,,,,
13,06/28/23 01:00:00  AM,19.377,0.0,,,,
14,06/28/23 01:30:00  AM,18.806,0.0,,,,
15,06/28/23 02:00:00  AM,18.236,0.0,,,,
16,06/28/23 02:30:00  AM,17.760,0.0,,,,
17,06/28/23 03:00:00  AM,17.284,0.0,,,,
18,06/28/23 03:30:00  AM,16.808,0.0,,,,
19,06/28/23 04:00:00  AM,16.427,0.0,,,,
20,06/28/23 04:30:00  AM,16.046,0.0,,,,
21,06/28/23 05:00:00  AM,15.760,0.0,,,,
22,06/28/23 05:30:00  AM,15.473,0.0,,,,
23,06/28/23 06:00:00  AM,15.282,0.0,,,,
24,06/28/23 06:30:00  AM,15.187,0.0,,,,
25,06/28/23 07:00:00  AM,17.379,107.6,,,,
26,06/28/23 07:30:00  AM,20.805,236.8,,,,
27,06/28/23 08:00:00  AM,23.196,236.8,,,,
28,06/28/23 08:30:00  AM,27.567,247.6,,,,
29,06/28/23 09:00:00  AM,30.659,247.6,,,,
30,06/28/23 09:30:00  AM,33.743,247.6,,,,
31,06/28/23 10:00:00  AM,29.652,1463.9,,,,
32,06/28/23 10:30:00  AM,26.879,11022.3,,,,
33,06/28/23 11:00:00  AM,28.456,10333.4,,,,
34,06/28/23 11:30:00  AM,29.053,20666.8,,,,
35,06/28/23 12:00:00  PM,29.953,13777.9,,,,
36,06/28/23 12:30:00  PM,33.430,104711.8,,,,
37,06/28/23 01:00:00  PM,36.187,41333.6,,,,
38,06/28/23 01:30:00  PM,35.435,19977.9,,,,
39,06/28/23 02:00:00  PM,35.435,55111.5,,,,
40,06/28/23 02:30:00  PM,35.756,46844.8,,,,
41,06/28/23 03:00:00  PM,38.490,88178.4,,,,
42,06/28/23 03:30:00  PM,40.415,126756.4,,,,
43,06/28/23 04:00:00  PM,42.164,165334.4,,,,
44,06/28/23 04:30:00  PM,41.225,104711.8,,,,
45,06/28/23 05:00:00  PM,40.761,52355.9,,,,
46,06/28/23 05:30:00  PM,37.165,66133.8,,,,
47,06/28/23 06:00:00  PM,37.165,41333.6,,,,
48,06/28/23 06:30:00  PM,33.743,46844.8,,,,
49,06/28/23 07:00:00  PM,31.268,60622.6,,,,
50,06/28/23 07:30:00  PM,27.272,44089.2,,,,
51,06/28/23 08:00:00  PM,23.196,3100.0,,,,
52,06/28/23 08:30:00  PM,21.664,204.5,,,,
53,06/28/23 09:00:00  PM,20.805,0.0,,,,
54,06/28/23 09:30:00  PM,17.570,0.0,,,,
55,06/28/23 10:00:00  PM,16.523,0.0,,,,
56,06/28/23 10:30:00  PM,14.900,0.0,,,,
57,06/28/23 11:00:00  PM,13.558,0.0,,,,
58,06/28/23 11:30:00  PM,13.173,0.0,,,,
59,06/29/23 12:00:00  AM,12.787,0.0,,,,
60,06/29/23 12:30:00  AM,12.497,0.0,,,,
61,06/29/23 01:00:00  AM,12.304,0.0,,,,
62,06/29/23 01:30:00  AM,11.916,0.0,,,,
63,06/29/23 02:00:00  AM,11.916,0.0,,,,
64,06/29/23 02:30:00  AM,11.431,0.0,,,,
65,06/29/23 03:00:00  AM,11.139,0.0,,,,
66,06/29/23 03:30:00  AM,11.236,0.0,,,,
67,06/29/23 04:00:00  AM,11.139,0.0,,,,
68,06/29/23 04:30:00  AM,11.431,0.0,,,,
69,06/29/23 05:00:00  AM,11.722,0.0,,,,
70,06/29/23 05:30:00  AM,11.625,21.5,,,,
71,06/29/23 06:00:00  AM,11.528,1044.1,,,,
72,06/29/23 06:30:00  AM,12.401,3100.0,,,,
73,06/29/23 07:00:00  AM,15.664,6200.0,,,,
74,06/29/23 07:30:00  AM,19.662,8611.2,,,,
75,06/29/23 08:00:00  AM,22.238,8611.2,,,,
76,06/29/23 08:30:00  AM,27.862,12400.1,,,,
77,06/29/23 09:00:00  AM,26.781,8611.2,,,,
78,06/29/23 09:30:00  AM,28.953,9644.5,,,,
79,06/29/23 10:00:00  AM,28.853,10677.8,,,,
80,06/29/23 10:30:00  AM,29.452,10677.8,,,,
81,06/29/23 11:00:00  AM,30.760,10333.4,,,,
82,06/29/23 11:30:00  AM,32.497,14466.8,,,,
83,06/29/23 12:00:00  PM,33.014,12400.1,,,,
84,06/29/23 12:30:00  PM,37.165,79911.6,,,,
85,06/29/23 01:00:00  PM,38.938,88178.4,,,,
86,06/29/23 01:30:00  PM,38.268,20666.8,,,,
87,06/29/23 02:00:00  PM,37.824,37200.2,,,,
88,06/29/23 02:30:00  PM,38.602,49600.3,,,,
89,06/29/23 03:00:00  PM,42.282,24800.2,,,,
90,06/29/23 03:30:00  PM,44.334,170845.6,,,,
91,06/29/23 04:00:00  PM,46.850,165334.4,,,,
92,06/29/23 04:30:00  PM,43.359,74400.5,,,,
93,06/29/23 05:00:00  PM,43.723,104711.8,,,,
94,06/29/23 05:30:00  PM,40.185,74400.5,,,,
95,06/29/23 06:00:00  PM,40.185,52355.9,,,,
96,06/29/23 06:30:00  PM,37.165,37200.2,,,,
97,06/29/23 07:00:00  PM,36.295,88178.4,,,,
98,06/29/23 07:30:00  PM,31.880,38578.0,,,,
