"Plot Title: 20597557"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597557, SEN S/N: 20597557)","Intensity, Lux (LGR S/N: 20597557, SEN S/N: 20597557)","Coupler Attached (LGR S/N: 20597557)","Host Connected (LGR S/N: 20597557)","Stopped (LGR S/N: 20597557)","End Of File (LGR S/N: 20597557)"
1,06/27/23 07:00:00  PM,23.773,0.0,,,,
2,06/27/23 07:30:00  PM,25.416,0.0,,,,
3,06/27/23 08:00:00  PM,25.222,0.0,,,,
4,06/27/23 08:30:00  PM,24.448,0.0,,,,
5,06/27/23 09:00:00  PM,23.484,0.0,,,,
6,06/27/23 09:30:00  PM,22.525,0.0,,,,
7,06/27/23 10:00:00  PM,21.569,0.0,,,,
8,06/27/23 10:30:00  PM,20.805,0.0,,,,
9,06/27/23 11:00:00  PM,20.138,0.0,,,,
10,06/27/23 11:30:00  PM,19.567,0.0,,,,
11,06/28/23 12:00:00  AM,18.996,0.0,,,,
12,06/28/23 12:30:00  AM,18.521,0.0,,,,
13,06/28/23 01:00:00  AM,17.950,0.0,,,,
14,06/28/23 01:30:00  AM,17.379,0.0,,,,
15,06/28/23 02:00:00  AM,16.903,0.0,,,,
16,06/28/23 02:30:00  AM,16.427,0.0,,,,
17,06/28/23 03:00:00  AM,15.951,0.0,,,,
18,06/28/23 03:30:00  AM,15.569,0.0,,,,
19,06/28/23 04:00:00  AM,15.187,0.0,,,,
20,06/28/23 04:30:00  AM,14.900,0.0,,,,
21,06/28/23 05:00:00  AM,14.613,0.0,,,,
22,06/28/23 05:30:00  AM,14.421,0.0,,,,
23,06/28/23 06:00:00  AM,14.325,0.0,,,,
24,06/28/23 06:30:00  AM,14.325,0.0,,,,
25,06/28/23 07:00:00  AM,16.237,0.0,,,,
26,06/28/23 07:30:00  AM,19.567,2669.5,,,,
27,06/28/23 08:00:00  AM,25.805,35822.5,,,,
28,06/28/23 08:30:00  AM,29.652,38578.0,,,,
29,06/28/23 09:00:00  AM,31.880,52355.9,,,,
30,06/28/23 09:30:00  AM,33.014,74400.5,,,,
31,06/28/23 10:00:00  AM,35.649,104711.8,,,,
32,06/28/23 10:30:00  AM,37.494,143289.8,,,,
33,06/28/23 11:00:00  AM,41.692,176356.7,,,,
34,06/28/23 11:30:00  AM,40.530,198401.3,,,,
35,06/28/23 12:00:00  PM,43.844,209423.6,,,,
36,06/28/23 12:30:00  PM,45.577,220445.9,,,,
37,06/28/23 01:00:00  PM,47.499,231468.2,,,,
38,06/28/23 01:30:00  PM,48.955,242490.5,,,,
39,06/28/23 02:00:00  PM,52.149,242490.5,,,,
40,06/28/23 02:30:00  PM,49.360,242490.5,,,,
41,06/28/23 03:00:00  PM,48.687,242490.5,,,,
42,06/28/23 03:30:00  PM,49.360,220445.9,,,,
43,06/28/23 04:00:00  PM,46.337,209423.6,,,,
44,06/28/23 04:30:00  PM,44.211,176356.7,,,,
45,06/28/23 05:00:00  PM,43.118,154312.1,,,,
46,06/28/23 05:30:00  PM,43.844,121245.2,,,,
47,06/28/23 06:00:00  PM,40.185,88178.4,,,,
48,06/28/23 06:30:00  PM,38.490,57867.0,,,,
49,06/28/23 07:00:00  PM,34.374,34444.7,,,,
50,06/28/23 07:30:00  PM,30.154,16533.4,,,,
51,06/28/23 08:00:00  PM,23.773,2927.8,,,,
52,06/28/23 08:30:00  PM,20.996,172.2,,,,
53,06/28/23 09:00:00  PM,20.234,0.0,,,,
54,06/28/23 09:30:00  PM,16.523,0.0,,,,
55,06/28/23 10:00:00  PM,16.046,0.0,,,,
56,06/28/23 10:30:00  PM,14.421,0.0,,,,
57,06/28/23 11:00:00  PM,13.076,0.0,,,,
58,06/28/23 11:30:00  PM,12.401,0.0,,,,
59,06/29/23 12:00:00  AM,12.013,0.0,,,,
60,06/29/23 12:30:00  AM,11.334,0.0,,,,
61,06/29/23 01:00:00  AM,10.944,0.0,,,,
62,06/29/23 01:30:00  AM,10.651,0.0,,,,
63,06/29/23 02:00:00  AM,10.455,0.0,,,,
64,06/29/23 02:30:00  AM,10.455,0.0,,,,
65,06/29/23 03:00:00  AM,10.357,0.0,,,,
66,06/29/23 03:30:00  AM,10.553,0.0,,,,
67,06/29/23 04:00:00  AM,10.455,0.0,,,,
68,06/29/23 04:30:00  AM,10.553,0.0,,,,
69,06/29/23 05:00:00  AM,10.553,0.0,,,,
70,06/29/23 05:30:00  AM,9.768,43.1,,,,
71,06/29/23 06:00:00  AM,10.748,1722.2,,,,
72,06/29/23 06:30:00  AM,12.110,4822.3,,,,
73,06/29/23 07:00:00  AM,16.713,19977.9,,,,
74,06/29/23 07:30:00  AM,24.255,28933.5,,,,
75,06/29/23 08:00:00  AM,28.258,33066.9,,,,
76,06/29/23 08:30:00  AM,31.574,38578.0,,,,
77,06/29/23 09:00:00  AM,35.009,49600.3,,,,
78,06/29/23 09:30:00  AM,35.649,71644.9,,,,
79,06/29/23 10:00:00  AM,38.046,99200.7,,,,
80,06/29/23 10:30:00  AM,40.185,137778.7,,,,
81,06/29/23 11:00:00  AM,42.046,170845.6,,,,
82,06/29/23 11:30:00  AM,42.998,187379.0,,,,
83,06/29/23 12:00:00  PM,45.326,209423.6,,,,
84,06/29/23 12:30:00  PM,46.337,220445.9,,,,
85,06/29/23 01:00:00  PM,46.083,231468.2,,,,
86,06/29/23 01:30:00  PM,49.496,231468.2,,,,
87,06/29/23 02:00:00  PM,50.042,242490.5,,,,
88,06/29/23 02:30:00  PM,50.318,242490.5,,,,
89,06/29/23 03:00:00  PM,50.595,231468.2,,,,
90,06/29/23 03:30:00  PM,48.288,220445.9,,,,
91,06/29/23 04:00:00  PM,47.109,209423.6,,,,
92,06/29/23 04:30:00  PM,45.577,187379.0,,,,
93,06/29/23 05:00:00  PM,44.828,154312.1,,,,
94,06/29/23 05:30:00  PM,43.480,121245.2,,,,
95,06/29/23 06:00:00  PM,42.639,88178.4,,,,
