"Plot Title: 20597555"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597555, SEN S/N: 20597555)","Intensity, Lux (LGR S/N: 20597555, SEN S/N: 20597555)","Coupler Detached (LGR S/N: 20597555)","Coupler Attached (LGR S/N: 20597555)","Host Connected (LGR S/N: 20597555)","Stopped (LGR S/N: 20597555)","End Of File (LGR S/N: 20597555)"
1,07/06/23 03:38:12  PM,31.778,0.0,,,,,
2,07/06/23 03:38:19  PM,,,Logged,,,,
3,07/06/23 04:08:12  PM,31.983,376.7,,,,,
4,07/06/23 04:38:12  PM,31.880,366.0,,,,,
5,07/06/23 05:08:12  PM,31.472,53.8,,,,,
6,07/06/23 05:38:12  PM,33.118,0.0,,,,,
7,07/06/23 06:08:12  PM,37.824,1722.2,,,,,
8,07/06/23 06:38:12  PM,39.050,46844.8,,,,,
9,07/06/23 07:08:12  PM,34.903,5166.7,,,,,
10,07/06/23 07:38:12  PM,33.118,2669.5,,,,,
11,07/06/23 08:08:12  PM,31.880,452.1,,,,,
12,07/06/23 08:38:12  PM,30.760,0.0,,,,,
13,07/06/23 09:08:12  PM,29.652,0.0,,,,,
14,07/06/23 09:38:12  PM,29.752,0.0,,,,,
15,07/06/23 10:08:12  PM,29.452,0.0,,,,,
16,07/06/23 10:38:12  PM,26.585,0.0,,,,,
17,07/06/23 11:08:12  PM,26.097,0.0,,,,,
18,07/06/23 11:38:12  PM,25.902,0.0,,,,,
19,07/07/23 12:08:12  AM,24.738,0.0,,,,,
20,07/07/23 12:38:12  AM,24.738,0.0,,,,,
21,07/07/23 01:08:12  AM,23.966,0.0,,,,,
22,07/07/23 01:38:12  AM,23.004,0.0,,,,,
23,07/07/23 02:08:12  AM,21.855,0.0,,,,,
24,07/07/23 02:38:12  AM,21.760,0.0,,,,,
25,07/07/23 03:08:12  AM,21.664,0.0,,,,,
26,07/07/23 03:38:12  AM,20.424,0.0,,,,,
27,07/07/23 04:08:12  AM,19.758,0.0,,,,,
28,07/07/23 04:38:12  AM,17.950,0.0,,,,,
29,07/07/23 05:08:12  AM,18.426,0.0,,,,,
30,07/07/23 05:38:12  AM,18.521,1087.2,,,,,
31,07/07/23 06:08:12  AM,20.138,5338.9,,,,,
32,07/07/23 06:38:12  AM,27.764,10677.8,,,,,
33,07/07/23 07:08:12  AM,31.472,15155.7,,,,,
34,07/07/23 07:38:12  AM,32.497,19289.0,,,,,
35,07/07/23 08:08:12  AM,33.535,20666.8,,,,,
36,07/07/23 08:38:12  AM,34.691,21355.7,,,,,
37,07/07/23 09:08:12  AM,35.864,26178.0,,,,,
38,07/07/23 09:38:12  AM,36.837,37200.2,,,,,
39,07/07/23 10:08:12  AM,38.490,26178.0,,,,,
40,07/07/23 10:38:12  AM,40.071,57867.0,,,,,
41,07/07/23 11:08:12  AM,42.520,42711.4,,,,,
42,07/07/23 11:38:12  AM,46.210,170845.6,,,,,
43,07/07/23 12:08:12  PM,49.768,187379.0,,,,,
44,07/07/23 12:38:12  PM,50.318,209423.6,,,,,
45,07/07/23 01:08:12  PM,51.014,231468.2,,,,,
46,07/07/23 01:38:12  PM,55.425,242490.5,,,,,
47,07/07/23 02:08:12  PM,54.206,253512.8,,,,,
48,07/07/23 02:38:12  PM,55.735,264535.1,,,,,
49,07/07/23 03:08:12  PM,59.471,264535.1,,,,,
