"Plot Title: 20597569"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597569, SEN S/N: 20597569)","Intensity, Lux (LGR S/N: 20597569, SEN S/N: 20597569)","Coupler Detached (LGR S/N: 20597569)","Coupler Attached (LGR S/N: 20597569)","Host Connected (LGR S/N: 20597569)","Stopped (LGR S/N: 20597569)","End Of File (LGR S/N: 20597569)"
1,07/08/23 08:59:05  PM,28.754,107.6,,,,,
2,07/08/23 09:00:33  PM,,,Logged,,,,
3,07/08/23 09:29:05  PM,29.252,0.0,,,,,
4,07/08/23 09:59:05  PM,29.252,0.0,,,,,
5,07/08/23 10:29:05  PM,29.152,0.0,,,,,
6,07/08/23 10:59:05  PM,28.754,0.0,,,,,
7,07/08/23 11:29:05  PM,28.754,0.0,,,,,
8,07/08/23 11:59:05  PM,28.953,0.0,,,,,
9,07/09/23 12:29:05  AM,28.555,0.0,,,,,
10,07/09/23 12:59:05  AM,28.456,0.0,,,,,
11,07/09/23 01:29:05  AM,28.655,0.0,,,,,
12,07/09/23 01:59:05  AM,28.456,0.0,,,,,
13,07/09/23 02:29:05  AM,28.258,0.0,,,,,
14,07/09/23 02:59:05  AM,28.060,0.0,,,,,
15,07/09/23 03:29:05  AM,27.862,0.0,,,,,
16,07/09/23 03:59:05  AM,27.665,0.0,,,,,
17,07/09/23 04:29:05  AM,27.862,0.0,,,,,
18,07/09/23 04:59:05  AM,27.764,0.0,,,,,
19,07/09/23 05:29:05  AM,27.468,0.0,,,,,
20,07/09/23 05:59:05  AM,26.977,0.0,,,,,
21,07/09/23 06:29:05  AM,26.683,10.8,,,,,
22,07/09/23 06:59:05  AM,25.028,0.0,,,,,
23,07/09/23 07:29:05  AM,26.488,0.0,,,,,
24,07/09/23 07:59:05  AM,28.853,7577.8,,,,,
25,07/09/23 08:29:05  AM,31.166,6200.0,,,,,
26,07/09/23 08:59:05  AM,43.601,137778.7,,,,,
27,07/09/23 09:29:05  AM,46.210,154312.1,,,,,
28,07/09/23 09:59:05  AM,48.821,170845.6,,,,,
29,07/09/23 10:29:05  AM,51.295,176356.7,,,,,
30,07/09/23 10:59:05  AM,51.863,187379.0,,,,,
31,07/09/23 11:29:05  AM,51.295,198401.3,,,,,
32,07/09/23 11:59:05  AM,52.149,198401.3,,,,,
33,07/09/23 12:29:05  PM,55.425,209423.6,,,,,
34,07/09/23 12:59:05  PM,52.437,198401.3,,,,,
35,07/09/23 01:29:05  PM,54.811,198401.3,,,,,
36,07/09/23 01:59:05  PM,52.582,187379.0,,,,,
37,07/09/23 02:29:05  PM,51.295,176356.7,,,,,
38,07/09/23 02:59:05  PM,51.014,170845.6,,,,,
39,07/09/23 03:29:05  PM,49.768,159823.3,,,,,
40,07/09/23 03:59:05  PM,50.042,137778.7,,,,,
41,07/09/23 04:29:05  PM,48.821,110223.0,,,,,
42,07/09/23 04:59:05  PM,47.238,88178.4,,,,,
43,07/09/23 05:29:05  PM,45.956,71644.9,,,,,
44,07/09/23 05:59:05  PM,44.580,55111.5,,,,,
45,07/09/23 06:29:05  PM,42.878,42711.4,,,,,
46,07/09/23 06:59:05  PM,40.300,30311.3,,,,,
47,07/09/23 07:29:05  PM,36.946,16533.4,,,,,
48,07/09/23 07:59:05  PM,33.118,861.1,,,,,
49,07/09/23 08:29:05  PM,30.356,0.0,,,,,
50,07/09/23 08:59:05  PM,29.053,0.0,,,,,
51,07/09/23 09:29:05  PM,29.152,0.0,,,,,
52,07/09/23 09:59:05  PM,29.252,0.0,,,,,
53,07/09/23 10:29:05  PM,27.272,0.0,,,,,
54,07/09/23 10:59:05  PM,26.000,0.0,,,,,
55,07/09/23 11:29:05  PM,26.097,0.0,,,,,
56,07/09/23 11:59:05  PM,25.513,0.0,,,,,
57,07/10/23 12:29:05  AM,26.390,0.0,,,,,
58,07/10/23 12:59:05  AM,25.708,0.0,,,,,
59,07/10/23 01:29:05  AM,23.484,0.0,,,,,
60,07/10/23 01:59:05  AM,23.004,0.0,,,,,
61,07/10/23 02:29:05  AM,22.429,0.0,,,,,
62,07/10/23 02:59:05  AM,21.378,0.0,,,,,
63,07/10/23 03:29:05  AM,21.473,0.0,,,,,
64,07/10/23 03:59:05  AM,20.805,0.0,,,,,
65,07/10/23 04:29:05  AM,20.805,0.0,,,,,
66,07/10/23 04:59:05  AM,20.519,0.0,,,,,
67,07/10/23 05:29:05  AM,19.758,333.7,,,,,
68,07/10/23 05:59:05  AM,20.519,2755.6,,,,,
69,07/10/23 06:29:05  AM,20.234,4994.5,,,,,
70,07/10/23 06:59:05  AM,30.659,63378.2,,,,,
71,07/10/23 07:29:05  AM,34.268,88178.4,,,,,
72,07/10/23 07:59:05  AM,36.946,110223.0,,,,,
73,07/10/23 08:29:05  AM,41.108,132267.5,,,,,
74,07/10/23 08:59:05  AM,43.359,148801.0,,,,,
75,07/10/23 09:29:05  AM,45.577,159823.3,,,,,
76,07/10/23 09:59:05  AM,49.360,176356.7,,,,,
77,07/10/23 10:29:05  AM,50.180,187379.0,,,,,
78,07/10/23 10:59:05  AM,52.727,187379.0,,,,,
79,07/10/23 11:29:05  AM,54.507,198401.3,,,,,
80,07/10/23 11:59:05  AM,56.047,198401.3,,,,,
81,07/10/23 12:29:05  PM,55.271,198401.3,,,,,
82,07/10/23 12:59:05  PM,56.362,198401.3,,,,,
83,07/10/23 01:29:05  PM,55.425,187379.0,,,,,
84,07/10/23 01:59:05  PM,54.507,187379.0,,,,,
85,07/10/23 02:29:05  PM,54.811,176356.7,,,,,
86,07/10/23 02:59:05  PM,52.582,165334.4,,,,,
87,07/10/23 03:29:05  PM,52.006,148801.0,,,,,
88,07/10/23 03:59:05  PM,54.356,126756.4,,,,,
89,07/10/23 04:29:05  PM,52.293,104711.8,,,,,
90,07/10/23 04:59:05  PM,51.154,82667.2,,,,,
91,07/10/23 05:29:05  PM,49.090,66133.8,,,,,
92,07/10/23 05:59:05  PM,47.238,49600.3,,,,,
93,07/10/23 06:29:05  PM,43.601,39955.8,,,,,
94,07/10/23 06:59:05  PM,42.639,27555.7,,,,,
95,07/10/23 07:29:05  PM,38.938,13089.0,,,,,
96,07/10/23 07:59:05  PM,34.903,807.3,,,,,
97,07/10/23 08:29:05  PM,32.704,0.0,,,,,
98,07/10/23 08:59:05  PM,31.880,0.0,,,,,
99,07/10/23 09:29:05  PM,30.154,0.0,,,,,
100,07/10/23 09:59:05  PM,29.752,0.0,,,,,
101,07/10/23 10:29:05  PM,30.558,0.0,,,,,
102,07/10/23 10:59:05  PM,30.356,0.0,,,,,
103,07/10/23 11:29:05  PM,29.953,0.0,,,,,
104,07/10/23 11:59:05  PM,30.963,0.0,,,,,
105,07/11/23 12:29:05  AM,30.054,0.0,,,,,
106,07/11/23 12:59:05  AM,29.652,0.0,,,,,
107,07/11/23 01:29:05  AM,28.754,0.0,,,,,
108,07/11/23 01:59:05  AM,28.357,0.0,,,,,
109,07/11/23 02:29:05  AM,27.468,0.0,,,,,
110,07/11/23 02:59:05  AM,26.585,0.0,,,,,
111,07/11/23 03:29:05  AM,26.488,0.0,,,,,
112,07/11/23 03:59:05  AM,25.610,0.0,,,,,
113,07/11/23 04:29:05  AM,25.610,0.0,,,,,
114,07/11/23 04:59:05  AM,26.000,0.0,,,,,
115,07/11/23 05:29:05  AM,25.028,279.9,,,,,
116,07/11/23 05:59:05  AM,25.416,3444.5,,,,,
117,07/11/23 06:29:05  AM,26.585,5511.1,,,,,
118,07/11/23 06:59:05  AM,35.542,55111.5,,,,,
119,07/11/23 07:29:05  AM,39.957,79911.6,,,,,
120,07/11/23 07:59:05  AM,44.952,104711.8,,,,,
121,07/11/23 08:29:05  AM,40.185,13777.9,,,,,
122,07/11/23 08:59:05  AM,37.824,0.0,,,,,
123,07/11/23 09:29:05  AM,32.394,0.0,,,,,
124,07/11/23 09:59:05  AM,32.291,236.8,,,,,
125,07/11/23 10:29:05  AM,36.079,301.4,,,,,
126,07/11/23 10:59:05  AM,34.479,0.0,,,,,
127,07/11/23 11:29:05  AM,30.862,236.8,,,,,
128,07/11/23 11:59:05  AM,31.064,215.3,,,,,
129,07/11/23 12:29:05  PM,31.574,279.9,,,,,
130,07/11/23 12:59:05  PM,31.676,269.1,,,,,
131,07/11/23 01:29:05  PM,32.086,290.6,,,,,
132,07/11/23 01:59:05  PM,32.188,290.6,,,,,
133,07/11/23 02:29:05  PM,32.600,333.7,,,,,
134,07/11/23 02:59:05  PM,33.014,355.2,,,,,
135,07/11/23 03:29:05  PM,33.118,376.7,,,,,
136,07/11/23 03:59:05  PM,33.118,398.3,,,,,
137,07/11/23 04:29:05  PM,33.326,398.3,,,,,
138,07/11/23 04:59:05  PM,33.639,387.5,,,,,
139,07/11/23 05:29:05  PM,33.430,107.6,,,,,
140,07/11/23 05:59:05  PM,33.118,43.1,,,,,
141,07/11/23 06:29:05  PM,32.911,21.5,,,,,
142,07/11/23 06:59:05  PM,32.807,10.8,,,,,
143,07/11/23 07:29:05  PM,32.704,0.0,,,,,
144,07/11/23 07:59:05  PM,32.497,0.0,,,,,
145,07/11/23 08:29:05  PM,32.394,0.0,,,,,
146,07/11/23 08:59:05  PM,31.983,0.0,,,,,
147,07/11/23 09:29:05  PM,31.166,0.0,,,,,
148,07/11/23 09:59:05  PM,30.862,0.0,,,,,
149,07/11/23 10:29:05  PM,30.457,0.0,,,,,
150,07/11/23 10:59:05  PM,29.752,0.0,,,,,
151,07/11/23 11:29:05  PM,29.152,0.0,,,,,
152,07/11/23 11:59:05  PM,28.555,0.0,,,,,
153,07/12/23 12:29:05  AM,28.060,0.0,,,,,
154,07/12/23 12:59:05  AM,27.764,0.0,,,,,
155,07/12/23 01:29:05  AM,27.468,0.0,,,,,
156,07/12/23 01:59:05  AM,27.370,21.5,,,,,
157,07/12/23 02:29:05  AM,27.370,0.0,,,,,
158,07/12/23 02:59:05  AM,27.075,0.0,,,,,
159,07/12/23 03:29:05  AM,26.879,0.0,,,,,
160,07/12/23 03:59:05  AM,26.488,0.0,,,,,
161,07/12/23 04:29:05  AM,26.390,0.0,,,,,
162,07/12/23 04:59:05  AM,26.097,0.0,,,,,
163,07/12/23 05:29:05  AM,25.902,0.0,,,,,
