"Plot Title: C1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619205, SEN S/N: 20619205)","Intensity, Lux (LGR S/N: 20619205, SEN S/N: 20619205)","Coupler Detached (LGR S/N: 20619205)","Coupler Attached (LGR S/N: 20619205)","Host Connected (LGR S/N: 20619205)","Stopped (LGR S/N: 20619205)","End Of File (LGR S/N: 20619205)"
1,06/30/23 08:34:12  PM,30.760,247.6,,,,,
2,06/30/23 08:34:22  PM,,,Logged,,,,
3,06/30/23 09:04:12  PM,29.252,53.8,,,,,
4,06/30/23 09:34:12  PM,29.152,0.0,,,,,
5,06/30/23 10:04:12  PM,29.152,0.0,,,,,
6,06/30/23 10:34:12  PM,29.053,0.0,,,,,
7,06/30/23 11:04:12  PM,28.953,0.0,,,,,
8,06/30/23 11:34:12  PM,28.655,0.0,,,,,
9,07/01/23 12:04:12  AM,28.159,0.0,,,,,
10,07/01/23 12:34:12  AM,27.764,0.0,,,,,
11,07/01/23 01:04:12  AM,27.567,0.0,,,,,
12,07/01/23 01:34:12  AM,27.567,0.0,,,,,
13,07/01/23 02:04:12  AM,27.272,0.0,,,,,
14,07/01/23 02:34:12  AM,27.272,0.0,,,,,
15,07/01/23 03:04:12  AM,27.272,0.0,,,,,
16,07/01/23 03:34:12  AM,27.272,0.0,,,,,
17,07/01/23 04:04:12  AM,27.173,0.0,,,,,
18,07/01/23 04:34:12  AM,26.977,0.0,,,,,
19,07/01/23 05:04:12  AM,26.977,0.0,,,,,
20,07/01/23 05:34:12  AM,26.977,0.0,,,,,
21,07/01/23 06:04:12  AM,26.683,10.8,,,,,
22,07/01/23 06:34:12  AM,26.781,139.9,,,,,
23,07/01/23 07:04:12  AM,27.075,183.0,,,,,
24,07/01/23 07:34:12  AM,32.086,4305.6,,,,,
25,07/01/23 08:04:12  AM,40.415,121245.2,,,,,
26,07/01/23 08:34:12  AM,43.601,198401.3,,,,,
27,07/01/23 09:04:12  AM,45.829,209423.6,,,,,
28,07/01/23 09:34:12  AM,51.014,242490.5,,,,,
29,07/01/23 10:04:12  AM,53.166,253512.8,,,,,
30,07/01/23 10:34:12  AM,54.056,264535.1,,,,,
31,07/01/23 11:04:12  AM,52.149,264535.1,,,,,
32,07/01/23 11:34:12  AM,52.437,264535.1,,,,,
33,07/01/23 12:04:12  PM,53.166,264535.1,,,,,
34,07/01/23 12:34:12  PM,54.659,253512.8,,,,,
35,07/01/23 01:04:12  PM,53.609,242490.5,,,,,
36,07/01/23 01:34:12  PM,52.582,231468.2,,,,,
37,07/01/23 02:04:12  PM,53.166,198401.3,,,,,
38,07/01/23 02:34:12  PM,51.014,176356.7,,,,,
39,07/01/23 03:04:12  PM,49.090,148801.0,,,,,
40,07/01/23 03:34:12  PM,46.593,115734.1,,,,,
41,07/01/23 04:04:12  PM,44.704,82667.2,,,,,
42,07/01/23 04:34:12  PM,43.844,34444.7,,,,,
43,07/01/23 05:04:12  PM,42.401,16533.4,,,,,
44,07/01/23 05:34:12  PM,40.761,13777.9,,,,,
45,07/01/23 06:04:12  PM,39.163,11711.2,,,,,
46,07/01/23 06:34:12  PM,37.494,9644.5,,,,,
47,07/01/23 07:04:12  PM,31.778,3788.9,,,,,
48,07/01/23 07:34:12  PM,28.655,2497.2,,,,,
49,07/01/23 08:04:12  PM,27.567,495.1,,,,,
50,07/01/23 08:34:12  PM,25.319,0.0,,,,,
51,07/01/23 09:04:12  PM,25.125,0.0,,,,,
52,07/01/23 09:34:12  PM,25.028,0.0,,,,,
53,07/01/23 10:04:12  PM,24.931,0.0,,,,,
54,07/01/23 10:34:12  PM,23.966,0.0,,,,,
55,07/01/23 11:04:12  PM,24.062,0.0,,,,,
56,07/01/23 11:34:12  PM,23.966,0.0,,,,,
57,07/02/23 12:04:12  AM,22.908,0.0,,,,,
58,07/02/23 12:34:12  AM,25.028,0.0,,,,,
59,07/02/23 01:04:12  AM,25.513,0.0,,,,,
60,07/02/23 01:34:12  AM,26.879,0.0,,,,,
61,07/02/23 02:04:12  AM,23.869,0.0,,,,,
62,07/02/23 02:34:12  AM,24.062,0.0,,,,,
63,07/02/23 03:04:12  AM,26.585,0.0,,,,,
64,07/02/23 03:34:12  AM,27.370,0.0,,,,,
65,07/02/23 04:04:12  AM,24.545,0.0,,,,,
66,07/02/23 04:34:12  AM,26.879,0.0,,,,,
67,07/02/23 05:04:12  AM,27.370,0.0,,,,,
68,07/02/23 05:34:12  AM,26.977,1216.3,,,,,
69,07/02/23 06:04:12  AM,27.862,4305.6,,,,,
70,07/02/23 06:34:12  AM,29.152,11022.3,,,,,
71,07/02/23 07:04:12  AM,35.328,110223.0,,,,,
72,07/02/23 07:34:12  AM,38.379,143289.8,,,,,
73,07/02/23 08:04:12  AM,41.575,104711.8,,,,,
74,07/02/23 08:34:12  AM,45.829,198401.3,,,,,
75,07/02/23 09:04:12  AM,48.821,220445.9,,,,,
76,07/02/23 09:34:12  AM,51.436,242490.5,,,,,
77,07/02/23 10:04:12  AM,55.425,253512.8,,,,,
78,07/02/23 10:34:12  AM,53.019,264535.1,,,,,
79,07/02/23 11:04:12  AM,54.206,264535.1,,,,,
80,07/02/23 11:34:12  AM,54.356,264535.1,,,,,
81,07/02/23 12:04:12  PM,55.425,253512.8,,,,,
82,07/02/23 12:34:12  PM,55.580,253512.8,,,,,
83,07/02/23 01:04:12  PM,53.609,242490.5,,,,,
84,07/02/23 01:34:12  PM,53.313,220445.9,,,,,
85,07/02/23 02:04:12  PM,52.149,198401.3,,,,,
86,07/02/23 02:34:12  PM,51.720,176356.7,,,,,
87,07/02/23 03:04:12  PM,50.595,148801.0,,,,,
88,07/02/23 03:34:12  PM,48.955,115734.1,,,,,
89,07/02/23 04:04:12  PM,45.956,71644.9,,,,,
90,07/02/23 04:34:12  PM,44.952,33066.9,,,,,
91,07/02/23 05:04:12  PM,41.575,19977.9,,,,,
92,07/02/23 05:34:12  PM,41.341,15155.7,,,,,
93,07/02/23 06:04:12  PM,39.729,12400.1,,,,,
94,07/02/23 06:34:12  PM,38.379,10333.4,,,,,
95,07/02/23 07:04:12  PM,33.014,3961.1,,,,,
96,07/02/23 07:34:12  PM,31.166,2497.2,,,,,
97,07/02/23 08:04:12  PM,29.452,452.1,,,,,
98,07/02/23 08:34:12  PM,29.252,0.0,,,,,
99,07/02/23 09:04:12  PM,30.356,0.0,,,,,
100,07/02/23 09:34:12  PM,30.054,0.0,,,,,
101,07/02/23 10:04:12  PM,30.054,0.0,,,,,
102,07/02/23 10:34:12  PM,29.752,0.0,,,,,
103,07/02/23 11:04:12  PM,29.652,0.0,,,,,
104,07/02/23 11:34:12  PM,28.655,0.0,,,,,
105,07/03/23 12:04:12  AM,28.159,0.0,,,,,
106,07/03/23 12:34:12  AM,27.862,0.0,,,,,
107,07/03/23 01:04:12  AM,27.272,0.0,,,,,
108,07/03/23 01:34:12  AM,26.585,0.0,,,,,
109,07/03/23 02:04:12  AM,27.173,0.0,,,,,
110,07/03/23 02:34:12  AM,27.370,0.0,,,,,
111,07/03/23 03:04:12  AM,27.665,0.0,,,,,
112,07/03/23 03:34:12  AM,27.764,0.0,,,,,
113,07/03/23 04:04:12  AM,27.961,0.0,,,,,
114,07/03/23 04:34:12  AM,28.555,0.0,,,,,
115,07/03/23 05:04:12  AM,27.764,0.0,,,,,
116,07/03/23 05:34:12  AM,27.862,1076.4,,,,,
117,07/03/23 06:04:12  AM,28.456,4477.8,,,,,
118,07/03/23 06:34:12  AM,29.652,55111.5,,,,,
119,07/03/23 07:04:12  AM,37.714,93689.5,,,,,
120,07/03/23 07:34:12  AM,41.928,137778.7,,,,,
121,07/03/23 08:04:12  AM,42.046,165334.4,,,,,
122,07/03/23 08:34:12  AM,45.577,198401.3,,,,,
123,07/03/23 09:04:12  AM,44.952,110223.0,,,,,
124,07/03/23 09:34:12  AM,49.496,242490.5,,,,,
125,07/03/23 10:04:12  AM,50.180,253512.8,,,,,
126,07/03/23 10:34:12  AM,52.873,264535.1,,,,,
127,07/03/23 11:04:12  AM,53.313,264535.1,,,,,
128,07/03/23 11:34:12  AM,53.166,264535.1,,,,,
129,07/03/23 12:04:12  PM,54.356,264535.1,,,,,
130,07/03/23 12:34:12  PM,53.313,253512.8,,,,,
131,07/03/23 01:04:12  PM,52.149,242490.5,,,,,
132,07/03/23 01:34:12  PM,53.019,231468.2,,,,,
133,07/03/23 02:04:12  PM,51.863,198401.3,,,,,
134,07/03/23 02:34:12  PM,50.318,176356.7,,,,,
135,07/03/23 03:04:12  PM,49.360,143289.8,,,,,
136,07/03/23 03:34:12  PM,46.979,88178.4,,,,,
137,07/03/23 04:04:12  PM,45.956,71644.9,,,,,
138,07/03/23 04:34:12  PM,44.580,21355.7,,,,,
139,07/03/23 05:04:12  PM,42.758,15155.7,,,,,
140,07/03/23 05:34:12  PM,41.575,15155.7,,,,,
141,07/03/23 06:04:12  PM,39.843,11022.3,,,,,
142,07/03/23 06:34:12  PM,37.384,8611.2,,,,,
143,07/03/23 07:04:12  PM,31.268,4305.6,,,,,
144,07/03/23 07:34:12  PM,29.953,2583.4,,,,,
145,07/03/23 08:04:12  PM,30.457,516.7,,,,,
146,07/03/23 08:34:12  PM,29.853,0.0,,,,,
147,07/03/23 09:04:12  PM,29.252,0.0,,,,,
148,07/03/23 09:34:12  PM,28.953,0.0,,,,,
149,07/03/23 10:04:12  PM,28.754,0.0,,,,,
150,07/03/23 10:34:12  PM,28.357,0.0,,,,,
151,07/03/23 11:04:12  PM,27.862,0.0,,,,,
152,07/03/23 11:34:12  PM,27.173,0.0,,,,,
153,07/04/23 12:04:12  AM,26.683,0.0,,,,,
154,07/04/23 12:34:12  AM,26.097,0.0,,,,,
155,07/04/23 01:04:12  AM,25.222,0.0,,,,,
156,07/04/23 01:34:12  AM,24.738,0.0,,,,,
157,07/04/23 02:04:12  AM,24.931,0.0,,,,,
158,07/04/23 02:34:12  AM,25.319,0.0,,,,,
159,07/04/23 03:04:12  AM,26.292,0.0,,,,,
160,07/04/23 03:34:12  AM,26.683,0.0,,,,,
161,07/04/23 04:04:12  AM,26.292,0.0,,,,,
162,07/04/23 04:34:12  AM,26.292,0.0,,,,,
163,07/04/23 05:04:12  AM,25.416,0.0,,,,,
164,07/04/23 05:34:12  AM,25.028,1011.8,,,,,
165,07/04/23 06:04:12  AM,24.641,3444.5,,,,,
166,07/04/23 06:34:12  AM,26.488,52355.9,,,,,
167,07/04/23 07:04:12  AM,34.374,99200.7,,,,,
168,07/04/23 07:34:12  AM,37.714,143289.8,,,,,
169,07/04/23 08:04:12  AM,38.490,137778.7,,,,,
170,07/04/23 08:34:12  AM,40.645,63378.2,,,,,
171,07/04/23 09:04:12  AM,39.843,104711.8,,,,,
172,07/04/23 09:34:12  AM,45.201,253512.8,,,,,
