"Plot Title: C2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597543, SEN S/N: 20597543)","Intensity, Lux (LGR S/N: 20597543, SEN S/N: 20597543)","Coupler Attached (LGR S/N: 20597543)","Host Connected (LGR S/N: 20597543)","Stopped (LGR S/N: 20597543)","End Of File (LGR S/N: 20597543)"
1,07/07/23 08:00:00  PM,29.953,0.0,,,,
2,07/07/23 08:30:00  PM,29.452,0.0,,,,
3,07/07/23 09:00:00  PM,28.953,0.0,,,,
4,07/07/23 09:30:00  PM,27.961,0.0,,,,
5,07/07/23 10:00:00  PM,28.060,0.0,,,,
6,07/07/23 10:30:00  PM,28.357,0.0,,,,
7,07/07/23 11:00:00  PM,27.665,0.0,,,,
8,07/07/23 11:30:00  PM,28.060,0.0,,,,
9,07/08/23 12:00:00  AM,28.159,0.0,,,,
10,07/08/23 12:30:00  AM,27.862,0.0,,,,
11,07/08/23 01:00:00  AM,27.665,0.0,,,,
12,07/08/23 01:30:00  AM,27.567,0.0,,,,
13,07/08/23 02:00:00  AM,26.879,0.0,,,,
14,07/08/23 02:30:00  AM,27.075,0.0,,,,
15,07/08/23 03:00:00  AM,27.075,0.0,,,,
16,07/08/23 03:30:00  AM,26.977,0.0,,,,
17,07/08/23 04:00:00  AM,27.075,0.0,,,,
18,07/08/23 04:30:00  AM,26.683,0.0,,,,
19,07/08/23 05:00:00  AM,25.513,0.0,,,,
20,07/08/23 05:30:00  AM,24.448,0.0,,,,
21,07/08/23 06:00:00  AM,24.062,0.0,,,,
22,07/08/23 06:30:00  AM,21.855,0.0,,,,
23,07/08/23 07:00:00  AM,22.621,0.0,,,,
24,07/08/23 07:30:00  AM,25.125,0.0,,,,
25,07/08/23 08:00:00  AM,28.060,0.0,,,,
26,07/08/23 08:30:00  AM,30.558,344.4,,,,
27,07/08/23 09:00:00  AM,29.053,236.8,,,,
28,07/08/23 09:30:00  AM,40.415,63378.2,,,,
29,07/08/23 10:00:00  AM,42.401,104711.8,,,,
30,07/08/23 10:30:00  AM,44.828,104711.8,,,,
31,07/08/23 11:00:00  AM,45.956,88178.4,,,,
32,07/08/23 11:30:00  AM,43.238,39955.8,,,,
33,07/08/23 12:00:00  PM,45.829,55111.5,,,,
34,07/08/23 12:30:00  PM,47.760,60622.6,,,,
35,07/08/23 01:00:00  PM,47.368,176356.7,,,,
36,07/08/23 01:30:00  PM,50.318,93689.5,,,,
37,07/08/23 02:00:00  PM,49.905,170845.6,,,,
38,07/08/23 02:30:00  PM,51.154,57867.0,,,,
39,07/08/23 03:00:00  PM,51.436,148801.0,,,,
40,07/08/23 03:30:00  PM,51.720,79911.6,,,,
41,07/08/23 04:00:00  PM,52.006,88178.4,,,,
42,07/08/23 04:30:00  PM,52.582,126756.4,,,,
43,07/08/23 05:00:00  PM,52.873,104711.8,,,,
44,07/08/23 05:30:00  PM,51.720,93689.5,,,,
45,07/08/23 06:00:00  PM,50.874,79911.6,,,,
46,07/08/23 06:30:00  PM,48.288,66133.8,,,,
47,07/08/23 07:00:00  PM,46.465,52355.9,,,,
48,07/08/23 07:30:00  PM,38.490,5166.7,,,,
49,07/08/23 08:00:00  PM,34.479,1119.5,,,,
50,07/08/23 08:30:00  PM,30.154,21.5,,,,
51,07/08/23 09:00:00  PM,30.054,0.0,,,,
52,07/08/23 09:30:00  PM,29.652,0.0,,,,
53,07/08/23 10:00:00  PM,28.655,0.0,,,,
54,07/08/23 10:30:00  PM,28.555,0.0,,,,
55,07/08/23 11:00:00  PM,27.567,0.0,,,,
56,07/08/23 11:30:00  PM,28.456,0.0,,,,
57,07/09/23 12:00:00  AM,27.567,0.0,,,,
58,07/09/23 12:30:00  AM,28.060,0.0,,,,
59,07/09/23 01:00:00  AM,26.488,0.0,,,,
60,07/09/23 01:30:00  AM,26.585,0.0,,,,
61,07/09/23 02:00:00  AM,24.835,0.0,,,,
62,07/09/23 02:30:00  AM,23.677,0.0,,,,
63,07/09/23 03:00:00  AM,24.641,0.0,,,,
64,07/09/23 03:30:00  AM,22.046,0.0,,,,
65,07/09/23 04:00:00  AM,22.908,0.0,,,,
66,07/09/23 04:30:00  AM,21.951,0.0,,,,
67,07/09/23 05:00:00  AM,20.138,0.0,,,,
68,07/09/23 05:30:00  AM,19.948,419.8,,,,
69,07/09/23 06:00:00  AM,18.996,3100.0,,,,
70,07/09/23 06:30:00  AM,29.452,30311.3,,,,
71,07/09/23 07:00:00  AM,33.535,33066.9,,,,
72,07/09/23 07:30:00  AM,35.328,49600.3,,,,
73,07/09/23 08:00:00  AM,33.535,15844.5,,,,
74,07/09/23 08:30:00  AM,40.876,77156.1,,,,
75,07/09/23 09:00:00  AM,37.714,77156.1,,,,
76,07/09/23 09:30:00  AM,39.957,77156.1,,,,
77,07/09/23 10:00:00  AM,42.639,88178.4,,,,
78,07/09/23 10:30:00  AM,44.089,110223.0,,,,
79,07/09/23 11:00:00  AM,45.201,79911.6,,,,
80,07/09/23 11:30:00  AM,43.118,115734.1,,,,
81,07/09/23 12:00:00  PM,45.076,93689.5,,,,
82,07/09/23 12:30:00  PM,46.979,159823.3,,,,
83,07/09/23 01:00:00  PM,46.337,159823.3,,,,
84,07/09/23 01:30:00  PM,49.496,126756.4,,,,
85,07/09/23 02:00:00  PM,48.955,159823.3,,,,
86,07/09/23 02:30:00  PM,50.318,159823.3,,,,
87,07/09/23 03:00:00  PM,49.090,154312.1,,,,
88,07/09/23 03:30:00  PM,49.225,148801.0,,,,
89,07/09/23 04:00:00  PM,50.734,85422.8,,,,
90,07/09/23 04:30:00  PM,51.295,121245.2,,,,
91,07/09/23 05:00:00  PM,50.595,63378.2,,,,
92,07/09/23 05:30:00  PM,49.905,93689.5,,,,
93,07/09/23 06:00:00  PM,49.090,79911.6,,,,
94,07/09/23 06:30:00  PM,46.593,68889.3,,,,
95,07/09/23 07:00:00  PM,43.480,52355.9,,,,
96,07/09/23 07:30:00  PM,36.946,5166.7,,,,
97,07/09/23 08:00:00  PM,34.796,1173.3,,,,
98,07/09/23 08:30:00  PM,33.326,21.5,,,,
99,07/09/23 09:00:00  PM,31.983,0.0,,,,
100,07/09/23 09:30:00  PM,31.370,0.0,,,,
101,07/09/23 10:00:00  PM,31.472,0.0,,,,
