"Plot Title: U2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10641598, SEN S/N: 10641598)","Intensity, Lux (LGR S/N: 10641598, SEN S/N: 10641598)","Coupler Detached (LGR S/N: 10641598)","Coupler Attached (LGR S/N: 10641598)","Host Connected (LGR S/N: 10641598)","Stopped (LGR S/N: 10641598)","End Of File (LGR S/N: 10641598)"
1,07/07/23 07:19:12  PM,31.064,0.0,,,,,
2,07/07/23 07:19:44  PM,,,Logged,,,,
3,07/07/23 07:49:12  PM,30.154,0.0,,,,,
4,07/07/23 08:19:12  PM,29.552,0.0,,,,,
5,07/07/23 08:49:12  PM,29.152,0.0,,,,,
6,07/07/23 09:19:12  PM,27.764,0.0,,,,,
7,07/07/23 09:49:12  PM,27.862,0.0,,,,,
8,07/07/23 10:19:12  PM,27.961,0.0,,,,,
9,07/07/23 10:49:12  PM,27.173,0.0,,,,,
10,07/07/23 11:19:12  PM,27.665,0.0,,,,,
11,07/07/23 11:49:12  PM,27.961,0.0,,,,,
12,07/08/23 12:19:12  AM,27.567,0.0,,,,,
13,07/08/23 12:49:12  AM,27.567,0.0,,,,,
14,07/08/23 01:19:12  AM,27.468,0.0,,,,,
15,07/08/23 01:49:12  AM,26.781,0.0,,,,,
16,07/08/23 02:19:12  AM,26.683,0.0,,,,,
17,07/08/23 02:49:12  AM,26.683,0.0,,,,,
18,07/08/23 03:19:12  AM,26.585,0.0,,,,,
19,07/08/23 03:49:12  AM,26.585,0.0,,,,,
20,07/08/23 04:19:12  AM,26.488,0.0,,,,,
21,07/08/23 04:49:12  AM,25.222,0.0,,,,,
22,07/08/23 05:19:12  AM,24.158,0.0,,,,,
23,07/08/23 05:49:12  AM,23.773,0.0,,,,,
24,07/08/23 06:19:12  AM,22.333,0.0,,,,,
25,07/08/23 06:49:12  AM,22.525,0.0,,,,,
26,07/08/23 07:19:12  AM,23.966,0.0,,,,,
27,07/08/23 07:49:12  AM,26.390,0.0,,,,,
28,07/08/23 08:19:12  AM,28.655,0.0,,,,,
29,07/08/23 08:49:12  AM,28.555,344.4,,,,,
30,07/08/23 09:19:12  AM,41.458,55111.5,,,,,
31,07/08/23 09:49:12  AM,47.368,220445.9,,,,,
32,07/08/23 10:19:12  AM,49.768,220445.9,,,,,
33,07/08/23 10:49:12  AM,50.874,220445.9,,,,,
34,07/08/23 11:19:12  AM,52.727,220445.9,,,,,
35,07/08/23 11:49:12  AM,53.313,220445.9,,,,,
36,07/08/23 12:19:12  PM,53.166,209423.6,,,,,
37,07/08/23 12:49:12  PM,52.727,187379.0,,,,,
38,07/08/23 01:19:12  PM,52.727,170845.6,,,,,
39,07/08/23 01:49:12  PM,51.720,148801.0,,,,,
40,07/08/23 02:19:12  PM,51.014,110223.0,,,,,
41,07/08/23 02:49:12  PM,49.632,74400.5,,,,,
42,07/08/23 03:19:12  PM,49.360,28933.5,,,,,
43,07/08/23 03:49:12  PM,47.760,19289.0,,,,,
44,07/08/23 04:19:12  PM,46.850,17222.3,,,,,
45,07/08/23 04:49:12  PM,46.465,16533.4,,,,,
46,07/08/23 05:19:12  PM,45.703,16533.4,,,,,
47,07/08/23 05:49:12  PM,45.326,17222.3,,,,,
48,07/08/23 06:19:12  PM,44.334,16533.4,,,,,
49,07/08/23 06:49:12  PM,42.878,11711.2,,,,,
50,07/08/23 07:19:12  PM,40.530,8266.7,,,,,
51,07/08/23 07:49:12  PM,35.009,1550.0,,,,,
52,07/08/23 08:19:12  PM,30.457,96.9,,,,,
53,07/08/23 08:49:12  PM,30.457,0.0,,,,,
54,07/08/23 09:19:12  PM,29.252,0.0,,,,,
55,07/08/23 09:49:12  PM,28.754,0.0,,,,,
56,07/08/23 10:19:12  PM,28.456,0.0,,,,,
57,07/08/23 10:49:12  PM,28.555,0.0,,,,,
58,07/08/23 11:19:12  PM,28.555,0.0,,,,,
59,07/08/23 11:49:12  PM,28.357,0.0,,,,,
60,07/09/23 12:19:12  AM,27.961,0.0,,,,,
61,07/09/23 12:49:12  AM,26.879,0.0,,,,,
62,07/09/23 01:19:12  AM,26.488,0.0,,,,,
63,07/09/23 01:49:12  AM,24.641,0.0,,,,,
64,07/09/23 02:19:12  AM,23.484,0.0,,,,,
65,07/09/23 02:49:12  AM,23.388,0.0,,,,,
66,07/09/23 03:19:12  AM,22.621,0.0,,,,,
67,07/09/23 03:49:12  AM,20.043,0.0,,,,,
68,07/09/23 04:19:12  AM,20.901,0.0,,,,,
69,07/09/23 04:49:12  AM,20.615,0.0,,,,,
70,07/09/23 05:19:12  AM,20.615,150.7,,,,,
71,07/09/23 05:49:12  AM,18.140,2066.7,,,,,
72,07/09/23 06:19:12  AM,24.448,68889.3,,,,,
73,07/09/23 06:49:12  AM,31.472,115734.1,,,,,
74,07/09/23 07:19:12  AM,37.055,143289.8,,,,,
75,07/09/23 07:49:12  AM,36.620,121245.2,,,,,
76,07/09/23 08:19:12  AM,41.575,115734.1,,,,,
77,07/09/23 08:49:12  AM,39.957,132267.5,,,,,
78,07/09/23 09:19:12  AM,42.046,165334.4,,,,,
79,07/09/23 09:49:12  AM,46.979,220445.9,,,,,
