"Plot Title: 20597569"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597569, SEN S/N: 20597569)","Intensity, Lux (LGR S/N: 20597569, SEN S/N: 20597569)","Coupler Detached (LGR S/N: 20597569)","Host Connected (LGR S/N: 20597569)","Coupler Attached (LGR S/N: 20597569)","Stopped (LGR S/N: 20597569)","End Of File (LGR S/N: 20597569)"
1,07/03/23 11:34:19  AM,32.394,0.0,,,,,
2,07/03/23 11:34:24  AM,,,Logged,,,,
3,07/03/23 12:04:19  PM,33.743,53.8,,,,,
4,07/03/23 12:34:19  PM,34.163,53.8,,,,,
5,07/03/23 01:04:19  PM,34.374,43.1,,,,,
6,07/03/23 01:34:19  PM,34.796,43.1,,,,,
7,07/03/23 02:04:19  PM,35.009,43.1,,,,,
8,07/03/23 02:34:19  PM,35.328,43.1,,,,,
9,07/03/23 03:04:19  PM,35.542,32.3,,,,,
10,07/03/23 03:34:19  PM,35.756,21.5,,,,,
11,07/03/23 04:04:19  PM,35.864,21.5,,,,,
12,07/03/23 04:34:19  PM,35.864,21.5,,,,,
13,07/03/23 05:04:19  PM,35.864,10.8,,,,,
14,07/03/23 05:34:19  PM,35.864,0.0,,,,,
15,07/03/23 06:04:19  PM,35.649,10.8,,,,,
16,07/03/23 06:34:19  PM,35.435,0.0,,,,,
17,07/03/23 07:04:19  PM,35.328,0.0,,,,,
18,07/03/23 07:34:19  PM,35.222,0.0,,,,,
19,07/03/23 08:04:19  PM,34.796,0.0,,,,,
20,07/03/23 08:34:19  PM,33.953,0.0,,,,,
21,07/03/23 09:04:19  PM,33.222,0.0,,,,,
22,07/03/23 09:34:19  PM,32.704,0.0,,,,,
23,07/03/23 10:04:19  PM,32.188,0.0,,,,,
24,07/03/23 10:34:19  PM,31.983,0.0,,,,,
25,07/03/23 11:04:19  PM,31.880,0.0,,,,,
26,07/03/23 11:34:19  PM,31.574,0.0,,,,,
27,07/04/23 12:04:19  AM,31.268,0.0,,,,,
28,07/04/23 12:34:19  AM,30.862,0.0,,,,,
29,07/04/23 01:04:19  AM,30.558,0.0,,,,,
30,07/04/23 01:34:19  AM,30.154,0.0,,,,,
31,07/04/23 02:04:19  AM,29.953,0.0,,,,,
32,07/04/23 02:34:19  AM,29.752,0.0,,,,,
