"Plot Title: 20597555"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597555, SEN S/N: 20597555)","Intensity, Lux (LGR S/N: 20597555, SEN S/N: 20597555)","Coupler Detached (LGR S/N: 20597555)","Coupler Attached (LGR S/N: 20597555)","Host Connected (LGR S/N: 20597555)","Stopped (LGR S/N: 20597555)","End Of File (LGR S/N: 20597555)"
1,07/03/23 11:33:59  AM,33.014,10.8,,,,,
2,07/03/23 11:34:03  AM,,,Logged,,,,
3,07/03/23 12:03:59  PM,33.848,43.1,,,,,
4,07/03/23 12:33:59  PM,34.374,43.1,,,,,
5,07/03/23 01:03:59  PM,34.479,43.1,,,,,
6,07/03/23 01:33:59  PM,34.903,43.1,,,,,
7,07/03/23 02:03:59  PM,35.115,32.3,,,,,
8,07/03/23 02:33:59  PM,35.435,32.3,,,,,
9,07/03/23 03:03:59  PM,35.649,21.5,,,,,
10,07/03/23 03:33:59  PM,35.864,21.5,,,,,
11,07/03/23 04:03:59  PM,35.971,21.5,,,,,
12,07/03/23 04:33:59  PM,35.971,10.8,,,,,
13,07/03/23 05:03:59  PM,35.971,10.8,,,,,
14,07/03/23 05:33:59  PM,35.864,0.0,,,,,
15,07/03/23 06:03:59  PM,35.649,10.8,,,,,
16,07/03/23 06:33:59  PM,35.435,0.0,,,,,
17,07/03/23 07:03:59  PM,35.328,0.0,,,,,
18,07/03/23 07:33:59  PM,35.222,0.0,,,,,
19,07/03/23 08:03:59  PM,34.796,0.0,,,,,
20,07/03/23 08:33:59  PM,33.953,0.0,,,,,
21,07/03/23 09:03:59  PM,32.911,0.0,,,,,
22,07/03/23 09:33:59  PM,32.291,0.0,,,,,
23,07/03/23 10:03:59  PM,31.880,0.0,,,,,
24,07/03/23 10:33:59  PM,31.676,0.0,,,,,
25,07/03/23 11:03:59  PM,31.574,0.0,,,,,
26,07/03/23 11:33:59  PM,31.370,0.0,,,,,
27,07/04/23 12:03:59  AM,31.064,0.0,,,,,
28,07/04/23 12:33:59  AM,30.558,0.0,,,,,
29,07/04/23 01:03:59  AM,30.255,0.0,,,,,
30,07/04/23 01:33:59  AM,29.953,0.0,,,,,
31,07/04/23 02:03:59  AM,29.752,0.0,,,,,
32,07/04/23 02:33:59  AM,29.552,0.0,,,,,
33,07/04/23 03:03:59  AM,29.552,0.0,,,,,
34,07/04/23 03:33:59  AM,29.452,0.0,,,,,
35,07/04/23 04:03:59  AM,29.352,0.0,,,,,
36,07/04/23 04:33:59  AM,29.252,0.0,,,,,
37,07/04/23 05:03:59  AM,29.152,0.0,,,,,
38,07/04/23 05:33:59  AM,28.953,0.0,,,,,
39,07/04/23 06:03:59  AM,29.053,10.8,,,,,
40,07/04/23 06:33:59  AM,25.805,32.3,,,,,
41,07/04/23 07:03:59  AM,22.333,32.3,,,,,
42,07/04/23 07:33:59  AM,22.429,43.1,,,,,
43,07/04/23 08:03:59  AM,26.977,10677.8,,,,,
44,07/04/23 08:33:59  AM,30.558,2755.6,,,,,
45,07/04/23 09:03:59  AM,29.053,15844.5,,,,,
46,07/04/23 09:33:59  AM,29.953,13777.9,,,,,
47,07/04/23 10:03:59  AM,30.457,18600.1,,,,,
48,07/04/23 10:33:59  AM,31.064,19977.9,,,,,
49,07/04/23 11:03:59  AM,31.472,18600.1,,,,,
50,07/04/23 11:33:59  AM,33.848,44089.2,,,,,
51,07/04/23 12:03:59  PM,36.187,41333.6,,,,,
52,07/04/23 12:33:59  PM,37.604,28933.5,,,,,
53,07/04/23 01:03:59  PM,40.530,132267.5,,,,,
54,07/04/23 01:33:59  PM,42.282,44089.2,,,,,
55,07/04/23 02:03:59  PM,46.979,253512.8,,,,,
