"Plot Title: 20597569"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597569, SEN S/N: 20597569)","Intensity, Lux (LGR S/N: 20597569, SEN S/N: 20597569)","Coupler Detached (LGR S/N: 20597569)","Host Connected (LGR S/N: 20597569)","Coupler Attached (LGR S/N: 20597569)","Stopped (LGR S/N: 20597569)","End Of File (LGR S/N: 20597569)"
1,04/13/23 05:43:41  PM,22.429,0.0,,,,,
2,04/13/23 05:44:02  PM,,,Logged,,,,
3,04/13/23 06:13:41  PM,20.996,0.0,,,,,
4,04/13/23 06:43:41  PM,19.662,0.0,,,,,
5,04/13/23 07:13:41  PM,18.331,0.0,,,,,
6,04/13/23 07:43:41  PM,17.094,0.0,,,,,
7,04/13/23 08:13:41  PM,15.951,0.0,,,,,
8,04/13/23 08:43:41  PM,14.900,0.0,,,,,
9,04/13/23 09:13:41  PM,13.942,0.0,,,,,
10,04/13/23 09:43:41  PM,13.173,0.0,,,,,
11,04/13/23 10:13:41  PM,12.304,0.0,,,,,
12,04/13/23 10:43:41  PM,11.528,0.0,,,,,
13,04/13/23 11:13:41  PM,10.748,0.0,,,,,
14,04/13/23 11:43:41  PM,10.259,0.0,,,,,
15,04/14/23 12:13:41  AM,9.768,0.0,,,,,
16,04/14/23 12:43:41  AM,9.472,0.0,,,,,
17,04/14/23 01:13:41  AM,9.275,0.0,,,,,
18,04/14/23 01:43:41  AM,9.077,0.0,,,,,
19,04/14/23 02:13:41  AM,8.481,0.0,,,,,
20,04/14/23 02:43:41  AM,7.882,0.0,,,,,
21,04/14/23 03:13:41  AM,7.381,0.0,,,,,
22,04/14/23 03:43:41  AM,6.978,0.0,,,,,
23,04/14/23 04:13:41  AM,6.674,0.0,,,,,
24,04/14/23 04:43:41  AM,6.471,0.0,,,,,
25,04/14/23 05:13:41  AM,6.370,0.0,,,,,
26,04/14/23 05:43:41  AM,6.370,0.0,,,,,
27,04/14/23 06:13:41  AM,6.573,0.0,,,,,
28,04/14/23 06:43:41  AM,6.674,0.0,,,,,
29,04/14/23 07:13:41  AM,7.079,0.0,,,,,
30,04/14/23 07:43:41  AM,8.481,0.0,,,,,
31,04/14/23 08:13:41  AM,11.139,0.0,,,,,
32,04/14/23 08:43:41  AM,13.750,0.0,,,,,
33,04/14/23 09:13:41  AM,15.569,0.0,,,,,
34,04/14/23 09:43:41  AM,16.903,0.0,,,,,
35,04/14/23 10:13:41  AM,18.331,0.0,,,,,
36,04/14/23 10:43:41  AM,19.758,0.0,,,,,
37,04/14/23 11:13:41  AM,21.282,0.0,,,,,
38,04/14/23 11:43:41  AM,23.292,0.0,,,,,
39,04/14/23 12:13:41  PM,24.448,0.0,,,,,
40,04/14/23 12:43:41  PM,26.195,0.0,,,,,
41,04/14/23 01:13:41  PM,28.258,0.0,,,,,
42,04/14/23 01:43:41  PM,30.659,667.4,,,,,
43,04/14/23 02:13:41  PM,33.848,11022.3,,,,,
44,04/14/23 02:43:41  PM,35.435,24800.2,,,,,
45,04/14/23 03:13:41  PM,33.535,22044.6,,,,,
46,04/14/23 03:43:41  PM,31.778,22044.6,,,,,
47,04/14/23 04:13:41  PM,31.268,20666.8,,,,,
48,04/14/23 04:43:41  PM,31.983,20666.8,,,,,
49,04/14/23 05:13:41  PM,30.862,20666.8,,,,,
50,04/14/23 05:43:41  PM,29.352,19977.9,,,,,
51,04/14/23 06:13:41  PM,27.173,15844.5,,,,,
52,04/14/23 06:43:41  PM,23.966,9300.1,,,,,
53,04/14/23 07:13:41  PM,18.996,1377.8,,,,,
54,04/14/23 07:43:41  PM,16.713,0.0,,,,,
55,04/14/23 08:13:41  PM,14.613,0.0,,,,,
56,04/14/23 08:43:41  PM,16.713,0.0,,,,,
57,04/14/23 09:13:41  PM,15.951,0.0,,,,,
58,04/14/23 09:43:41  PM,14.900,0.0,,,,,
59,04/14/23 10:13:41  PM,14.709,0.0,,,,,
60,04/14/23 10:43:41  PM,13.558,0.0,,,,,
61,04/14/23 11:13:41  PM,13.461,0.0,,,,,
62,04/14/23 11:43:41  PM,12.594,0.0,,,,,
63,04/15/23 12:13:41  AM,12.207,0.0,,,,,
64,04/15/23 12:43:41  AM,11.819,0.0,,,,,
65,04/15/23 01:13:41  AM,11.431,0.0,,,,,
66,04/15/23 01:43:41  AM,10.748,0.0,,,,,
67,04/15/23 02:13:41  AM,10.651,0.0,,,,,
68,04/15/23 02:43:41  AM,10.455,0.0,,,,,
69,04/15/23 03:13:41  AM,10.161,0.0,,,,,
70,04/15/23 03:43:41  AM,9.866,0.0,,,,,
71,04/15/23 04:13:41  AM,10.063,0.0,,,,,
72,04/15/23 04:43:41  AM,9.669,0.0,,,,,
73,04/15/23 05:13:41  AM,8.879,0.0,,,,,
74,04/15/23 05:43:41  AM,8.680,0.0,,,,,
75,04/15/23 06:13:41  AM,8.182,1550.0,,,,,
76,04/15/23 06:43:41  AM,12.013,52355.9,,,,,
77,04/15/23 07:13:41  AM,19.662,121245.2,,,,,
78,04/15/23 07:43:41  AM,25.222,159823.3,,,,,
79,04/15/23 08:13:41  AM,30.154,187379.0,,,,,
80,04/15/23 08:43:41  AM,30.760,198401.3,,,,,
81,04/15/23 09:13:41  AM,32.911,209423.6,,,,,
82,04/15/23 09:43:41  AM,36.295,209423.6,,,,,
83,04/15/23 10:13:41  AM,38.826,209423.6,,,,,
84,04/15/23 10:43:41  AM,42.046,209423.6,,,,,
85,04/15/23 11:13:41  AM,41.692,198401.3,,,,,
86,04/15/23 11:43:41  AM,42.282,176356.7,,,,,
87,04/15/23 12:13:41  PM,41.575,165334.4,,,,,
88,04/15/23 12:43:41  PM,42.046,137778.7,,,,,
89,04/15/23 01:13:41  PM,41.108,110223.0,,,,,
90,04/15/23 01:43:41  PM,38.714,74400.5,,,,,
91,04/15/23 02:13:41  PM,38.379,27555.7,,,,,
92,04/15/23 02:43:41  PM,36.837,23422.4,,,,,
93,04/15/23 03:13:41  PM,36.295,22044.6,,,,,
94,04/15/23 03:43:41  PM,36.187,22044.6,,,,,
95,04/15/23 04:13:41  PM,34.796,21355.7,,,,,
96,04/15/23 04:43:41  PM,33.953,20666.8,,,,,
97,04/15/23 05:13:41  PM,33.118,20666.8,,,,,
98,04/15/23 05:43:41  PM,31.880,20666.8,,,,,
99,04/15/23 06:13:41  PM,30.356,15844.5,,,,,
100,04/15/23 06:43:41  PM,27.370,9300.1,,,,,
101,04/15/23 07:13:41  PM,21.760,1550.0,,,,,
102,04/15/23 07:43:41  PM,19.282,0.0,,,,,
103,04/15/23 08:13:41  PM,17.379,0.0,,,,,
104,04/15/23 08:43:41  PM,14.230,0.0,,,,,
105,04/15/23 09:13:41  PM,12.980,0.0,,,,,
106,04/15/23 09:43:41  PM,15.473,0.0,,,,,
107,04/15/23 10:13:41  PM,14.325,0.0,,,,,
108,04/15/23 10:43:41  PM,13.846,0.0,,,,,
109,04/15/23 11:13:41  PM,16.046,0.0,,,,,
110,04/15/23 11:43:41  PM,14.996,0.0,,,,,
111,04/16/23 12:13:41  AM,15.760,0.0,,,,,
112,04/16/23 12:43:41  AM,13.750,0.0,,,,,
113,04/16/23 01:13:41  AM,11.625,0.0,,,,,
114,04/16/23 01:43:41  AM,13.942,0.0,,,,,
115,04/16/23 02:13:41  AM,14.613,0.0,,,,,
116,04/16/23 02:43:41  AM,14.230,0.0,,,,,
117,04/16/23 03:13:41  AM,14.134,0.0,,,,,
118,04/16/23 03:43:41  AM,14.038,0.0,,,,,
119,04/16/23 04:13:41  AM,13.269,0.0,,,,,
120,04/16/23 04:43:41  AM,12.883,0.0,,,,,
121,04/16/23 05:13:41  AM,11.722,0.0,,,,,
122,04/16/23 05:43:41  AM,11.139,0.0,,,,,
123,04/16/23 06:13:41  AM,6.877,1722.2,,,,,
124,04/16/23 06:43:41  AM,12.401,57867.0,,,,,
125,04/16/23 07:13:41  AM,24.351,121245.2,,,,,
126,04/16/23 07:43:41  AM,30.457,159823.3,,,,,
127,04/16/23 08:13:41  AM,31.778,187379.0,,,,,
128,04/16/23 08:43:41  AM,35.009,198401.3,,,,,
129,04/16/23 09:13:41  AM,36.946,209423.6,,,,,
130,04/16/23 09:43:41  AM,39.276,209423.6,,,,,
131,04/16/23 10:13:41  AM,40.530,187379.0,,,,,
132,04/16/23 10:43:41  AM,42.998,209423.6,,,,,
133,04/16/23 11:13:41  AM,44.704,198401.3,,,,,
134,04/16/23 11:43:41  AM,45.577,187379.0,,,,,
135,04/16/23 12:13:41  PM,36.837,0.0,,,,,
136,04/16/23 12:43:41  PM,35.115,0.0,,,,,
137,04/16/23 01:13:41  PM,34.479,0.0,,,,,
138,04/16/23 01:43:41  PM,34.796,0.0,,,,,
139,04/16/23 02:13:41  PM,35.115,0.0,,,,,
140,04/16/23 02:43:41  PM,35.542,0.0,,,,,
141,04/16/23 03:13:41  PM,28.456,10.8,,,,,
142,04/16/23 03:43:41  PM,26.390,10.8,,,,,
143,04/16/23 04:13:41  PM,25.513,0.0,,,,,
144,04/16/23 04:43:41  PM,25.222,0.0,,,,,
145,04/16/23 05:13:41  PM,24.931,0.0,,,,,
146,04/16/23 05:43:41  PM,24.641,0.0,,,,,
147,04/16/23 06:13:41  PM,24.255,0.0,,,,,
148,04/16/23 06:43:41  PM,23.966,0.0,,,,,
149,04/16/23 07:13:41  PM,23.581,0.0,,,,,
150,04/16/23 07:43:41  PM,23.196,0.0,,,,,
151,04/16/23 08:04:12  PM,,,,Logged,,,
152,04/16/23 08:04:13  PM,,,,,Logged,,
153,04/16/23 08:04:19  PM,,,,,,Logged,Logged
