"Plot Title: 20619225"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619225, SEN S/N: 20619225)","Intensity, Lux (LGR S/N: 20619225, SEN S/N: 20619225)","Coupler Detached (LGR S/N: 20619225)","Coupler Attached (LGR S/N: 20619225)","Host Connected (LGR S/N: 20619225)","Stopped (LGR S/N: 20619225)","End Of File (LGR S/N: 20619225)"
1,04/13/23 05:42:51  PM,22.812,0.0,,,,,
2,04/13/23 05:42:57  PM,,,Logged,,,,
3,04/13/23 06:12:51  PM,21.378,0.0,,,,,
4,04/13/23 06:42:51  PM,20.329,0.0,,,,,
5,04/13/23 07:12:51  PM,19.282,0.0,,,,,
6,04/13/23 07:42:51  PM,18.140,0.0,,,,,
7,04/13/23 08:12:51  PM,16.999,0.0,,,,,
8,04/13/23 08:42:51  PM,15.951,0.0,,,,,
9,04/13/23 09:12:51  PM,14.996,0.0,,,,,
10,04/13/23 09:42:51  PM,14.230,0.0,,,,,
11,04/13/23 10:12:51  PM,13.365,0.0,,,,,
12,04/13/23 10:42:51  PM,12.497,0.0,,,,,
13,04/13/23 11:12:51  PM,11.819,0.0,,,,,
14,04/13/23 11:42:51  PM,11.139,0.0,,,,,
15,04/14/23 12:12:51  AM,10.651,0.0,,,,,
16,04/14/23 12:42:51  AM,10.259,0.0,,,,,
17,04/14/23 01:12:51  AM,9.965,0.0,,,,,
18,04/14/23 01:42:51  AM,9.669,0.0,,,,,
19,04/14/23 02:12:51  AM,9.077,0.0,,,,,
20,04/14/23 02:42:51  AM,8.581,0.0,,,,,
21,04/14/23 03:12:51  AM,8.082,0.0,,,,,
22,04/14/23 03:42:51  AM,7.682,0.0,,,,,
23,04/14/23 04:12:51  AM,7.280,0.0,,,,,
24,04/14/23 04:42:51  AM,7.079,0.0,,,,,
25,04/14/23 05:12:51  AM,6.877,0.0,,,,,
26,04/14/23 05:42:51  AM,6.775,0.0,,,,,
27,04/14/23 06:12:51  AM,6.775,0.0,,,,,
28,04/14/23 06:42:51  AM,6.775,0.0,,,,,
29,04/14/23 07:12:51  AM,7.079,0.0,,,,,
30,04/14/23 07:42:51  AM,8.182,0.0,,,,,
31,04/14/23 08:12:51  AM,10.357,0.0,,,,,
32,04/14/23 08:42:51  AM,12.304,0.0,,,,,
33,04/14/23 09:12:51  AM,14.134,0.0,,,,,
34,04/14/23 09:42:51  AM,15.664,0.0,,,,,
35,04/14/23 10:12:51  AM,17.665,0.0,,,,,
36,04/14/23 10:42:51  AM,19.472,0.0,,,,,
37,04/14/23 11:12:51  AM,21.187,0.0,,,,,
38,04/14/23 11:42:51  AM,22.621,0.0,,,,,
39,04/14/23 12:12:51  PM,24.158,0.0,,,,,
40,04/14/23 12:42:51  PM,26.097,0.0,,,,,
41,04/14/23 01:12:51  PM,28.456,0.0,,,,,
42,04/14/23 01:42:51  PM,31.064,904.2,,,,,
43,04/14/23 02:12:51  PM,34.058,505.9,,,,,
44,04/14/23 02:42:51  PM,34.268,26178.0,,,,,
45,04/14/23 03:12:51  PM,30.963,24800.2,,,,,
46,04/14/23 03:42:51  PM,30.659,99200.7,,,,,
47,04/14/23 04:12:51  PM,30.558,26178.0,,,,,
48,04/14/23 04:42:51  PM,30.154,18600.1,,,,,
49,04/14/23 05:12:51  PM,28.357,18600.1,,,,,
50,04/14/23 05:42:51  PM,27.764,14466.8,,,,,
