"Plot Title: 20597543"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597543, SEN S/N: 20597543)","Intensity, Lux (LGR S/N: 20597543, SEN S/N: 20597543)","Coupler Attached (LGR S/N: 20597543)","Host Connected (LGR S/N: 20597543)","Stopped (LGR S/N: 20597543)","End Of File (LGR S/N: 20597543)"
1,04/09/23 08:00:00  PM,23.196,0.0,,,,
2,04/09/23 08:30:00  PM,22.429,0.0,,,,
3,04/09/23 09:00:00  PM,22.333,0.0,,,,
4,04/09/23 09:30:00  PM,22.238,0.0,,,,
5,04/09/23 10:00:00  PM,22.142,0.0,,,,
6,04/09/23 10:30:00  PM,22.046,0.0,,,,
7,04/09/23 11:00:00  PM,21.951,0.0,,,,
8,04/09/23 11:30:00  PM,21.760,0.0,,,,
9,04/10/23 12:00:00  AM,21.664,0.0,,,,
10,04/10/23 12:30:00  AM,21.569,0.0,,,,
11,04/10/23 01:00:00  AM,21.473,0.0,,,,
12,04/10/23 01:30:00  AM,21.282,0.0,,,,
13,04/10/23 02:00:00  AM,21.187,0.0,,,,
14,04/10/23 02:30:00  AM,21.091,0.0,,,,
15,04/10/23 03:00:00  AM,20.996,0.0,,,,
16,04/10/23 03:30:00  AM,20.901,0.0,,,,
17,04/10/23 04:00:00  AM,20.805,0.0,,,,
18,04/10/23 04:30:00  AM,20.710,0.0,,,,
19,04/10/23 05:00:00  AM,20.710,0.0,,,,
20,04/10/23 05:30:00  AM,20.519,0.0,,,,
21,04/10/23 06:00:00  AM,20.519,0.0,,,,
22,04/10/23 06:30:00  AM,20.424,0.0,,,,
23,04/10/23 07:00:00  AM,20.329,10.8,,,,
24,04/10/23 07:30:00  AM,20.424,21.5,,,,
25,04/10/23 08:00:00  AM,20.710,96.9,,,,
26,04/10/23 08:30:00  AM,27.764,8611.2,,,,
27,04/10/23 09:00:00  AM,30.356,7577.8,,,,
28,04/10/23 09:30:00  AM,31.983,7577.8,,,,
29,04/10/23 10:00:00  AM,37.714,187379.0,,,,
30,04/10/23 10:30:00  AM,39.050,209423.6,,,,
