"Plot Title: 20597555"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597555, SEN S/N: 20597555)","Intensity, Lux (LGR S/N: 20597555, SEN S/N: 20597555)","Coupler Detached (LGR S/N: 20597555)","Host Connected (LGR S/N: 20597555)","Coupler Attached (LGR S/N: 20597555)","Stopped (LGR S/N: 20597555)","End Of File (LGR S/N: 20597555)"
1,04/26/23 07:40:08  PM,23.773,269.1,,,,,
2,04/26/23 07:40:12  PM,,,Logged,,,,
3,04/26/23 08:10:08  PM,23.100,0.0,,,,,
4,04/26/23 08:40:08  PM,22.717,0.0,,,,,
5,04/26/23 09:10:08  PM,22.142,0.0,,,,,
6,04/26/23 09:40:08  PM,21.473,0.0,,,,,
7,04/26/23 10:10:08  PM,20.805,0.0,,,,,
8,04/26/23 10:40:08  PM,20.138,0.0,,,,,
9,04/26/23 11:10:08  PM,19.472,0.0,,,,,
10,04/26/23 11:40:08  PM,18.806,0.0,,,,,
11,04/27/23 12:10:08  AM,18.140,0.0,,,,,
12,04/27/23 12:40:08  AM,17.475,0.0,,,,,
13,04/27/23 01:10:08  AM,16.903,0.0,,,,,
14,04/27/23 01:40:08  AM,16.427,0.0,,,,,
15,04/27/23 02:10:08  AM,15.951,0.0,,,,,
16,04/27/23 02:40:08  AM,15.569,0.0,,,,,
17,04/27/23 03:10:08  AM,15.187,0.0,,,,,
18,04/27/23 03:40:08  AM,14.804,0.0,,,,,
19,04/27/23 04:10:08  AM,14.517,0.0,,,,,
20,04/27/23 04:40:08  AM,14.230,0.0,,,,,
21,04/27/23 05:10:08  AM,14.038,0.0,,,,,
22,04/27/23 05:40:08  AM,13.942,0.0,,,,,
23,04/27/23 06:10:08  AM,13.846,0.0,,,,,
24,04/27/23 06:40:08  AM,13.750,0.0,,,,,
25,04/27/23 07:10:08  AM,14.230,0.0,,,,,
26,04/27/23 07:40:08  AM,16.141,0.0,,,,,
27,04/27/23 08:10:08  AM,19.377,0.0,,,,,
28,04/27/23 08:40:08  AM,23.100,0.0,,,,,
29,04/27/23 09:10:08  AM,26.683,0.0,,,,,
30,04/27/23 09:40:08  AM,27.468,0.0,,,,,
31,04/27/23 10:10:08  AM,25.902,0.0,,,,,
32,04/27/23 10:40:08  AM,25.222,0.0,,,,,
33,04/27/23 11:10:08  AM,24.738,0.0,,,,,
34,04/27/23 11:40:08  AM,24.545,0.0,,,,,
35,04/27/23 12:10:08  PM,24.351,0.0,,,,,
36,04/27/23 12:40:08  PM,23.966,0.0,,,,,
37,04/27/23 01:10:08  PM,24.158,0.0,,,,,
38,04/27/23 01:40:08  PM,24.835,0.0,,,,,
39,04/27/23 02:10:08  PM,25.708,0.0,,,,,
40,04/27/23 02:40:08  PM,29.452,0.0,,,,,
41,04/27/23 03:10:08  PM,33.743,0.0,,,,,
42,04/27/23 03:40:08  PM,37.604,0.0,,,,,
43,04/27/23 04:10:08  PM,40.530,0.0,,,,,
44,04/27/23 04:40:08  PM,42.998,0.0,,,,,
45,04/27/23 05:10:08  PM,44.211,0.0,,,,,
46,04/27/23 05:40:08  PM,44.580,0.0,,,,,
47,04/27/23 06:10:08  PM,40.645,10.8,,,,,
48,04/27/23 06:40:08  PM,39.843,10.8,,,,,
49,04/27/23 07:10:08  PM,35.649,10.8,,,,,
50,04/27/23 07:40:08  PM,33.743,0.0,,,,,
51,04/27/23 08:10:08  PM,30.255,0.0,,,,,
52,04/27/23 08:40:08  PM,27.272,0.0,,,,,
53,04/27/23 09:10:08  PM,24.931,0.0,,,,,
54,04/27/23 09:40:08  PM,23.292,0.0,,,,,
55,04/27/23 10:10:08  PM,21.951,0.0,,,,,
56,04/27/23 10:40:08  PM,20.615,0.0,,,,,
57,04/27/23 11:10:08  PM,19.377,0.0,,,,,
58,04/27/23 11:40:08  PM,18.236,0.0,,,,,
59,04/28/23 12:10:08  AM,17.284,0.0,,,,,
60,04/28/23 12:40:08  AM,16.523,0.0,,,,,
61,04/28/23 01:10:08  AM,15.569,0.0,,,,,
62,04/28/23 01:40:08  AM,14.709,0.0,,,,,
63,04/28/23 02:10:08  AM,13.846,0.0,,,,,
64,04/28/23 02:40:08  AM,13.076,0.0,,,,,
65,04/28/23 03:10:08  AM,12.304,0.0,,,,,
66,04/28/23 03:40:08  AM,12.013,0.0,,,,,
67,04/28/23 04:10:08  AM,11.625,0.0,,,,,
68,04/28/23 04:40:08  AM,11.139,0.0,,,,,
69,04/28/23 05:10:08  AM,10.748,0.0,,,,,
70,04/28/23 05:40:08  AM,10.357,0.0,,,,,
71,04/28/23 06:10:08  AM,10.063,0.0,,,,,
72,04/28/23 06:40:08  AM,9.965,0.0,,,,,
73,04/28/23 07:10:08  AM,10.357,10.8,,,,,
74,04/28/23 07:40:08  AM,11.334,32.3,,,,,
75,04/28/23 08:10:08  AM,13.269,53.8,,,,,
76,04/28/23 08:40:08  AM,18.616,43.1,,,,,
77,04/28/23 09:10:08  AM,20.519,43.1,,,,,
78,04/28/23 09:40:08  AM,23.196,53.8,,,,,
79,04/28/23 10:10:08  AM,25.028,53.8,,,,,
80,04/28/23 10:40:08  AM,26.683,43.1,,,,,
81,04/28/23 11:10:08  AM,27.567,43.1,,,,,
82,04/28/23 11:40:08  AM,27.961,64.6,,,,,
83,04/28/23 12:10:08  PM,28.555,43.1,,,,,
84,04/28/23 12:40:08  PM,29.652,75.3,,,,,
85,04/28/23 01:10:08  PM,32.188,75.3,,,,,
86,04/28/23 01:40:08  PM,34.796,86.1,,,,,
87,04/28/23 02:10:08  PM,37.055,96.9,,,,,
88,04/28/23 02:40:08  PM,38.826,107.6,,,,,
89,04/28/23 03:10:08  PM,40.071,129.2,,,,,
90,04/28/23 03:40:08  PM,41.341,172.2,,,,,
91,04/28/23 04:10:08  PM,42.282,279.9,,,,,
92,04/28/23 04:40:08  PM,46.337,231468.2,,,,,
93,04/28/23 05:10:08  PM,45.956,209423.6,,,,,
94,04/28/23 05:40:08  PM,42.046,176356.7,,,,,
95,04/28/23 06:10:08  PM,39.276,148801.0,,,,,
96,04/28/23 06:40:08  PM,35.009,99200.7,,,,,
97,04/28/23 07:10:08  PM,27.272,15155.7,,,,,
98,04/28/23 07:40:08  PM,19.092,1227.1,,,,,
99,04/28/23 08:10:08  PM,15.855,0.0,,,,,
100,04/28/23 08:40:08  PM,15.378,0.0,,,,,
101,04/28/23 09:10:08  PM,13.461,0.0,,,,,
102,04/28/23 09:40:08  PM,13.365,0.0,,,,,
103,04/28/23 10:10:08  PM,13.654,0.0,,,,,
104,04/28/23 10:40:08  PM,12.980,0.0,,,,,
105,04/28/23 11:10:08  PM,13.173,0.0,,,,,
106,04/28/23 11:40:08  PM,13.365,0.0,,,,,
107,04/29/23 12:10:08  AM,13.365,0.0,,,,,
108,04/29/23 12:40:08  AM,12.980,0.0,,,,,
109,04/29/23 01:10:08  AM,12.594,0.0,,,,,
110,04/29/23 01:40:08  AM,12.207,0.0,,,,,
111,04/29/23 02:10:08  AM,11.722,0.0,,,,,
112,04/29/23 02:40:08  AM,11.431,0.0,,,,,
113,04/29/23 03:10:08  AM,11.236,0.0,,,,,
114,04/29/23 03:40:08  AM,10.553,0.0,,,,,
115,04/29/23 04:10:08  AM,10.161,0.0,,,,,
116,04/29/23 04:40:08  AM,10.063,0.0,,,,,
117,04/29/23 05:10:08  AM,10.161,0.0,,,,,
118,04/29/23 05:40:08  AM,9.866,0.0,,,,,
119,04/29/23 06:10:08  AM,9.669,1205.6,,,,,
120,04/29/23 06:40:08  AM,10.259,4994.5,,,,,
121,04/29/23 07:10:08  AM,15.091,12400.1,,,,,
122,04/29/23 07:40:08  AM,20.138,19977.9,,,,,
123,04/29/23 08:10:08  AM,24.255,23422.4,,,,,
124,04/29/23 08:40:08  AM,28.060,27555.7,,,,,
125,04/29/23 09:10:08  AM,31.778,31689.1,,,,,
126,04/29/23 09:40:08  AM,36.187,46844.8,,,,,
127,04/29/23 10:10:08  AM,38.490,68889.3,,,,,
128,04/29/23 10:40:08  AM,37.055,85422.8,,,,,
129,04/29/23 11:10:08  AM,42.401,132267.5,,,,,
130,04/29/23 11:40:08  AM,46.083,170845.6,,,,,
131,04/29/23 12:10:08  PM,46.722,176356.7,,,,,
132,04/29/23 12:40:08  PM,46.465,198401.3,,,,,
133,04/29/23 01:10:08  PM,47.368,198401.3,,,,,
134,04/29/23 01:40:08  PM,48.421,220445.9,,,,,
135,04/29/23 02:10:08  PM,49.090,231468.2,,,,,
136,04/29/23 02:40:08  PM,43.844,154312.1,,,,,
137,04/29/23 03:10:08  PM,38.938,115734.1,,,,,
138,04/29/23 03:40:08  PM,46.722,231468.2,,,,,
139,04/29/23 04:10:08  PM,45.703,198401.3,,,,,
140,04/29/23 04:40:08  PM,42.998,170845.6,,,,,
141,04/29/23 05:10:08  PM,40.992,176356.7,,,,,
142,04/29/23 05:40:08  PM,42.282,170845.6,,,,,
143,04/29/23 06:10:08  PM,39.502,132267.5,,,,,
144,04/29/23 06:40:08  PM,31.983,60622.6,,,,,
145,04/29/23 07:10:08  PM,26.000,18600.1,,,,,
146,04/29/23 07:40:08  PM,21.569,1270.1,,,,,
147,04/29/23 08:10:08  PM,16.808,0.0,,,,,
148,04/29/23 08:40:08  PM,14.517,0.0,,,,,
149,04/29/23 09:10:08  PM,13.654,0.0,,,,,
150,04/29/23 09:40:08  PM,12.690,0.0,,,,,
151,04/29/23 10:10:08  PM,13.269,0.0,,,,,
152,04/29/23 10:40:08  PM,13.076,0.0,,,,,
153,04/29/23 11:10:08  PM,13.269,0.0,,,,,
154,04/29/23 11:40:08  PM,13.269,0.0,,,,,
155,04/30/23 12:10:08  AM,12.110,0.0,,,,,
156,04/30/23 12:40:08  AM,12.013,0.0,,,,,
157,04/30/23 01:10:08  AM,11.916,0.0,,,,,
158,04/30/23 01:40:08  AM,11.819,0.0,,,,,
159,04/30/23 02:10:08  AM,11.041,0.0,,,,,
160,04/30/23 02:40:08  AM,10.357,0.0,,,,,
161,04/30/23 03:10:08  AM,10.357,0.0,,,,,
162,04/30/23 03:40:08  AM,10.063,0.0,,,,,
163,04/30/23 04:10:08  AM,10.259,0.0,,,,,
164,04/30/23 04:40:08  AM,9.669,0.0,,,,,
165,04/30/23 05:10:08  AM,9.472,0.0,,,,,
166,04/30/23 05:40:08  AM,9.472,0.0,,,,,
167,04/30/23 06:10:08  AM,9.472,1011.8,,,,,
168,04/30/23 06:40:08  AM,10.063,4994.5,,,,,
169,04/30/23 07:10:08  AM,14.230,11022.3,,,,,
170,04/30/23 07:40:08  AM,19.472,17911.2,,,,,
171,04/30/23 08:10:08  AM,23.484,21355.7,,,,,
172,04/30/23 08:40:08  AM,27.764,24800.2,,,,,
173,04/30/23 09:10:08  AM,30.760,30311.3,,,,,
174,04/30/23 09:40:08  AM,33.326,44089.2,,,,,
175,04/30/23 10:10:08  AM,35.115,63378.2,,,,,
176,04/30/23 10:40:08  AM,37.274,93689.5,,,,,
177,04/30/23 11:10:08  AM,39.957,132267.5,,,,,
178,04/30/23 11:40:08  AM,41.225,165334.4,,,,,
179,04/30/23 12:10:08  PM,38.046,9644.5,,,,,
180,04/30/23 12:40:08  PM,32.086,4477.8,,,,,
181,04/30/23 01:10:08  PM,31.064,0.0,,,,,
182,04/30/23 01:40:08  PM,34.268,0.0,,,,,
183,04/30/23 02:10:08  PM,35.864,0.0,,,,,
184,04/30/23 02:40:08  PM,34.585,0.0,,,,,
185,04/30/23 03:10:08  PM,34.163,0.0,,,,,
186,04/30/23 03:40:08  PM,34.163,0.0,,,,,
187,04/30/23 04:10:08  PM,35.009,0.0,,,,,
188,04/30/23 04:40:08  PM,36.079,0.0,,,,,
189,04/30/23 05:10:08  PM,35.542,0.0,,,,,
190,04/30/23 05:40:08  PM,34.691,0.0,,,,,
191,04/30/23 06:10:08  PM,33.118,0.0,,,,,
192,04/30/23 06:40:08  PM,32.600,0.0,,,,,
193,04/30/23 07:10:08  PM,33.014,0.0,,,,,
194,04/30/23 07:40:08  PM,32.911,0.0,,,,,
195,04/30/23 08:10:08  PM,28.655,0.0,,,,,
196,04/30/23 08:40:08  PM,27.665,10.8,,,,,
197,04/30/23 09:10:08  PM,26.977,10.8,,,,,
198,04/30/23 09:40:08  PM,26.000,0.0,,,,,
199,04/30/23 10:10:08  PM,25.416,0.0,,,,,
200,04/30/23 10:40:08  PM,25.125,0.0,,,,,
201,04/30/23 11:10:08  PM,24.835,0.0,,,,,
202,04/30/23 11:40:08  PM,24.545,0.0,,,,,
203,05/01/23 12:10:08  AM,24.158,0.0,,,,,
204,05/01/23 12:40:08  AM,23.966,0.0,,,,,
205,05/01/23 01:10:08  AM,23.581,0.0,,,,,
206,05/01/23 01:40:08  AM,23.100,0.0,,,,,
207,05/01/23 02:10:08  AM,22.621,0.0,,,,,
208,05/01/23 02:40:08  AM,22.429,0.0,,,,,
209,05/01/23 03:10:08  AM,22.333,0.0,,,,,
210,05/01/23 03:40:08  AM,22.142,0.0,,,,,
211,05/01/23 04:10:08  AM,21.951,0.0,,,,,
212,05/01/23 04:40:08  AM,21.569,0.0,,,,,
213,05/01/23 05:10:08  AM,21.378,0.0,,,,,
214,05/01/23 05:40:08  AM,21.091,0.0,,,,,
215,05/01/23 06:10:08  AM,20.901,0.0,,,,,
216,05/01/23 06:40:08  AM,20.805,0.0,,,,,
217,05/01/23 07:10:08  AM,20.805,0.0,,,,,
218,05/01/23 07:40:08  AM,20.901,0.0,,,,,
219,05/01/23 08:10:08  AM,21.091,0.0,,,,,
220,05/01/23 08:40:08  AM,21.473,64.6,,,,,
221,05/01/23 09:10:08  AM,21.664,53.8,,,,,
222,05/01/23 09:40:08  AM,21.855,258.3,,,,,
223,05/01/23 10:10:08  AM,22.142,129.2,,,,,
224,05/01/23 10:40:08  AM,22.238,129.2,,,,,
225,05/01/23 11:10:08  AM,22.621,139.9,,,,,
226,05/01/23 11:40:08  AM,22.717,150.7,,,,,
227,05/01/23 12:10:08  PM,23.100,183.0,,,,,
228,05/01/23 12:40:08  PM,23.100,193.8,,,,,
229,05/01/23 01:10:08  PM,23.100,161.5,,,,,
230,05/01/23 01:40:08  PM,23.196,172.2,,,,,
231,05/01/23 02:10:08  PM,23.196,172.2,,,,,
232,05/01/23 02:40:08  PM,23.388,161.5,,,,,
233,05/01/23 03:10:08  PM,23.773,172.2,,,,,
234,05/01/23 03:40:08  PM,23.773,161.5,,,,,
235,05/01/23 04:10:08  PM,23.677,161.5,,,,,
236,05/01/23 04:40:08  PM,23.869,86.1,,,,,
237,05/01/23 05:10:08  PM,23.484,53.8,,,,,
238,05/01/23 05:40:08  PM,23.004,107.6,,,,,
239,05/01/23 06:10:08  PM,22.525,64.6,,,,,
240,05/01/23 06:40:08  PM,21.951,10.8,,,,,
241,05/01/23 07:10:08  PM,21.473,0.0,,,,,
242,05/01/23 07:40:08  PM,20.901,0.0,,,,,
243,05/01/23 08:10:08  PM,20.710,0.0,,,,,
244,05/01/23 08:40:08  PM,21.378,0.0,,,,,
245,05/01/23 09:10:08  PM,20.996,0.0,,,,,
246,05/01/23 09:40:08  PM,20.519,0.0,,,,,
247,05/01/23 10:10:08  PM,20.043,0.0,,,,,
248,05/01/23 10:40:08  PM,19.377,0.0,,,,,
249,05/01/23 11:10:08  PM,18.901,0.0,,,,,
250,05/01/23 11:40:08  PM,18.331,0.0,,,,,
251,05/02/23 12:10:08  AM,17.760,0.0,,,,,
252,05/02/23 12:40:08  AM,17.284,0.0,,,,,
253,05/02/23 01:10:08  AM,17.189,0.0,,,,,
254,05/02/23 01:40:08  AM,17.094,0.0,,,,,
255,05/02/23 02:10:08  AM,16.999,0.0,,,,,
256,05/02/23 02:40:08  AM,16.713,0.0,,,,,
257,05/02/23 03:10:08  AM,16.618,0.0,,,,,
258,05/02/23 03:40:08  AM,16.141,0.0,,,,,
259,05/02/23 04:10:08  AM,15.855,0.0,,,,,
260,05/02/23 04:40:08  AM,15.569,0.0,,,,,
261,05/02/23 05:10:08  AM,15.569,0.0,,,,,
262,05/02/23 05:40:08  AM,15.473,0.0,,,,,
263,05/02/23 06:10:08  AM,15.855,0.0,,,,,
264,05/02/23 06:40:08  AM,15.951,21.5,,,,,
265,05/02/23 07:10:08  AM,16.237,32.3,,,,,
266,05/02/23 07:40:08  AM,16.427,43.1,,,,,
267,05/02/23 08:10:08  AM,16.618,86.1,,,,,
268,05/02/23 08:40:08  AM,16.713,96.9,,,,,
269,05/02/23 09:10:08  AM,16.808,139.9,,,,,
270,05/02/23 09:40:08  AM,16.999,172.2,,,,,
271,05/02/23 10:10:08  AM,16.999,139.9,,,,,
272,05/02/23 10:40:08  AM,17.284,139.9,,,,,
273,05/02/23 11:10:08  AM,17.475,193.8,,,,,
274,05/02/23 11:40:08  AM,17.665,236.8,,,,,
275,05/02/23 12:07:21  PM,,,,Logged,,,
276,05/02/23 12:07:22  PM,,,,,Logged,,
277,05/02/23 12:07:52  PM,,,,,,Logged,Logged
