"Plot Title: 20619225"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619225, SEN S/N: 20619225)","Intensity, Lux (LGR S/N: 20619225, SEN S/N: 20619225)","Coupler Detached (LGR S/N: 20619225)","Host Connected (LGR S/N: 20619225)","Coupler Attached (LGR S/N: 20619225)","Stopped (LGR S/N: 20619225)","End Of File (LGR S/N: 20619225)"
1,04/26/23 07:39:29  PM,24.255,0.0,,,,,
2,04/26/23 07:39:35  PM,,,Logged,,,,
3,04/26/23 08:09:29  PM,23.388,0.0,,,,,
4,04/26/23 08:39:29  PM,22.908,0.0,,,,,
5,04/26/23 09:09:29  PM,22.142,0.0,,,,,
6,04/26/23 09:39:29  PM,21.282,0.0,,,,,
7,04/26/23 10:09:29  PM,20.519,0.0,,,,,
8,04/26/23 10:39:29  PM,19.758,0.0,,,,,
9,04/26/23 11:09:29  PM,18.996,0.0,,,,,
10,04/26/23 11:39:29  PM,18.331,0.0,,,,,
11,04/27/23 12:09:29  AM,17.665,0.0,,,,,
12,04/27/23 12:39:29  AM,16.999,0.0,,,,,
13,04/27/23 01:09:29  AM,16.427,0.0,,,,,
14,04/27/23 01:39:29  AM,15.951,0.0,,,,,
15,04/27/23 02:09:29  AM,15.473,0.0,,,,,
16,04/27/23 02:39:29  AM,15.091,0.0,,,,,
17,04/27/23 03:09:29  AM,14.709,0.0,,,,,
18,04/27/23 03:39:29  AM,14.325,0.0,,,,,
19,04/27/23 04:09:29  AM,14.038,0.0,,,,,
20,04/27/23 04:39:29  AM,13.846,0.0,,,,,
21,04/27/23 05:09:29  AM,13.750,0.0,,,,,
22,04/27/23 05:39:29  AM,13.654,0.0,,,,,
23,04/27/23 06:09:29  AM,13.558,0.0,,,,,
24,04/27/23 06:39:29  AM,13.558,0.0,,,,,
25,04/27/23 07:09:29  AM,14.325,0.0,,,,,
26,04/27/23 07:39:29  AM,16.523,0.0,,,,,
27,04/27/23 08:09:29  AM,19.948,0.0,,,,,
28,04/27/23 08:39:29  AM,23.581,0.0,,,,,
29,04/27/23 09:09:29  AM,26.977,0.0,,,,,
30,04/27/23 09:39:29  AM,26.977,0.0,,,,,
31,04/27/23 10:09:29  AM,25.610,0.0,,,,,
32,04/27/23 10:39:29  AM,25.125,0.0,,,,,
33,04/27/23 11:09:29  AM,24.738,0.0,,,,,
34,04/27/23 11:39:29  AM,24.545,0.0,,,,,
35,04/27/23 12:09:29  PM,24.448,0.0,,,,,
36,04/27/23 12:39:29  PM,24.062,0.0,,,,,
37,04/27/23 01:09:29  PM,24.351,0.0,,,,,
38,04/27/23 01:39:29  PM,24.931,0.0,,,,,
39,04/27/23 02:09:29  PM,25.805,0.0,,,,,
40,04/27/23 02:39:29  PM,29.552,0.0,,,,,
41,04/27/23 03:09:29  PM,33.430,0.0,,,,,
42,04/27/23 03:39:29  PM,36.946,0.0,,,,,
43,04/27/23 04:09:29  PM,39.729,0.0,,,,,
44,04/27/23 04:39:29  PM,42.046,0.0,,,,,
45,04/27/23 05:09:29  PM,43.359,0.0,,,,,
46,04/27/23 05:39:29  PM,43.966,0.0,,,,,
47,04/27/23 06:09:29  PM,40.876,0.0,,,,,
48,04/27/23 06:39:29  PM,39.729,0.0,,,,,
49,04/27/23 07:09:29  PM,36.187,0.0,,,,,
50,04/27/23 07:39:29  PM,34.163,0.0,,,,,
51,04/27/23 08:09:29  PM,30.862,0.0,,,,,
52,04/27/23 08:39:29  PM,27.862,0.0,,,,,
53,04/27/23 09:09:29  PM,25.416,0.0,,,,,
54,04/27/23 09:39:29  PM,23.581,0.0,,,,,
55,04/27/23 10:09:29  PM,22.238,0.0,,,,,
56,04/27/23 10:39:29  PM,20.901,0.0,,,,,
57,04/27/23 11:09:29  PM,19.567,0.0,,,,,
58,04/27/23 11:39:29  PM,18.426,0.0,,,,,
59,04/28/23 12:09:29  AM,17.570,0.0,,,,,
60,04/28/23 12:39:29  AM,16.713,0.0,,,,,
61,04/28/23 01:09:29  AM,15.760,0.0,,,,,
62,04/28/23 01:39:29  AM,14.900,0.0,,,,,
63,04/28/23 02:09:29  AM,14.038,0.0,,,,,
64,04/28/23 02:39:29  AM,13.269,0.0,,,,,
65,04/28/23 03:09:29  AM,12.594,0.0,,,,,
66,04/28/23 03:39:29  AM,12.110,0.0,,,,,
67,04/28/23 04:09:29  AM,11.819,0.0,,,,,
68,04/28/23 04:39:29  AM,11.334,0.0,,,,,
69,04/28/23 05:09:29  AM,10.846,0.0,,,,,
70,04/28/23 05:39:29  AM,10.553,0.0,,,,,
71,04/28/23 06:09:29  AM,10.161,0.0,,,,,
72,04/28/23 06:39:29  AM,10.063,0.0,,,,,
73,04/28/23 07:09:29  AM,10.357,0.0,,,,,
74,04/28/23 07:39:29  AM,11.139,0.0,,,,,
75,04/28/23 08:09:29  AM,12.690,0.0,,,,,
76,04/28/23 08:39:29  AM,17.950,0.0,,,,,
77,04/28/23 09:09:29  AM,19.662,0.0,,,,,
78,04/28/23 09:39:29  AM,22.333,0.0,,,,,
79,04/28/23 10:09:29  AM,24.351,0.0,,,,,
80,04/28/23 10:39:29  AM,26.097,0.0,,,,,
81,04/28/23 11:09:29  AM,27.075,0.0,,,,,
82,04/28/23 11:39:29  AM,27.665,0.0,,,,,
83,04/28/23 12:09:29  PM,28.357,0.0,,,,,
84,04/28/23 12:39:29  PM,29.152,0.0,,,,,
85,04/28/23 01:09:29  PM,31.268,0.0,,,,,
86,04/28/23 01:39:29  PM,33.848,0.0,,,,,
87,04/28/23 02:09:29  PM,36.079,0.0,,,,,
88,04/28/23 02:39:29  PM,37.935,0.0,,,,,
89,04/28/23 03:09:29  PM,39.276,0.0,,,,,
90,04/28/23 03:39:29  PM,40.530,10.8,,,,,
91,04/28/23 04:09:29  PM,41.575,10.8,,,,,
92,04/28/23 04:39:29  PM,48.421,137778.7,,,,,
93,04/28/23 05:09:29  PM,48.421,44089.2,,,,,
94,04/28/23 05:39:29  PM,42.282,49600.3,,,,,
95,04/28/23 06:09:29  PM,38.490,35822.5,,,,,
96,04/28/23 06:39:29  PM,34.691,44089.2,,,,,
97,04/28/23 07:09:29  PM,29.652,15844.5,,,,,
98,04/28/23 07:39:29  PM,22.812,516.7,,,,,
99,04/28/23 08:09:29  PM,20.234,0.0,,,,,
100,04/28/23 08:39:29  PM,18.996,0.0,,,,,
101,04/28/23 09:09:29  PM,16.332,0.0,,,,,
102,04/28/23 09:39:29  PM,14.517,0.0,,,,,
103,04/28/23 10:09:29  PM,13.654,0.0,,,,,
104,04/28/23 10:39:29  PM,13.269,0.0,,,,,
105,04/28/23 11:09:29  PM,12.883,0.0,,,,,
106,04/28/23 11:39:29  PM,12.497,0.0,,,,,
107,04/29/23 12:09:29  AM,12.207,0.0,,,,,
108,04/29/23 12:39:29  AM,11.819,0.0,,,,,
109,04/29/23 01:09:29  AM,11.819,0.0,,,,,
110,04/29/23 01:39:29  AM,11.625,0.0,,,,,
111,04/29/23 02:09:29  AM,11.041,0.0,,,,,
112,04/29/23 02:39:29  AM,10.748,0.0,,,,,
113,04/29/23 03:09:29  AM,10.357,0.0,,,,,
114,04/29/23 03:39:29  AM,9.768,0.0,,,,,
115,04/29/23 04:09:29  AM,9.669,0.0,,,,,
116,04/29/23 04:39:29  AM,9.472,0.0,,,,,
117,04/29/23 05:09:29  AM,9.077,0.0,,,,,
118,04/29/23 05:39:29  AM,8.779,0.0,,,,,
119,04/29/23 06:09:29  AM,8.680,376.7,,,,,
120,04/29/23 06:39:29  AM,9.571,1463.9,,,,,
121,04/29/23 07:09:29  AM,11.722,3616.7,,,,,
122,04/29/23 07:39:29  AM,14.709,4822.3,,,,,
123,04/29/23 08:09:29  AM,17.950,5511.1,,,,,
124,04/29/23 08:39:29  AM,21.760,7577.8,,,,,
125,04/29/23 09:09:29  AM,25.610,10333.4,,,,,
