"Plot Title: 20597569"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597569, SEN S/N: 20597569)","Intensity, Lux (LGR S/N: 20597569, SEN S/N: 20597569)","Coupler Detached (LGR S/N: 20597569)","Coupler Attached (LGR S/N: 20597569)","Host Connected (LGR S/N: 20597569)","Stopped (LGR S/N: 20597569)","End Of File (LGR S/N: 20597569)"
1,04/09/23 07:58:24  PM,23.677,0.0,,,,,
2,04/09/23 07:58:28  PM,,,Logged,,,,
3,04/09/23 08:28:24  PM,22.525,0.0,,,,,
4,04/09/23 08:58:24  PM,22.238,0.0,,,,,
5,04/09/23 09:28:24  PM,22.046,0.0,,,,,
6,04/09/23 09:58:24  PM,21.855,0.0,,,,,
7,04/09/23 10:28:24  PM,21.760,0.0,,,,,
8,04/09/23 10:58:24  PM,21.664,0.0,,,,,
9,04/09/23 11:28:24  PM,21.473,0.0,,,,,
10,04/09/23 11:58:24  PM,21.378,0.0,,,,,
11,04/10/23 12:28:24  AM,21.282,0.0,,,,,
12,04/10/23 12:58:24  AM,21.187,0.0,,,,,
13,04/10/23 01:28:24  AM,21.091,0.0,,,,,
14,04/10/23 01:58:24  AM,20.996,0.0,,,,,
15,04/10/23 02:28:24  AM,20.805,0.0,,,,,
16,04/10/23 02:58:24  AM,20.710,0.0,,,,,
17,04/10/23 03:28:24  AM,20.710,0.0,,,,,
18,04/10/23 03:58:24  AM,20.615,0.0,,,,,
19,04/10/23 04:28:24  AM,20.519,0.0,,,,,
20,04/10/23 04:58:24  AM,20.424,0.0,,,,,
21,04/10/23 05:28:24  AM,20.329,0.0,,,,,
22,04/10/23 05:58:24  AM,20.329,0.0,,,,,
23,04/10/23 06:28:24  AM,20.234,0.0,,,,,
24,04/10/23 06:58:24  AM,20.138,10.8,,,,,
25,04/10/23 07:28:24  AM,20.138,10.8,,,,,
26,04/10/23 07:58:24  AM,20.138,53.8,,,,,
27,04/10/23 08:28:24  AM,20.329,53.8,,,,,
28,04/10/23 08:58:24  AM,20.424,75.3,,,,,
29,04/10/23 09:28:24  AM,20.615,86.1,,,,,
30,04/10/23 09:58:24  AM,20.710,96.9,,,,,
31,04/10/23 10:28:24  AM,20.996,53.8,,,,,
32,04/10/23 10:58:24  AM,21.187,53.8,,,,,
33,04/10/23 11:28:24  AM,21.282,43.1,,,,,
34,04/10/23 11:58:24  AM,21.473,53.8,,,,,
35,04/10/23 12:28:24  PM,21.569,75.3,,,,,
36,04/10/23 12:58:24  PM,21.760,75.3,,,,,
37,04/10/23 01:28:24  PM,21.951,86.1,,,,,
38,04/10/23 01:58:24  PM,22.238,96.9,,,,,
39,04/10/23 02:28:24  PM,22.429,107.6,,,,,
40,04/10/23 02:58:24  PM,22.525,64.6,,,,,
41,04/10/23 03:28:24  PM,22.621,53.8,,,,,
42,04/10/23 03:58:24  PM,21.760,0.0,,,,,
43,04/10/23 04:28:24  PM,21.473,0.0,,,,,
44,04/10/23 04:58:24  PM,21.378,0.0,,,,,
45,04/10/23 05:28:24  PM,21.378,0.0,,,,,
46,04/10/23 05:58:24  PM,21.282,0.0,,,,,
47,04/10/23 06:28:24  PM,21.187,0.0,,,,,
48,04/10/23 06:58:24  PM,21.187,0.0,,,,,
49,04/10/23 07:28:24  PM,21.091,0.0,,,,,
50,04/10/23 07:58:24  PM,21.091,0.0,,,,,
51,04/10/23 08:28:24  PM,21.282,0.0,,,,,
52,04/10/23 08:58:24  PM,20.519,0.0,,,,,
53,04/10/23 09:28:24  PM,19.567,0.0,,,,,
54,04/10/23 09:58:24  PM,18.616,0.0,,,,,
55,04/10/23 10:28:24  PM,17.760,0.0,,,,,
56,04/10/23 10:58:24  PM,16.999,0.0,,,,,
57,04/10/23 11:28:24  PM,16.523,0.0,,,,,
58,04/10/23 11:58:24  PM,16.141,0.0,,,,,
59,04/11/23 12:28:24  AM,15.760,0.0,,,,,
60,04/11/23 12:58:24  AM,15.473,0.0,,,,,
61,04/11/23 01:28:24  AM,15.282,0.0,,,,,
62,04/11/23 01:58:24  AM,15.569,0.0,,,,,
63,04/11/23 02:28:24  AM,15.855,0.0,,,,,
64,04/11/23 02:58:24  AM,16.046,0.0,,,,,
65,04/11/23 03:28:24  AM,16.046,0.0,,,,,
66,04/11/23 03:58:24  AM,16.141,0.0,,,,,
67,04/11/23 04:28:24  AM,16.141,0.0,,,,,
68,04/11/23 04:58:24  AM,16.141,0.0,,,,,
69,04/11/23 05:28:24  AM,16.141,0.0,,,,,
70,04/11/23 05:58:24  AM,16.046,0.0,,,,,
71,04/11/23 06:28:24  AM,16.046,0.0,,,,,
72,04/11/23 06:58:24  AM,16.046,0.0,,,,,
73,04/11/23 07:28:24  AM,16.808,0.0,,,,,
74,04/11/23 07:58:24  AM,18.236,0.0,,,,,
75,04/11/23 08:28:24  AM,20.043,0.0,,,,,
76,04/11/23 08:58:24  AM,21.282,0.0,,,,,
77,04/11/23 09:28:24  AM,22.908,0.0,,,,,
78,04/11/23 09:58:24  AM,24.641,0.0,,,,,
79,04/11/23 10:28:24  AM,28.060,0.0,,,,,
80,04/11/23 10:58:24  AM,31.166,0.0,,,,,
81,04/11/23 11:28:24  AM,33.430,0.0,,,,,
82,04/11/23 11:58:24  AM,35.756,14466.8,,,,,
83,04/11/23 12:28:24  PM,37.274,15155.7,,,,,
84,04/11/23 12:58:24  PM,39.389,16533.4,,,,,
85,04/11/23 01:28:24  PM,40.761,26178.0,,,,,
86,04/11/23 01:58:24  PM,41.225,34444.7,,,,,
87,04/11/23 02:28:24  PM,52.149,264535.1,,,,,
88,04/11/23 02:58:24  PM,53.313,275557.4,,,,,
89,04/11/23 03:28:24  PM,47.109,132267.5,,,,,
90,04/11/23 03:58:24  PM,46.722,176356.7,,,,,
91,04/11/23 04:28:24  PM,47.368,253512.8,,,,,
92,04/11/23 04:58:24  PM,41.458,82667.2,,,,,
93,04/11/23 05:28:24  PM,44.952,198401.3,,,,,
