"Plot Title: 20619225"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619225, SEN S/N: 20619225)","Intensity, Lux (LGR S/N: 20619225, SEN S/N: 20619225)","Coupler Detached (LGR S/N: 20619225)","Coupler Attached (LGR S/N: 20619225)","Host Connected (LGR S/N: 20619225)","Stopped (LGR S/N: 20619225)","End Of File (LGR S/N: 20619225)"
1,04/09/23 07:59:24  PM,23.388,290.6,,,,,
2,04/09/23 07:59:35  PM,,,Logged,,,,
3,04/09/23 08:29:24  PM,22.621,0.0,,,,,
4,04/09/23 08:59:24  PM,22.238,0.0,,,,,
5,04/09/23 09:29:24  PM,22.046,0.0,,,,,
6,04/09/23 09:59:24  PM,21.855,0.0,,,,,
7,04/09/23 10:29:24  PM,21.760,0.0,,,,,
8,04/09/23 10:59:24  PM,21.569,0.0,,,,,
9,04/09/23 11:29:24  PM,21.473,0.0,,,,,
10,04/09/23 11:59:24  PM,21.378,0.0,,,,,
11,04/10/23 12:29:24  AM,21.282,0.0,,,,,
12,04/10/23 12:59:24  AM,21.187,0.0,,,,,
13,04/10/23 01:29:24  AM,20.996,0.0,,,,,
14,04/10/23 01:59:24  AM,20.901,0.0,,,,,
15,04/10/23 02:29:24  AM,20.805,0.0,,,,,
16,04/10/23 02:59:24  AM,20.710,0.0,,,,,
17,04/10/23 03:29:24  AM,20.710,0.0,,,,,
18,04/10/23 03:59:24  AM,20.615,0.0,,,,,
19,04/10/23 04:29:24  AM,20.519,0.0,,,,,
20,04/10/23 04:59:24  AM,20.424,0.0,,,,,
21,04/10/23 05:29:24  AM,20.329,0.0,,,,,
22,04/10/23 05:59:24  AM,20.329,0.0,,,,,
23,04/10/23 06:29:24  AM,20.234,0.0,,,,,
24,04/10/23 06:59:24  AM,20.138,10.8,,,,,
25,04/10/23 07:29:24  AM,20.138,21.5,,,,,
26,04/10/23 07:59:24  AM,20.234,43.1,,,,,
27,04/10/23 08:29:24  AM,20.329,32.3,,,,,
28,04/10/23 08:59:24  AM,20.424,53.8,,,,,
29,04/10/23 09:29:24  AM,20.519,64.6,,,,,
30,04/10/23 09:59:24  AM,20.710,64.6,,,,,
31,04/10/23 10:29:24  AM,20.805,53.8,,,,,
32,04/10/23 10:59:24  AM,21.091,53.8,,,,,
33,04/10/23 11:29:24  AM,21.282,43.1,,,,,
34,04/10/23 11:59:24  AM,21.473,53.8,,,,,
35,04/10/23 12:29:24  PM,21.664,75.3,,,,,
36,04/10/23 12:59:24  PM,21.760,75.3,,,,,
37,04/10/23 01:29:24  PM,21.951,75.3,,,,,
38,04/10/23 01:59:24  PM,22.238,75.3,,,,,
39,04/10/23 02:29:24  PM,22.429,75.3,,,,,
40,04/10/23 02:59:24  PM,22.429,53.8,,,,,
41,04/10/23 03:29:24  PM,22.621,53.8,,,,,
42,04/10/23 03:59:24  PM,21.569,0.0,,,,,
43,04/10/23 04:29:24  PM,21.282,0.0,,,,,
44,04/10/23 04:59:24  PM,21.091,0.0,,,,,
45,04/10/23 05:29:24  PM,20.996,0.0,,,,,
46,04/10/23 05:59:24  PM,20.901,0.0,,,,,
47,04/10/23 06:29:24  PM,20.901,0.0,,,,,
48,04/10/23 06:59:24  PM,20.805,0.0,,,,,
49,04/10/23 07:29:24  PM,20.805,0.0,,,,,
50,04/10/23 07:59:24  PM,21.187,0.0,,,,,
51,04/10/23 08:29:24  PM,21.951,0.0,,,,,
52,04/10/23 08:59:24  PM,21.664,0.0,,,,,
53,04/10/23 09:29:24  PM,21.091,0.0,,,,,
54,04/10/23 09:59:24  PM,20.234,0.0,,,,,
55,04/10/23 10:29:24  PM,19.472,0.0,,,,,
56,04/10/23 10:59:24  PM,18.616,0.0,,,,,
57,04/10/23 11:29:24  PM,17.950,0.0,,,,,
58,04/10/23 11:59:24  PM,17.475,0.0,,,,,
59,04/11/23 12:29:24  AM,17.094,0.0,,,,,
60,04/11/23 12:59:24  AM,16.618,0.0,,,,,
61,04/11/23 01:29:24  AM,16.332,0.0,,,,,
62,04/11/23 01:59:24  AM,16.141,0.0,,,,,
63,04/11/23 02:29:24  AM,16.141,0.0,,,,,
64,04/11/23 02:59:24  AM,16.237,0.0,,,,,
65,04/11/23 03:29:24  AM,16.332,0.0,,,,,
66,04/11/23 03:59:24  AM,16.332,0.0,,,,,
67,04/11/23 04:29:24  AM,16.332,0.0,,,,,
68,04/11/23 04:59:24  AM,16.427,0.0,,,,,
69,04/11/23 05:29:24  AM,16.427,0.0,,,,,
70,04/11/23 05:59:24  AM,16.427,0.0,,,,,
71,04/11/23 06:29:24  AM,16.427,0.0,,,,,
72,04/11/23 06:59:24  AM,16.332,0.0,,,,,
73,04/11/23 07:29:24  AM,16.523,0.0,,,,,
74,04/11/23 07:59:24  AM,17.189,0.0,,,,,
75,04/11/23 08:29:24  AM,18.045,0.0,,,,,
76,04/11/23 08:59:24  AM,19.187,0.0,,,,,
77,04/11/23 09:29:24  AM,20.615,0.0,,,,,
78,04/11/23 09:59:24  AM,22.238,0.0,,,,,
79,04/11/23 10:29:24  AM,24.158,0.0,,,,,
80,04/11/23 10:59:24  AM,26.488,0.0,,,,,
81,04/11/23 11:29:24  AM,28.754,0.0,,,,,
82,04/11/23 11:59:24  AM,35.222,31689.1,,,,,
83,04/11/23 12:29:24  PM,37.055,17222.3,,,,,
84,04/11/23 12:59:24  PM,47.629,165334.4,,,,,
85,04/11/23 01:29:24  PM,47.892,159823.3,,,,,
86,04/11/23 01:59:24  PM,42.878,13777.9,,,,,
87,04/11/23 02:29:24  PM,45.956,93689.5,,,,,
88,04/11/23 02:59:24  PM,47.760,148801.0,,,,,
89,04/11/23 03:29:24  PM,42.998,71644.9,,,,,
90,04/11/23 03:59:24  PM,45.956,198401.3,,,,,
91,04/11/23 04:29:24  PM,45.577,209423.6,,,,,
92,04/11/23 04:59:24  PM,39.957,93689.5,,,,,
93,04/11/23 05:29:24  PM,43.238,165334.4,,,,,
94,04/11/23 05:59:24  PM,36.079,42711.4,,,,,
95,04/11/23 06:29:24  PM,31.166,13777.9,,,,,
96,04/11/23 06:59:24  PM,28.853,3961.1,,,,,
97,04/11/23 07:29:24  PM,26.879,64.6,,,,,
98,04/11/23 07:59:24  PM,25.610,0.0,,,,,
99,04/11/23 08:29:24  PM,26.195,0.0,,,,,
100,04/11/23 08:59:24  PM,25.222,0.0,,,,,
101,04/11/23 09:29:24  PM,24.931,0.0,,,,,
102,04/11/23 09:59:24  PM,24.255,0.0,,,,,
103,04/11/23 10:29:24  PM,23.100,0.0,,,,,
104,04/11/23 10:59:24  PM,20.234,0.0,,,,,
105,04/11/23 11:29:24  PM,20.424,0.0,,,,,
106,04/11/23 11:59:24  PM,20.424,0.0,,,,,
107,04/12/23 12:29:24  AM,18.426,0.0,,,,,
108,04/12/23 12:59:24  AM,21.091,0.0,,,,,
109,04/12/23 01:29:24  AM,19.472,0.0,,,,,
110,04/12/23 01:59:24  AM,18.996,0.0,,,,,
111,04/12/23 02:29:24  AM,20.424,0.0,,,,,
112,04/12/23 02:59:24  AM,20.519,0.0,,,,,
113,04/12/23 03:29:24  AM,19.472,0.0,,,,,
114,04/12/23 03:59:24  AM,18.996,0.0,,,,,
115,04/12/23 04:29:24  AM,19.567,0.0,,,,,
116,04/12/23 04:59:24  AM,18.711,0.0,,,,,
117,04/12/23 05:29:24  AM,18.711,0.0,,,,,
118,04/12/23 05:59:24  AM,19.092,10.8,,,,,
119,04/12/23 06:29:24  AM,18.901,1227.1,,,,,
120,04/12/23 06:59:24  AM,19.472,4822.3,,,,,
121,04/12/23 07:29:24  AM,19.662,7577.8,,,,,
122,04/12/23 07:59:24  AM,21.664,14466.8,,,,,
123,04/12/23 08:29:24  AM,26.097,30311.3,,,,,
124,04/12/23 08:59:24  AM,25.805,33066.9,,,,,
125,04/12/23 09:29:24  AM,26.879,37200.2,,,,,
126,04/12/23 09:59:24  AM,26.488,30311.3,,,,,
127,04/12/23 10:29:24  AM,27.272,35822.5,,,,,
128,04/12/23 10:59:24  AM,27.961,33066.9,,,,,
129,04/12/23 11:29:24  AM,29.252,37200.2,,,,,
130,04/12/23 11:59:24  AM,32.188,33066.9,,,,,
131,04/12/23 12:29:24  PM,33.430,49600.3,,,,,
132,04/12/23 12:59:24  PM,36.511,63378.2,,,,,
133,04/12/23 01:29:24  PM,35.009,49600.3,,,,,
134,04/12/23 01:59:24  PM,34.163,55111.5,,,,,
135,04/12/23 02:29:24  PM,42.998,187379.0,,,,,
136,04/12/23 02:59:24  PM,35.971,60622.6,,,,,
137,04/12/23 03:29:24  PM,35.435,57867.0,,,,,
138,04/12/23 03:59:24  PM,37.494,93689.5,,,,,
139,04/12/23 04:29:24  PM,39.957,99200.7,,,,,
140,04/12/23 04:59:24  PM,42.758,198401.3,,,,,
141,04/12/23 05:29:24  PM,36.728,143289.8,,,,,
142,04/12/23 05:59:24  PM,32.704,55111.5,,,,,
143,04/12/23 06:29:24  PM,28.258,17911.2,,,,,
144,04/12/23 06:59:24  PM,26.390,4650.0,,,,,
145,04/12/23 07:29:24  PM,25.028,118.4,,,,,
146,04/12/23 07:59:24  PM,23.581,0.0,,,,,
147,04/12/23 08:29:24  PM,22.717,0.0,,,,,
148,04/12/23 08:59:24  PM,22.142,0.0,,,,,
149,04/12/23 09:29:24  PM,21.664,0.0,,,,,
150,04/12/23 09:59:24  PM,21.664,0.0,,,,,
151,04/12/23 10:29:24  PM,21.091,0.0,,,,,
152,04/12/23 10:59:24  PM,19.758,0.0,,,,,
153,04/12/23 11:29:24  PM,18.616,0.0,,,,,
154,04/12/23 11:59:24  PM,17.855,0.0,,,,,
155,04/13/23 12:29:24  AM,16.999,0.0,,,,,
156,04/13/23 12:59:24  AM,16.332,0.0,,,,,
157,04/13/23 01:29:24  AM,15.951,0.0,,,,,
158,04/13/23 01:59:24  AM,15.855,0.0,,,,,
159,04/13/23 02:29:24  AM,15.569,0.0,,,,,
160,04/13/23 02:59:24  AM,15.378,0.0,,,,,
161,04/13/23 03:29:24  AM,14.230,0.0,,,,,
162,04/13/23 03:59:24  AM,14.230,0.0,,,,,
163,04/13/23 04:29:24  AM,13.173,0.0,,,,,
164,04/13/23 04:59:24  AM,12.497,0.0,,,,,
165,04/13/23 05:29:24  AM,12.013,0.0,,,,,
166,04/13/23 05:59:24  AM,11.916,21.5,,,,,
167,04/13/23 06:29:24  AM,11.916,1065.6,,,,,
168,04/13/23 06:59:24  AM,11.722,3100.0,,,,,
169,04/13/23 07:29:24  AM,17.379,11022.3,,,,,
170,04/13/23 07:59:24  AM,17.475,11022.3,,,,,
171,04/13/23 08:29:24  AM,20.519,13089.0,,,,,
172,04/13/23 08:59:24  AM,19.758,13089.0,,,,,
173,04/13/23 09:29:24  AM,20.138,13777.9,,,,,
174,04/13/23 09:59:24  AM,21.187,14466.8,,,,,
175,04/13/23 10:29:24  AM,22.908,15844.5,,,,,
176,04/13/23 10:59:24  AM,31.472,64.6,,,,,
177,04/13/23 11:29:24  AM,30.760,64.6,,,,,
178,04/13/23 11:59:24  AM,30.457,21.5,,,,,
179,04/13/23 12:29:24  PM,30.356,0.0,,,,,
180,04/13/23 12:59:24  PM,30.862,0.0,,,,,
181,04/13/23 01:29:24  PM,31.370,0.0,,,,,
182,04/13/23 01:59:24  PM,31.472,0.0,,,,,
183,04/13/23 02:29:24  PM,31.574,0.0,,,,,
184,04/13/23 02:59:24  PM,31.778,0.0,,,,,
185,04/13/23 03:29:24  PM,31.472,0.0,,,,,
186,04/13/23 03:59:24  PM,24.158,441.3,,,,,
187,04/13/23 04:29:24  PM,22.429,333.7,,,,,
188,04/13/23 04:59:24  PM,22.238,312.2,,,,,
189,04/13/23 05:29:24  PM,22.238,107.6,,,,,
190,04/13/23 05:39:54  PM,,,,Logged,,,
191,04/13/23 05:39:55  PM,,,,,Logged,,
192,04/13/23 05:40:01  PM,,,Logged,,,,
193,04/13/23 05:40:04  PM,,,,Logged,Logged,,
194,04/13/23 05:40:35  PM,,,,,,Logged,Logged
