"Plot Title: 20619220"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619220, SEN S/N: 20619220)","Intensity, Lux (LGR S/N: 20619220, SEN S/N: 20619220)","Coupler Detached (LGR S/N: 20619220)","Coupler Attached (LGR S/N: 20619220)","Host Connected (LGR S/N: 20619220)","Stopped (LGR S/N: 20619220)","End Of File (LGR S/N: 20619220)"
1,04/09/23 07:59:02  PM,23.196,0.0,,,,,
2,04/09/23 07:59:07  PM,,,Logged,,,,
3,04/09/23 08:29:02  PM,22.812,0.0,,,,,
4,04/09/23 08:59:02  PM,22.429,0.0,,,,,
5,04/09/23 09:29:02  PM,22.238,0.0,,,,,
6,04/09/23 09:59:02  PM,22.142,0.0,,,,,
7,04/09/23 10:29:02  PM,21.951,0.0,,,,,
8,04/09/23 10:59:02  PM,21.760,0.0,,,,,
9,04/09/23 11:29:02  PM,21.664,0.0,,,,,
10,04/09/23 11:59:02  PM,21.569,0.0,,,,,
11,04/10/23 12:29:02  AM,21.473,0.0,,,,,
12,04/10/23 12:59:02  AM,21.282,0.0,,,,,
13,04/10/23 01:29:02  AM,21.187,0.0,,,,,
14,04/10/23 01:59:02  AM,21.091,0.0,,,,,
15,04/10/23 02:29:02  AM,20.996,0.0,,,,,
16,04/10/23 02:59:02  AM,20.901,0.0,,,,,
17,04/10/23 03:29:02  AM,20.805,0.0,,,,,
18,04/10/23 03:59:02  AM,20.710,0.0,,,,,
19,04/10/23 04:29:02  AM,20.615,0.0,,,,,
20,04/10/23 04:59:02  AM,20.615,0.0,,,,,
21,04/10/23 05:29:02  AM,20.519,0.0,,,,,
22,04/10/23 05:59:02  AM,20.424,0.0,,,,,
23,04/10/23 06:29:02  AM,20.329,0.0,,,,,
24,04/10/23 06:59:02  AM,20.234,21.5,,,,,
25,04/10/23 07:29:02  AM,20.329,32.3,,,,,
26,04/10/23 07:59:02  AM,20.329,43.1,,,,,
27,04/10/23 08:29:02  AM,20.519,43.1,,,,,
28,04/10/23 08:59:02  AM,20.615,64.6,,,,,
29,04/10/23 09:29:02  AM,20.805,75.3,,,,,
30,04/10/23 09:59:02  AM,20.901,75.3,,,,,
31,04/10/23 10:29:02  AM,21.091,64.6,,,,,
32,04/10/23 10:59:02  AM,21.378,64.6,,,,,
33,04/10/23 11:29:02  AM,21.569,64.6,,,,,
34,04/10/23 11:59:02  AM,21.760,75.3,,,,,
35,04/10/23 12:29:02  PM,21.855,96.9,,,,,
36,04/10/23 12:59:02  PM,22.046,96.9,,,,,
37,04/10/23 01:29:02  PM,22.333,107.6,,,,,
38,04/10/23 01:59:02  PM,22.525,64.6,,,,,
39,04/10/23 02:29:02  PM,22.525,75.3,,,,,
40,04/10/23 02:59:02  PM,22.621,53.8,,,,,
