"Plot Title: 20597569"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597569, SEN S/N: 20597569)","Intensity, Lux (LGR S/N: 20597569, SEN S/N: 20597569)","Coupler Detached (LGR S/N: 20597569)","Coupler Attached (LGR S/N: 20597569)","Host Connected (LGR S/N: 20597569)","Stopped (LGR S/N: 20597569)","End Of File (LGR S/N: 20597569)"
1,04/16/23 08:05:13  PM,22.908,0.0,,,,,
2,04/16/23 08:05:36  PM,,,Logged,,,,
3,04/16/23 08:35:13  PM,23.484,0.0,,,,,
4,04/16/23 09:05:13  PM,23.388,0.0,,,,,
5,04/16/23 09:35:13  PM,23.100,0.0,,,,,
6,04/16/23 10:05:13  PM,22.812,0.0,,,,,
7,04/16/23 10:35:13  PM,22.621,0.0,,,,,
8,04/16/23 11:05:13  PM,22.429,0.0,,,,,
9,04/16/23 11:35:13  PM,22.142,0.0,,,,,
10,04/17/23 12:05:13  AM,21.951,0.0,,,,,
11,04/17/23 12:35:13  AM,21.855,0.0,,,,,
12,04/17/23 01:05:13  AM,21.664,0.0,,,,,
13,04/17/23 01:35:13  AM,21.569,0.0,,,,,
14,04/17/23 02:05:13  AM,21.378,0.0,,,,,
15,04/17/23 02:35:13  AM,21.282,0.0,,,,,
16,04/17/23 03:05:13  AM,21.187,0.0,,,,,
17,04/17/23 03:35:13  AM,21.091,0.0,,,,,
18,04/17/23 04:05:13  AM,20.996,0.0,,,,,
19,04/17/23 04:35:13  AM,20.901,0.0,,,,,
20,04/17/23 05:05:13  AM,20.805,0.0,,,,,
21,04/17/23 05:35:13  AM,20.710,0.0,,,,,
22,04/17/23 06:05:13  AM,20.615,0.0,,,,,
23,04/17/23 06:35:13  AM,20.519,0.0,,,,,
24,04/17/23 07:05:13  AM,20.519,0.0,,,,,
25,04/17/23 07:35:13  AM,20.519,10.8,,,,,
26,04/17/23 08:05:13  AM,20.519,0.0,,,,,
27,04/17/23 08:35:13  AM,20.805,0.0,,,,,
28,04/17/23 09:05:13  AM,20.996,0.0,,,,,
29,04/17/23 09:35:13  AM,21.282,0.0,,,,,
30,04/17/23 10:05:13  AM,26.488,6200.0,,,,,
31,04/17/23 10:35:13  AM,37.935,253512.8,,,,,
32,04/17/23 11:05:13  AM,41.341,264535.1,,,,,
33,04/17/23 11:35:13  AM,41.225,264535.1,,,,,
34,04/17/23 12:05:13  PM,42.639,264535.1,,,,,
35,04/17/23 12:35:13  PM,41.810,264535.1,,,,,
