"Plot Title: 20619225"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619225, SEN S/N: 20619225)","Intensity, Lux (LGR S/N: 20619225, SEN S/N: 20619225)","Coupler Detached (LGR S/N: 20619225)","Coupler Attached (LGR S/N: 20619225)","Host Connected (LGR S/N: 20619225)","Stopped (LGR S/N: 20619225)","End Of File (LGR S/N: 20619225)"
1,04/16/23 08:04:09  PM,22.621,0.0,,,,,
2,04/16/23 08:04:14  PM,,,Logged,,,,
3,04/16/23 08:34:09  PM,22.717,0.0,,,,,
4,04/16/23 09:04:09  PM,22.429,0.0,,,,,
5,04/16/23 09:34:09  PM,22.238,0.0,,,,,
6,04/16/23 10:04:09  PM,22.142,0.0,,,,,
7,04/16/23 10:34:09  PM,21.951,0.0,,,,,
8,04/16/23 11:04:09  PM,21.855,0.0,,,,,
9,04/16/23 11:34:09  PM,21.664,0.0,,,,,
10,04/17/23 12:04:09  AM,21.569,0.0,,,,,
11,04/17/23 12:34:09  AM,21.473,0.0,,,,,
12,04/17/23 01:04:09  AM,21.378,0.0,,,,,
13,04/17/23 01:34:09  AM,21.282,0.0,,,,,
14,04/17/23 02:04:09  AM,21.187,0.0,,,,,
15,04/17/23 02:34:09  AM,21.091,0.0,,,,,
16,04/17/23 03:04:09  AM,20.996,0.0,,,,,
17,04/17/23 03:34:09  AM,20.901,0.0,,,,,
18,04/17/23 04:04:09  AM,20.805,0.0,,,,,
19,04/17/23 04:34:09  AM,20.710,0.0,,,,,
20,04/17/23 05:04:09  AM,20.615,0.0,,,,,
21,04/17/23 05:34:09  AM,20.615,0.0,,,,,
22,04/17/23 06:04:09  AM,20.519,0.0,,,,,
23,04/17/23 06:34:09  AM,20.424,0.0,,,,,
24,04/17/23 07:04:09  AM,20.424,0.0,,,,,
25,04/17/23 07:34:09  AM,20.519,10.8,,,,,
26,04/17/23 08:04:09  AM,20.519,0.0,,,,,
27,04/17/23 08:34:09  AM,20.805,0.0,,,,,
28,04/17/23 09:04:09  AM,21.091,0.0,,,,,
29,04/17/23 09:34:09  AM,21.473,0.0,,,,,
30,04/17/23 10:04:09  AM,22.908,3100.0,,,,,
31,04/17/23 10:34:09  AM,23.292,15844.5,,,,,
32,04/17/23 11:04:09  AM,23.773,28933.5,,,,,
33,04/17/23 11:34:09  AM,24.351,63378.2,,,,,
34,04/17/23 12:04:09  PM,27.075,17911.2,,,,,
35,04/17/23 12:34:09  PM,27.272,85422.8,,,,,
36,04/17/23 01:04:09  PM,33.326,176356.7,,,,,
37,04/17/23 01:34:09  PM,35.864,209423.6,,,,,
38,04/17/23 02:04:09  PM,35.971,176356.7,,,,,
39,04/17/23 02:34:09  PM,36.403,154312.1,,,,,
40,04/17/23 03:04:09  PM,35.009,57867.0,,,,,
41,04/17/23 03:34:09  PM,32.807,85422.8,,,,,
42,04/17/23 04:04:09  PM,31.983,57867.0,,,,,
43,04/17/23 04:34:09  PM,30.457,37200.2,,,,,
44,04/17/23 05:04:09  PM,29.752,26178.0,,,,,
45,04/17/23 05:34:09  PM,27.468,20666.8,,,,,
46,04/17/23 06:04:09  PM,21.473,6200.0,,,,,
47,04/17/23 06:34:09  PM,18.521,2152.8,,,,,
48,04/17/23 07:04:09  PM,16.618,430.6,,,,,
49,04/17/23 07:34:09  PM,15.473,0.0,,,,,
50,04/17/23 08:04:09  PM,14.709,0.0,,,,,
51,04/17/23 08:34:09  PM,14.230,0.0,,,,,
52,04/17/23 09:04:09  PM,14.134,0.0,,,,,
53,04/17/23 09:34:09  PM,13.365,0.0,,,,,
54,04/17/23 10:04:09  PM,12.883,0.0,,,,,
55,04/17/23 10:34:09  PM,11.819,0.0,,,,,
56,04/17/23 11:04:09  PM,11.625,0.0,,,,,
57,04/17/23 11:34:09  PM,10.651,0.0,,,,,
58,04/18/23 12:04:09  AM,10.553,0.0,,,,,
59,04/18/23 12:34:09  AM,9.866,0.0,,,,,
60,04/18/23 01:04:09  AM,9.571,0.0,,,,,
61,04/18/23 01:34:09  AM,9.077,0.0,,,,,
62,04/18/23 02:04:09  AM,8.581,0.0,,,,,
63,04/18/23 02:34:09  AM,8.282,0.0,,,,,
64,04/18/23 03:04:09  AM,7.983,0.0,,,,,
65,04/18/23 03:34:09  AM,7.582,0.0,,,,,
66,04/18/23 04:04:09  AM,7.280,0.0,,,,,
67,04/18/23 04:34:09  AM,6.674,0.0,,,,,
68,04/18/23 05:04:09  AM,6.166,0.0,,,,,
69,04/18/23 05:34:09  AM,5.655,0.0,,,,,
70,04/18/23 06:04:09  AM,5.450,215.3,,,,,
71,04/18/23 06:34:09  AM,5.655,2238.9,,,,,
72,04/18/23 07:04:09  AM,6.775,3788.9,,,,,
73,04/18/23 07:34:09  AM,8.082,5338.9,,,,,
74,04/18/23 08:04:09  AM,9.077,7233.4,,,,,
75,04/18/23 08:34:09  AM,10.651,9300.1,,,,,
76,04/18/23 09:04:09  AM,12.497,10677.8,,,,,
77,04/18/23 09:34:09  AM,14.709,21355.7,,,,,
78,04/18/23 10:04:09  AM,16.523,154312.1,,,,,
79,04/18/23 10:34:09  AM,18.045,38578.0,,,,,
80,04/18/23 11:04:09  AM,19.758,88178.4,,,,,
81,04/18/23 11:34:09  AM,20.138,19289.0,,,,,
82,04/18/23 12:04:09  PM,23.100,231468.2,,,,,
83,04/18/23 12:34:09  PM,25.125,44089.2,,,,,
84,04/18/23 01:04:09  PM,28.953,231468.2,,,,,
85,04/18/23 01:34:09  PM,31.983,209423.6,,,,,
86,04/18/23 02:04:09  PM,31.472,176356.7,,,,,
87,04/18/23 02:34:09  PM,29.953,137778.7,,,,,
88,04/18/23 03:04:09  PM,29.053,93689.5,,,,,
89,04/18/23 03:34:09  PM,26.097,77156.1,,,,,
90,04/18/23 04:04:09  PM,25.805,35822.5,,,,,
91,04/18/23 04:34:09  PM,21.569,34444.7,,,,,
92,04/18/23 05:04:09  PM,19.853,17911.2,,,,,
93,04/18/23 05:34:09  PM,16.427,12400.1,,,,,
94,04/18/23 06:04:09  PM,14.900,8266.7,,,,,
95,04/18/23 06:34:09  PM,13.365,3788.9,,,,,
96,04/18/23 07:04:09  PM,12.207,796.5,,,,,
97,04/18/23 07:34:09  PM,11.625,21.5,,,,,
98,04/18/23 08:04:09  PM,10.748,0.0,,,,,
99,04/18/23 08:34:09  PM,10.063,0.0,,,,,
100,04/18/23 09:04:09  PM,9.472,0.0,,,,,
101,04/18/23 09:34:09  PM,8.481,0.0,,,,,
102,04/18/23 10:04:09  PM,7.582,0.0,,,,,
103,04/18/23 10:34:09  PM,6.775,0.0,,,,,
104,04/18/23 11:04:09  PM,6.166,0.0,,,,,
105,04/18/23 11:34:09  PM,5.552,0.0,,,,,
106,04/19/23 12:04:09  AM,5.244,0.0,,,,,
107,04/19/23 12:34:09  AM,4.831,0.0,,,,,
108,04/19/23 01:04:09  AM,3.998,0.0,,,,,
109,04/19/23 01:34:09  AM,3.578,0.0,,,,,
110,04/19/23 02:04:09  AM,2.837,0.0,,,,,
111,04/19/23 02:34:09  AM,2.624,0.0,,,,,
112,04/19/23 03:04:09  AM,2.624,0.0,,,,,
113,04/19/23 03:34:09  AM,2.303,0.0,,,,,
114,04/19/23 04:04:09  AM,1.872,0.0,,,,,
115,04/19/23 04:34:09  AM,2.195,0.0,,,,,
