"Plot Title: 20597555"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597555, SEN S/N: 20597555)","Intensity, Lux (LGR S/N: 20597555, SEN S/N: 20597555)","Coupler Detached (LGR S/N: 20597555)","Coupler Attached (LGR S/N: 20597555)","Host Connected (LGR S/N: 20597555)","Stopped (LGR S/N: 20597555)","End Of File (LGR S/N: 20597555)"
1,04/09/23 07:58:43  PM,23.292,0.0,,,,,
2,04/09/23 07:58:48  PM,,,Logged,,,,
3,04/09/23 08:28:43  PM,22.717,0.0,,,,,
4,04/09/23 08:58:43  PM,22.429,0.0,,,,,
5,04/09/23 09:28:43  PM,22.238,0.0,,,,,
6,04/09/23 09:58:43  PM,22.142,0.0,,,,,
7,04/09/23 10:28:43  PM,21.951,0.0,,,,,
8,04/09/23 10:58:43  PM,21.855,0.0,,,,,
9,04/09/23 11:28:43  PM,21.760,0.0,,,,,
10,04/09/23 11:58:43  PM,21.569,0.0,,,,,
11,04/10/23 12:28:43  AM,21.473,0.0,,,,,
12,04/10/23 12:58:43  AM,21.378,0.0,,,,,
13,04/10/23 01:28:43  AM,21.282,0.0,,,,,
14,04/10/23 01:58:43  AM,21.091,0.0,,,,,
15,04/10/23 02:28:43  AM,20.996,0.0,,,,,
16,04/10/23 02:58:43  AM,20.901,0.0,,,,,
17,04/10/23 03:28:43  AM,20.901,0.0,,,,,
18,04/10/23 03:58:43  AM,20.805,0.0,,,,,
19,04/10/23 04:28:43  AM,20.710,0.0,,,,,
20,04/10/23 04:58:43  AM,20.615,0.0,,,,,
21,04/10/23 05:28:43  AM,20.519,0.0,,,,,
22,04/10/23 05:58:43  AM,20.424,0.0,,,,,
23,04/10/23 06:28:43  AM,20.329,0.0,,,,,
24,04/10/23 06:58:43  AM,20.329,21.5,,,,,
25,04/10/23 07:28:43  AM,20.329,32.3,,,,,
26,04/10/23 07:58:43  AM,20.329,75.3,,,,,
27,04/10/23 08:28:43  AM,20.519,64.6,,,,,
28,04/10/23 08:58:43  AM,20.615,96.9,,,,,
29,04/10/23 09:28:43  AM,20.710,107.6,,,,,
30,04/10/23 09:58:43  AM,20.901,118.4,,,,,
31,04/10/23 10:28:43  AM,21.091,86.1,,,,,
32,04/10/23 10:58:43  AM,21.378,86.1,,,,,
33,04/10/23 11:28:43  AM,21.473,75.3,,,,,
34,04/10/23 11:58:43  AM,21.760,96.9,,,,,
35,04/10/23 12:28:43  PM,21.951,139.9,,,,,
36,04/10/23 12:58:43  PM,22.142,139.9,,,,,
37,04/10/23 01:28:43  PM,22.333,139.9,,,,,
38,04/10/23 01:58:43  PM,22.525,96.9,,,,,
39,04/10/23 02:28:43  PM,22.717,96.9,,,,,
40,04/10/23 02:58:43  PM,22.717,53.8,,,,,
41,04/10/23 03:28:43  PM,22.812,32.3,,,,,
42,04/10/23 03:58:43  PM,21.760,0.0,,,,,
43,04/10/23 04:28:43  PM,21.378,0.0,,,,,
44,04/10/23 04:58:43  PM,21.282,0.0,,,,,
45,04/10/23 05:28:43  PM,21.187,0.0,,,,,
46,04/10/23 05:58:43  PM,21.091,0.0,,,,,
47,04/10/23 06:28:43  PM,20.996,0.0,,,,,
48,04/10/23 06:58:43  PM,20.996,0.0,,,,,
49,04/10/23 07:28:43  PM,20.901,0.0,,,,,
50,04/10/23 07:58:43  PM,21.091,0.0,,,,,
51,04/10/23 08:28:43  PM,21.569,0.0,,,,,
52,04/10/23 08:58:43  PM,20.996,0.0,,,,,
53,04/10/23 09:28:43  PM,20.043,0.0,,,,,
54,04/10/23 09:58:43  PM,19.092,0.0,,,,,
55,04/10/23 10:28:43  PM,18.236,0.0,,,,,
56,04/10/23 10:58:43  PM,17.475,0.0,,,,,
57,04/10/23 11:28:43  PM,16.903,0.0,,,,,
58,04/10/23 11:58:43  PM,16.523,0.0,,,,,
59,04/11/23 12:28:43  AM,16.141,0.0,,,,,
60,04/11/23 12:58:43  AM,15.855,0.0,,,,,
61,04/11/23 01:28:43  AM,15.664,0.0,,,,,
62,04/11/23 01:58:43  AM,15.760,0.0,,,,,
63,04/11/23 02:28:43  AM,15.951,0.0,,,,,
64,04/11/23 02:58:43  AM,16.141,0.0,,,,,
65,04/11/23 03:28:43  AM,16.237,0.0,,,,,
66,04/11/23 03:58:43  AM,16.237,0.0,,,,,
67,04/11/23 04:28:43  AM,16.332,0.0,,,,,
68,04/11/23 04:58:43  AM,16.237,0.0,,,,,
69,04/11/23 05:28:43  AM,16.332,0.0,,,,,
70,04/11/23 05:58:43  AM,16.237,0.0,,,,,
71,04/11/23 06:28:43  AM,16.237,0.0,,,,,
72,04/11/23 06:58:43  AM,16.237,0.0,,,,,
73,04/11/23 07:28:43  AM,16.618,0.0,,,,,
74,04/11/23 07:58:43  AM,17.665,0.0,,,,,
75,04/11/23 08:28:43  AM,18.806,0.0,,,,,
76,04/11/23 08:58:43  AM,20.138,0.0,,,,,
77,04/11/23 09:28:43  AM,21.664,0.0,,,,,
78,04/11/23 09:58:43  AM,23.388,0.0,,,,,
79,04/11/23 10:28:43  AM,25.610,0.0,,,,,
80,04/11/23 10:58:43  AM,28.258,0.0,,,,,
81,04/11/23 11:28:43  AM,30.558,0.0,,,,,
82,04/11/23 11:58:43  AM,34.691,0.0,,,,,
83,04/11/23 12:28:43  PM,36.837,0.0,,,,,
84,04/11/23 12:58:43  PM,38.268,0.0,,,,,
85,04/11/23 01:28:43  PM,39.276,0.0,,,,,
86,04/11/23 01:58:43  PM,39.957,0.0,,,,,
87,04/11/23 02:28:43  PM,40.300,0.0,,,,,
88,04/11/23 02:58:43  PM,40.071,0.0,,,,,
89,04/11/23 03:28:43  PM,39.843,0.0,,,,,
90,04/11/23 03:58:43  PM,39.843,0.0,,,,,
91,04/11/23 04:28:43  PM,39.502,0.0,,,,,
92,04/11/23 04:58:43  PM,38.826,0.0,,,,,
93,04/11/23 05:28:43  PM,37.935,0.0,,,,,
94,04/11/23 05:58:43  PM,37.055,0.0,,,,,
95,04/11/23 06:28:43  PM,35.328,0.0,,,,,
96,04/11/23 06:58:43  PM,33.430,0.0,,,,,
97,04/11/23 07:28:43  PM,31.166,0.0,,,,,
98,04/11/23 07:58:43  PM,29.252,0.0,,,,,
99,04/11/23 08:28:43  PM,27.468,0.0,,,,,
100,04/11/23 08:58:43  PM,25.805,0.0,,,,,
101,04/11/23 09:28:43  PM,24.255,0.0,,,,,
102,04/11/23 09:58:43  PM,23.100,0.0,,,,,
103,04/11/23 10:28:43  PM,22.333,0.0,,,,,
104,04/11/23 10:58:43  PM,21.569,0.0,,,,,
105,04/11/23 11:28:43  PM,20.805,0.0,,,,,
106,04/11/23 11:58:43  PM,20.043,0.0,,,,,
107,04/12/23 12:28:43  AM,19.377,0.0,,,,,
108,04/12/23 12:58:43  AM,18.711,0.0,,,,,
109,04/12/23 01:28:43  AM,18.236,0.0,,,,,
110,04/12/23 01:58:43  AM,17.855,0.0,,,,,
111,04/12/23 02:28:43  AM,17.570,0.0,,,,,
112,04/12/23 02:58:43  AM,17.284,0.0,,,,,
113,04/12/23 03:28:43  AM,16.808,0.0,,,,,
114,04/12/23 03:58:43  AM,16.427,0.0,,,,,
115,04/12/23 04:28:43  AM,16.046,0.0,,,,,
116,04/12/23 04:58:43  AM,15.664,0.0,,,,,
117,04/12/23 05:28:43  AM,15.282,0.0,,,,,
118,04/12/23 05:58:43  AM,15.091,0.0,,,,,
119,04/12/23 06:28:43  AM,14.613,0.0,,,,,
120,04/12/23 06:58:43  AM,14.038,0.0,,,,,
121,04/12/23 07:28:43  AM,14.421,0.0,,,,,
122,04/12/23 07:58:43  AM,15.282,0.0,,,,,
123,04/12/23 08:28:43  AM,16.808,0.0,,,,,
124,04/12/23 08:58:43  AM,19.377,0.0,,,,,
125,04/12/23 09:28:43  AM,22.238,0.0,,,,,
126,04/12/23 09:58:43  AM,24.062,0.0,,,,,
127,04/12/23 10:28:43  AM,24.738,0.0,,,,,
128,04/12/23 10:58:43  AM,25.805,0.0,,,,,
129,04/12/23 11:28:43  AM,27.173,0.0,,,,,
130,04/12/23 11:58:43  AM,29.252,0.0,,,,,
131,04/12/23 12:28:43  PM,31.268,0.0,,,,,
132,04/12/23 12:58:43  PM,32.704,0.0,,,,,
133,04/12/23 01:28:43  PM,33.848,0.0,,,,,
134,04/12/23 01:58:43  PM,34.691,0.0,,,,,
135,04/12/23 02:28:43  PM,35.222,0.0,,,,,
136,04/12/23 02:58:43  PM,35.542,0.0,,,,,
137,04/12/23 03:28:43  PM,34.585,0.0,,,,,
138,04/12/23 03:58:43  PM,33.639,0.0,,,,,
139,04/12/23 04:28:43  PM,33.222,0.0,,,,,
140,04/12/23 04:58:43  PM,32.188,0.0,,,,,
141,04/12/23 05:28:43  PM,30.154,0.0,,,,,
142,04/12/23 05:58:43  PM,28.853,0.0,,,,,
143,04/12/23 06:28:43  PM,27.173,0.0,,,,,
144,04/12/23 06:58:43  PM,25.416,0.0,,,,,
145,04/12/23 07:28:43  PM,23.869,0.0,,,,,
146,04/12/23 07:58:43  PM,22.333,0.0,,,,,
147,04/12/23 08:28:43  PM,21.091,0.0,,,,,
148,04/12/23 08:58:43  PM,20.234,0.0,,,,,
149,04/12/23 09:28:43  PM,19.472,0.0,,,,,
150,04/12/23 09:58:43  PM,18.616,0.0,,,,,
151,04/12/23 10:28:43  PM,17.760,0.0,,,,,
152,04/12/23 10:58:43  PM,16.999,0.0,,,,,
153,04/12/23 11:28:43  PM,16.237,0.0,,,,,
154,04/12/23 11:58:43  PM,15.664,0.0,,,,,
155,04/13/23 12:28:43  AM,15.282,0.0,,,,,
156,04/13/23 12:58:43  AM,14.900,0.0,,,,,
157,04/13/23 01:28:43  AM,14.517,0.0,,,,,
158,04/13/23 01:58:43  AM,13.942,0.0,,,,,
159,04/13/23 02:28:43  AM,13.269,0.0,,,,,
160,04/13/23 02:58:43  AM,12.883,0.0,,,,,
161,04/13/23 03:28:43  AM,12.594,0.0,,,,,
162,04/13/23 03:58:43  AM,12.401,0.0,,,,,
163,04/13/23 04:28:43  AM,12.207,0.0,,,,,
164,04/13/23 04:58:43  AM,11.819,0.0,,,,,
165,04/13/23 05:28:43  AM,11.334,0.0,,,,,
166,04/13/23 05:58:43  AM,10.944,0.0,,,,,
167,04/13/23 06:28:43  AM,10.651,0.0,,,,,
168,04/13/23 06:58:43  AM,10.357,0.0,,,,,
169,04/13/23 07:28:43  AM,10.651,0.0,,,,,
170,04/13/23 07:58:43  AM,12.110,0.0,,,,,
171,04/13/23 08:28:43  AM,13.750,0.0,,,,,
172,04/13/23 08:58:43  AM,15.473,0.0,,,,,
173,04/13/23 09:28:43  AM,17.570,0.0,,,,,
174,04/13/23 09:58:43  AM,19.662,0.0,,,,,
175,04/13/23 10:28:43  AM,21.951,0.0,,,,,
176,04/13/23 10:58:43  AM,24.158,0.0,,,,,
177,04/13/23 11:28:43  AM,26.097,0.0,,,,,
178,04/13/23 11:58:43  AM,27.567,0.0,,,,,
179,04/13/23 12:28:43  PM,28.060,0.0,,,,,
180,04/13/23 12:58:43  PM,28.853,0.0,,,,,
181,04/13/23 01:28:43  PM,29.652,0.0,,,,,
182,04/13/23 01:58:43  PM,30.154,0.0,,,,,
183,04/13/23 02:28:43  PM,30.659,0.0,,,,,
184,04/13/23 02:58:43  PM,31.166,0.0,,,,,
