"Plot Title: 20619225"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619225, SEN S/N: 20619225)","Intensity, Lux (LGR S/N: 20619225, SEN S/N: 20619225)","Coupler Detached (LGR S/N: 20619225)","Coupler Attached (LGR S/N: 20619225)","Host Connected (LGR S/N: 20619225)","Stopped (LGR S/N: 20619225)","End Of File (LGR S/N: 20619225)"
1,04/19/23 02:30:11  PM,23.004,279.9,,,,,
2,04/19/23 02:30:20  PM,,,Logged,,,,
3,04/19/23 03:00:11  PM,20.519,10.8,,,,,
4,04/19/23 03:30:11  PM,20.424,10.8,,,,,
5,04/19/23 04:00:11  PM,20.805,0.0,,,,,
6,04/19/23 04:30:11  PM,21.855,0.0,,,,,
7,04/19/23 05:00:11  PM,21.760,0.0,,,,,
8,04/19/23 05:30:11  PM,21.664,0.0,,,,,
9,04/19/23 06:00:11  PM,21.473,0.0,,,,,
10,04/19/23 06:30:11  PM,21.378,0.0,,,,,
11,04/19/23 07:00:11  PM,21.282,0.0,,,,,
12,04/19/23 07:30:11  PM,21.091,0.0,,,,,
13,04/19/23 08:00:11  PM,20.996,0.0,,,,,
14,04/19/23 08:30:11  PM,20.901,0.0,,,,,
15,04/19/23 09:00:11  PM,20.805,0.0,,,,,
16,04/19/23 09:30:11  PM,20.615,0.0,,,,,
17,04/19/23 10:00:11  PM,20.519,0.0,,,,,
18,04/19/23 10:30:11  PM,20.424,0.0,,,,,
19,04/19/23 11:00:11  PM,20.329,0.0,,,,,
20,04/19/23 11:30:11  PM,20.234,0.0,,,,,
21,04/20/23 12:00:11  AM,20.138,0.0,,,,,
22,04/20/23 12:30:11  AM,19.948,0.0,,,,,
23,04/20/23 01:00:11  AM,19.853,0.0,,,,,
24,04/20/23 01:30:11  AM,19.758,0.0,,,,,
25,04/20/23 02:00:11  AM,19.567,0.0,,,,,
26,04/20/23 02:30:11  AM,19.662,0.0,,,,,
27,04/20/23 03:00:11  AM,19.662,0.0,,,,,
28,04/20/23 03:30:11  AM,19.758,0.0,,,,,
29,04/20/23 04:00:11  AM,19.758,0.0,,,,,
30,04/20/23 04:30:11  AM,19.853,0.0,,,,,
31,04/20/23 05:00:11  AM,19.853,0.0,,,,,
32,04/20/23 05:30:11  AM,19.853,0.0,,,,,
33,04/20/23 06:00:11  AM,19.948,0.0,,,,,
34,04/20/23 06:30:11  AM,19.948,0.0,,,,,
35,04/20/23 07:00:11  AM,19.948,0.0,,,,,
36,04/20/23 07:30:11  AM,20.043,0.0,,,,,
37,04/20/23 08:00:11  AM,20.234,0.0,,,,,
38,04/20/23 08:30:11  AM,17.665,0.0,,,,,
39,04/20/23 09:00:11  AM,18.521,0.0,,,,,
40,04/20/23 09:30:11  AM,19.948,0.0,,,,,
41,04/20/23 10:00:11  AM,21.282,0.0,,,,,
42,04/20/23 10:30:11  AM,22.717,0.0,,,,,
43,04/20/23 11:00:11  AM,24.062,0.0,,,,,
44,04/20/23 11:30:11  AM,25.125,0.0,,,,,
45,04/20/23 12:00:11  PM,26.292,0.0,,,,,
46,04/20/23 12:30:11  PM,30.963,5166.7,,,,,
47,04/20/23 01:00:11  PM,29.953,26178.0,,,,,
48,04/20/23 01:30:11  PM,31.064,68889.3,,,,,
49,04/20/23 02:00:11  PM,31.983,33066.9,,,,,
50,04/20/23 02:30:11  PM,36.620,220445.9,,,,,
51,04/20/23 03:00:11  PM,40.645,253512.8,,,,,
52,04/20/23 03:30:11  PM,43.480,242490.5,,,,,
53,04/20/23 04:00:11  PM,42.520,176356.7,,,,,
54,04/20/23 04:30:11  PM,39.163,71644.9,,,,,
55,04/20/23 05:00:11  PM,40.300,159823.3,,,,,
56,04/20/23 05:30:11  PM,38.379,121245.2,,,,,
57,04/20/23 06:00:11  PM,35.542,66133.8,,,,,
58,04/20/23 06:30:11  PM,25.805,5511.1,,,,,
59,04/20/23 07:00:11  PM,23.004,2927.8,,,,,
60,04/20/23 07:30:11  PM,21.378,247.6,,,,,
61,04/20/23 08:00:11  PM,19.662,0.0,,,,,
62,04/20/23 08:30:11  PM,18.996,0.0,,,,,
63,04/20/23 09:00:11  PM,18.996,0.0,,,,,
