"Plot Title: 20597555"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597555, SEN S/N: 20597555)","Intensity, Lux (LGR S/N: 20597555, SEN S/N: 20597555)","Coupler Detached (LGR S/N: 20597555)","Coupler Attached (LGR S/N: 20597555)","Host Connected (LGR S/N: 20597555)","Stopped (LGR S/N: 20597555)","End Of File (LGR S/N: 20597555)"
1,04/14/24 05:53:07  PM,21.091,0.0,,,,,
2,04/14/24 05:53:12  PM,,,Logged,,,,
3,04/14/24 06:23:07  PM,21.378,0.0,,,,,
4,04/14/24 06:53:07  PM,21.378,0.0,,,,,
5,04/14/24 07:23:07  PM,21.378,0.0,,,,,
6,04/14/24 07:53:07  PM,20.996,0.0,,,,,
7,04/14/24 08:23:07  PM,20.615,0.0,,,,,
8,04/14/24 08:53:07  PM,20.424,0.0,,,,,
9,04/14/24 09:23:07  PM,20.138,0.0,,,,,
10,04/14/24 09:53:07  PM,19.948,0.0,,,,,
11,04/14/24 10:23:07  PM,19.758,0.0,,,,,
12,04/14/24 10:53:07  PM,19.472,0.0,,,,,
13,04/14/24 11:23:07  PM,19.282,0.0,,,,,
14,04/14/24 11:53:07  PM,19.092,0.0,,,,,
15,04/15/24 12:23:07  AM,18.901,0.0,,,,,
16,04/15/24 12:53:07  AM,18.711,0.0,,,,,
17,04/15/24 01:23:07  AM,18.426,0.0,,,,,
18,04/15/24 01:53:07  AM,18.236,0.0,,,,,
19,04/15/24 02:23:07  AM,18.140,0.0,,,,,
20,04/15/24 02:53:07  AM,17.950,0.0,,,,,
21,04/15/24 03:23:07  AM,17.760,0.0,,,,,
22,04/15/24 03:53:07  AM,17.665,0.0,,,,,
23,04/15/24 04:23:07  AM,17.570,0.0,,,,,
24,04/15/24 04:53:07  AM,17.475,0.0,,,,,
25,04/15/24 05:23:07  AM,17.284,0.0,,,,,
26,04/15/24 05:53:07  AM,17.189,0.0,,,,,
27,04/15/24 06:23:07  AM,17.094,0.0,,,,,
28,04/15/24 06:53:07  AM,16.999,0.0,,,,,
29,04/15/24 07:23:07  AM,16.903,0.0,,,,,
30,04/15/24 07:53:07  AM,16.808,0.0,,,,,
31,04/15/24 08:23:07  AM,16.808,32.3,,,,,
32,04/15/24 08:53:07  AM,16.903,32.3,,,,,
33,04/15/24 09:23:07  AM,16.999,290.6,,,,,
34,04/15/24 09:53:07  AM,21.569,1808.3,,,,,
35,04/15/24 10:23:07  AM,25.513,1065.6,,,,,
36,04/15/24 10:53:07  AM,25.125,172.2,,,,,
37,04/15/24 11:23:07  AM,27.370,43.1,,,,,
38,04/15/24 11:53:07  AM,26.000,21.5,,,,,
39,04/15/24 12:23:07  PM,25.416,21.5,,,,,
40,04/15/24 12:53:07  PM,29.252,150.7,,,,,
41,04/15/24 01:23:07  PM,32.911,21.5,,,,,
42,04/15/24 01:53:07  PM,37.494,129.2,,,,,
43,04/15/24 02:23:07  PM,35.328,1980.6,,,,,
44,04/15/24 02:53:07  PM,42.998,253512.8,,,,,
45,04/15/24 03:23:07  PM,41.225,242490.5,,,,,
46,04/15/24 03:53:07  PM,39.957,187379.0,,,,,
47,04/15/24 04:23:07  PM,40.071,132267.5,,,,,
48,04/15/24 04:53:07  PM,38.938,187379.0,,,,,
49,04/15/24 05:23:07  PM,28.655,82667.2,,,,,
50,04/15/24 05:53:07  PM,24.931,30311.3,,,,,
51,04/15/24 06:23:07  PM,23.100,18600.1,,,,,
52,04/15/24 06:53:07  PM,21.760,10677.8,,,,,
53,04/15/24 07:23:07  PM,18.236,1377.8,,,,,
54,04/15/24 07:53:07  PM,14.038,0.0,,,,,
55,04/15/24 08:23:07  PM,12.594,0.0,,,,,
56,04/15/24 08:53:07  PM,15.473,0.0,,,,,
57,04/15/24 09:23:07  PM,15.473,0.0,,,,,
58,04/15/24 09:53:07  PM,15.187,0.0,,,,,
59,04/15/24 10:23:07  PM,14.709,0.0,,,,,
60,04/15/24 10:53:07  PM,13.846,0.0,,,,,
61,04/15/24 11:23:07  PM,14.709,0.0,,,,,
62,04/15/24 11:53:07  PM,13.654,0.0,,,,,
63,04/16/24 12:23:07  AM,13.750,0.0,,,,,
64,04/16/24 12:53:07  AM,13.750,0.0,,,,,
65,04/16/24 01:23:07  AM,13.461,0.0,,,,,
66,04/16/24 01:53:07  AM,13.365,0.0,,,,,
67,04/16/24 02:23:07  AM,12.594,0.0,,,,,
68,04/16/24 02:53:07  AM,10.944,0.0,,,,,
69,04/16/24 03:23:07  AM,10.748,0.0,,,,,
70,04/16/24 03:53:07  AM,11.625,0.0,,,,,
71,04/16/24 04:23:07  AM,9.866,0.0,,,,,
72,04/16/24 04:53:07  AM,11.139,0.0,,,,,
73,04/16/24 05:23:07  AM,10.944,0.0,,,,,
74,04/16/24 05:53:07  AM,6.775,21.5,,,,,
75,04/16/24 06:23:07  AM,5.962,4133.4,,,,,
76,04/16/24 06:53:07  AM,12.883,16533.4,,,,,
77,04/16/24 07:23:07  AM,16.713,22044.6,,,,,
78,04/16/24 07:53:07  AM,19.187,26178.0,,,,,
79,04/16/24 08:23:07  AM,21.473,34444.7,,,,,
80,04/16/24 08:53:07  AM,25.125,49600.3,,,,,
81,04/16/24 09:23:07  AM,27.665,77156.1,,,,,
82,04/16/24 09:53:07  AM,30.963,115734.1,,,,,
83,04/16/24 10:23:07  AM,34.479,154312.1,,,,,
