"Plot Title: 20597554"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597554, SEN S/N: 20597554)","Intensity, Lux (LGR S/N: 20597554, SEN S/N: 20597554)","Coupler Attached (LGR S/N: 20597554)","Host Connected (LGR S/N: 20597554)","Stopped (LGR S/N: 20597554)","End Of File (LGR S/N: 20597554)"
1,04/14/24 06:00:00  PM,21.187,0.0,,,,
2,04/14/24 06:30:00  PM,21.378,0.0,,,,
3,04/14/24 07:00:00  PM,21.378,0.0,,,,
4,04/14/24 07:30:00  PM,21.282,0.0,,,,
5,04/14/24 08:00:00  PM,20.901,0.0,,,,
6,04/14/24 08:30:00  PM,20.615,0.0,,,,
7,04/14/24 09:00:00  PM,20.329,0.0,,,,
8,04/14/24 09:30:00  PM,20.138,0.0,,,,
9,04/14/24 10:00:00  PM,19.948,0.0,,,,
10,04/14/24 10:30:00  PM,19.662,0.0,,,,
11,04/14/24 11:00:00  PM,19.472,0.0,,,,
12,04/14/24 11:30:00  PM,19.282,0.0,,,,
13,04/15/24 12:00:00  AM,19.092,0.0,,,,
14,04/15/24 12:30:00  AM,18.806,0.0,,,,
15,04/15/24 01:00:00  AM,18.616,0.0,,,,
16,04/15/24 01:30:00  AM,18.426,0.0,,,,
17,04/15/24 02:00:00  AM,18.236,0.0,,,,
18,04/15/24 02:30:00  AM,18.140,0.0,,,,
19,04/15/24 03:00:00  AM,17.950,0.0,,,,
20,04/15/24 03:30:00  AM,17.760,0.0,,,,
21,04/15/24 04:00:00  AM,17.570,0.0,,,,
22,04/15/24 04:30:00  AM,17.475,0.0,,,,
23,04/15/24 05:00:00  AM,17.379,0.0,,,,
24,04/15/24 05:30:00  AM,17.284,0.0,,,,
25,04/15/24 06:00:00  AM,17.189,0.0,,,,
26,04/15/24 06:30:00  AM,17.094,0.0,,,,
27,04/15/24 07:00:00  AM,16.999,0.0,,,,
28,04/15/24 07:30:00  AM,16.903,0.0,,,,
29,04/15/24 08:00:00  AM,16.808,0.0,,,,
30,04/15/24 08:30:00  AM,16.808,32.3,,,,
31,04/15/24 09:00:00  AM,16.903,43.1,,,,
32,04/15/24 09:30:00  AM,17.189,21.5,,,,
33,04/15/24 10:00:00  AM,22.142,226.0,,,,
34,04/15/24 10:30:00  AM,25.513,710.4,,,,
35,04/15/24 11:00:00  AM,25.319,118.4,,,,
36,04/15/24 11:30:00  AM,27.862,32.3,,,,
37,04/15/24 12:00:00  PM,25.610,21.5,,,,
38,04/15/24 12:30:00  PM,26.292,21.5,,,,
39,04/15/24 01:00:00  PM,28.953,21.5,,,,
