"Plot Title: 20619225"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619225, SEN S/N: 20619225)","Intensity, Lux (LGR S/N: 20619225, SEN S/N: 20619225)","Coupler Detached (LGR S/N: 20619225)","Coupler Attached (LGR S/N: 20619225)","Host Connected (LGR S/N: 20619225)","Stopped (LGR S/N: 20619225)","End Of File (LGR S/N: 20619225)"
1,04/29/24 06:30:05  PM,23.484,0.0,,,,,
2,04/29/24 06:30:10  PM,,,Logged,,,,
3,04/29/24 07:00:05  PM,22.621,0.0,,,,,
4,04/29/24 07:30:05  PM,22.621,0.0,,,,,
5,04/29/24 08:00:05  PM,22.621,0.0,,,,,
6,04/29/24 08:30:05  PM,22.717,0.0,,,,,
7,04/29/24 09:00:05  PM,22.812,0.0,,,,,
8,04/29/24 09:30:05  PM,22.812,0.0,,,,,
9,04/29/24 10:00:05  PM,22.717,0.0,,,,,
10,04/29/24 10:30:05  PM,22.717,0.0,,,,,
11,04/29/24 11:00:05  PM,22.621,0.0,,,,,
12,04/29/24 11:30:05  PM,22.525,0.0,,,,,
13,04/30/24 12:00:05  AM,22.429,0.0,,,,,
14,04/30/24 12:30:05  AM,22.333,0.0,,,,,
15,04/30/24 01:00:05  AM,22.238,0.0,,,,,
16,04/30/24 01:30:05  AM,22.142,0.0,,,,,
17,04/30/24 02:00:05  AM,21.951,0.0,,,,,
18,04/30/24 02:30:05  AM,21.855,0.0,,,,,
19,04/30/24 03:00:05  AM,21.760,0.0,,,,,
20,04/30/24 03:30:05  AM,21.569,0.0,,,,,
21,04/30/24 04:00:05  AM,21.473,0.0,,,,,
22,04/30/24 04:30:05  AM,21.378,0.0,,,,,
23,04/30/24 05:00:05  AM,21.187,0.0,,,,,
24,04/30/24 05:30:05  AM,21.091,0.0,,,,,
25,04/30/24 06:00:05  AM,20.901,0.0,,,,,
26,04/30/24 06:30:05  AM,20.805,0.0,,,,,
27,04/30/24 07:00:05  AM,20.710,0.0,,,,,
28,04/30/24 07:30:05  AM,20.805,0.0,,,,,
29,04/30/24 08:00:05  AM,20.996,21.5,,,,,
30,04/30/24 08:30:05  AM,21.569,4650.0,,,,,
31,04/30/24 09:00:05  AM,18.521,1237.9,,,,,
32,04/30/24 09:30:05  AM,28.357,137778.7,,,,,
33,04/30/24 10:00:05  AM,31.268,176356.7,,,,,
34,04/30/24 10:30:05  AM,32.394,198401.3,,,,,
35,04/30/24 11:00:05  AM,34.479,220445.9,,,,,
36,04/30/24 11:30:05  AM,37.055,242490.5,,,,,
37,04/30/24 12:00:05  PM,38.157,253512.8,,,,,
38,04/30/24 12:30:05  PM,38.379,264535.1,,,,,
39,04/30/24 01:00:05  PM,40.071,264535.1,,,,,
40,04/30/24 01:30:05  PM,40.645,264535.1,,,,,
41,04/30/24 02:00:05  PM,41.108,264535.1,,,,,
42,04/30/24 02:30:05  PM,40.761,253512.8,,,,,
43,04/30/24 03:00:05  PM,40.761,231468.2,,,,,
44,04/30/24 03:30:05  PM,39.729,209423.6,,,,,
45,04/30/24 04:00:05  PM,37.824,176356.7,,,,,
46,04/30/24 04:30:05  PM,36.728,154312.1,,,,,
47,04/30/24 05:00:05  PM,35.328,115734.1,,,,,
48,04/30/24 05:30:05  PM,33.639,85422.8,,,,,
49,04/30/24 06:00:05  PM,32.291,52355.9,,,,,
50,04/30/24 06:30:05  PM,28.357,31689.1,,,,,
51,04/30/24 07:00:05  PM,23.004,14466.8,,,,,
52,04/30/24 07:30:05  PM,14.900,2755.6,,,,,
53,04/30/24 08:00:05  PM,8.481,86.1,,,,,
54,04/30/24 08:30:05  PM,6.166,0.0,,,,,
55,04/30/24 09:00:05  PM,6.064,0.0,,,,,
56,04/30/24 09:30:05  PM,6.370,0.0,,,,,
57,04/30/24 10:00:05  PM,4.831,0.0,,,,,
58,04/30/24 10:30:05  PM,4.102,0.0,,,,,
59,04/30/24 11:00:05  PM,3.472,0.0,,,,,
60,04/30/24 11:30:05  PM,3.155,0.0,,,,,
61,05/01/24 12:00:05  AM,2.517,0.0,,,,,
62,05/01/24 12:30:05  AM,2.730,0.0,,,,,
63,05/01/24 01:00:05  AM,2.088,0.0,,,,,
64,05/01/24 01:30:05  AM,1.872,0.0,,,,,
65,05/01/24 02:00:05  AM,2.088,0.0,,,,,
66,05/01/24 02:30:05  AM,1.330,0.0,,,,,
67,05/01/24 03:00:05  AM,1.112,0.0,,,,,
