"Plot Title: 20619220"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619220, SEN S/N: 20619220)","Intensity, Lux (LGR S/N: 20619220, SEN S/N: 20619220)","Coupler Detached (LGR S/N: 20619220)","Coupler Attached (LGR S/N: 20619220)","Host Connected (LGR S/N: 20619220)","Stopped (LGR S/N: 20619220)","End Of File (LGR S/N: 20619220)"
1,04/29/24 06:29:46  PM,23.773,0.0,,,,,
2,04/29/24 06:29:50  PM,,,Logged,,,,
3,04/29/24 06:59:46  PM,23.004,0.0,,,,,
4,04/29/24 07:29:46  PM,22.908,0.0,,,,,
5,04/29/24 07:59:46  PM,22.908,0.0,,,,,
6,04/29/24 08:29:46  PM,23.004,0.0,,,,,
7,04/29/24 08:59:46  PM,23.004,0.0,,,,,
8,04/29/24 09:29:46  PM,22.908,0.0,,,,,
9,04/29/24 09:59:46  PM,22.908,0.0,,,,,
10,04/29/24 10:29:46  PM,22.812,0.0,,,,,
11,04/29/24 10:59:46  PM,22.717,0.0,,,,,
12,04/29/24 11:29:46  PM,22.621,0.0,,,,,
13,04/29/24 11:59:46  PM,22.525,0.0,,,,,
14,04/30/24 12:29:46  AM,22.429,0.0,,,,,
15,04/30/24 12:59:46  AM,22.238,0.0,,,,,
16,04/30/24 01:29:46  AM,22.142,0.0,,,,,
17,04/30/24 01:59:46  AM,21.951,0.0,,,,,
18,04/30/24 02:29:46  AM,21.760,0.0,,,,,
19,04/30/24 02:59:46  AM,21.664,0.0,,,,,
20,04/30/24 03:29:46  AM,21.569,0.0,,,,,
21,04/30/24 03:59:46  AM,21.378,0.0,,,,,
22,04/30/24 04:29:46  AM,21.282,0.0,,,,,
23,04/30/24 04:59:46  AM,21.187,0.0,,,,,
24,04/30/24 05:29:46  AM,20.996,0.0,,,,,
25,04/30/24 05:59:46  AM,20.901,0.0,,,,,
26,04/30/24 06:29:46  AM,20.710,0.0,,,,,
27,04/30/24 06:59:46  AM,20.615,0.0,,,,,
28,04/30/24 07:29:46  AM,20.710,0.0,,,,,
29,04/30/24 07:59:46  AM,21.091,107.6,,,,,
30,04/30/24 08:29:46  AM,21.473,107.6,,,,,
31,04/30/24 08:59:46  AM,17.855,11022.3,,,,,
32,04/30/24 09:29:46  AM,16.427,4477.8,,,,,
33,04/30/24 09:59:46  AM,17.760,49600.3,,,,,
34,04/30/24 10:29:46  AM,18.140,4650.0,,,,,
35,04/30/24 10:59:46  AM,18.711,5166.7,,,,,
36,04/30/24 11:29:46  AM,19.662,6544.5,,,,,
37,04/30/24 11:59:46  AM,20.329,35822.5,,,,,
38,04/30/24 12:29:46  PM,21.664,7577.8,,,,,
39,04/30/24 12:59:46  PM,23.869,37200.2,,,,,
40,04/30/24 01:29:46  PM,24.641,12400.1,,,,,
41,04/30/24 01:59:46  PM,25.708,19977.9,,,,,
42,04/30/24 02:29:46  PM,30.862,85422.8,,,,,
43,04/30/24 02:59:46  PM,29.853,26178.0,,,,,
44,04/30/24 03:29:46  PM,29.752,24800.2,,,,,
45,04/30/24 03:59:46  PM,27.468,19289.0,,,,,
46,04/30/24 04:29:46  PM,26.683,18600.1,,,,,
47,04/30/24 04:59:46  PM,25.416,16533.4,,,,,
48,04/30/24 05:29:46  PM,24.448,16533.4,,,,,
49,04/30/24 05:59:46  PM,23.869,14466.8,,,,,
50,04/30/24 06:29:46  PM,22.333,12400.1,,,,,
51,04/30/24 06:59:46  PM,20.805,10333.4,,,,,
52,04/30/24 07:29:46  PM,16.427,1237.9,,,,,
53,04/30/24 07:59:46  PM,12.304,21.5,,,,,
54,04/30/24 08:29:46  PM,9.768,0.0,,,,,
55,04/30/24 08:59:46  PM,9.571,0.0,,,,,
56,04/30/24 09:29:46  PM,9.472,0.0,,,,,
57,04/30/24 09:59:46  PM,7.582,0.0,,,,,
58,04/30/24 10:29:46  PM,7.079,0.0,,,,,
59,04/30/24 10:59:46  PM,6.775,0.0,,,,,
60,04/30/24 11:29:46  PM,6.064,0.0,,,,,
