"Plot Title: U2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10641598, SEN S/N: 10641598)","Intensity, Lux (LGR S/N: 10641598, SEN S/N: 10641598)","Coupler Detached (LGR S/N: 10641598)","Coupler Attached (LGR S/N: 10641598)","Host Connected (LGR S/N: 10641598)","Stopped (LGR S/N: 10641598)","End Of File (LGR S/N: 10641598)"
1,04/29/24 06:30:44  PM,23.388,0.0,,,,,
2,04/29/24 06:30:52  PM,,,Logged,,,,
3,04/29/24 07:00:44  PM,23.100,10.8,,,,,
4,04/29/24 07:30:44  PM,22.908,10.8,,,,,
5,04/29/24 08:00:44  PM,22.717,10.8,,,,,
6,04/29/24 08:30:44  PM,22.812,0.0,,,,,
7,04/29/24 09:00:44  PM,22.717,0.0,,,,,
8,04/29/24 09:30:44  PM,22.717,0.0,,,,,
9,04/29/24 10:00:44  PM,22.621,0.0,,,,,
10,04/29/24 10:30:44  PM,22.525,0.0,,,,,
11,04/29/24 11:00:44  PM,22.429,0.0,,,,,
12,04/29/24 11:30:44  PM,22.333,0.0,,,,,
13,04/30/24 12:00:44  AM,22.142,0.0,,,,,
14,04/30/24 12:30:44  AM,21.951,0.0,,,,,
15,04/30/24 01:00:44  AM,21.760,0.0,,,,,
16,04/30/24 01:30:44  AM,21.664,0.0,,,,,
17,04/30/24 02:00:44  AM,21.378,0.0,,,,,
18,04/30/24 02:30:44  AM,21.187,0.0,,,,,
19,04/30/24 03:00:44  AM,21.091,0.0,,,,,
20,04/30/24 03:30:44  AM,20.996,0.0,,,,,
21,04/30/24 04:00:44  AM,20.805,0.0,,,,,
22,04/30/24 04:30:44  AM,20.615,0.0,,,,,
23,04/30/24 05:00:44  AM,20.519,0.0,,,,,
24,04/30/24 05:30:44  AM,20.329,0.0,,,,,
25,04/30/24 06:00:44  AM,20.138,0.0,,,,,
26,04/30/24 06:30:44  AM,20.043,0.0,,,,,
27,04/30/24 07:00:44  AM,20.043,0.0,,,,,
28,04/30/24 07:30:44  AM,20.234,21.5,,,,,
29,04/30/24 08:00:44  AM,21.569,107.6,,,,,
30,04/30/24 08:30:44  AM,23.484,4650.0,,,,,
31,04/30/24 09:00:44  AM,21.187,150.7,,,,,
32,04/30/24 09:30:44  AM,21.951,290.6,,,,,
33,04/30/24 10:00:44  AM,26.097,366.0,,,,,
34,04/30/24 10:30:44  AM,29.752,398.3,,,,,
35,04/30/24 11:00:44  AM,32.807,366.0,,,,,
36,04/30/24 11:30:44  AM,35.009,150.7,,,,,
37,04/30/24 12:00:44  PM,40.415,49600.3,,,,,
38,04/30/24 12:30:44  PM,41.225,220445.9,,,,,
39,04/30/24 01:00:44  PM,41.225,220445.9,,,,,
40,04/30/24 01:30:44  PM,41.575,220445.9,,,,,
41,04/30/24 02:00:44  PM,42.520,209423.6,,,,,
42,04/30/24 02:30:44  PM,40.876,198401.3,,,,,
43,04/30/24 03:00:44  PM,41.928,170845.6,,,,,
44,04/30/24 03:30:44  PM,41.692,143289.8,,,,,
45,04/30/24 04:00:44  PM,40.530,115734.1,,,,,
46,04/30/24 04:30:44  PM,38.268,88178.4,,,,,
47,04/30/24 05:00:44  PM,37.714,60622.6,,,,,
48,04/30/24 05:30:44  PM,35.756,35822.5,,,,,
49,04/30/24 06:00:44  PM,32.394,22044.6,,,,,
50,04/30/24 06:30:44  PM,28.357,14466.8,,,,,
51,04/30/24 07:00:44  PM,19.282,4650.0,,,,,
52,04/30/24 07:30:44  PM,15.664,1636.1,,,,,
53,04/30/24 08:00:44  PM,8.680,43.1,,,,,
54,04/30/24 08:30:44  PM,7.381,0.0,,,,,
55,04/30/24 09:00:44  PM,7.381,0.0,,,,,
56,04/30/24 09:30:44  PM,5.655,0.0,,,,,
57,04/30/24 10:00:44  PM,4.727,0.0,,,,,
58,04/30/24 10:30:44  PM,4.934,0.0,,,,,
59,04/30/24 11:00:44  PM,3.683,0.0,,,,,
60,04/30/24 11:30:44  PM,2.730,0.0,,,,,
61,05/01/24 12:00:44  AM,3.367,0.0,,,,,
62,05/01/24 12:30:44  AM,3.049,0.0,,,,,
63,05/01/24 01:00:44  AM,2.730,0.0,,,,,
64,05/01/24 01:30:44  AM,1.872,0.0,,,,,
65,05/01/24 02:00:44  AM,1.980,0.0,,,,,
66,05/01/24 02:30:44  AM,1.330,0.0,,,,,
67,05/01/24 03:00:44  AM,1.112,0.0,,,,,
68,05/01/24 03:30:44  AM,1.221,0.0,,,,,
69,05/01/24 04:00:44  AM,0.563,0.0,,,,,
70,05/01/24 04:30:44  AM,-0.102,0.0,,,,,
71,05/01/24 05:00:44  AM,-0.774,0.0,,,,,
72,05/01/24 05:30:44  AM,0.453,0.0,,,,,
73,05/01/24 06:00:44  AM,-0.437,366.0,,,,,
74,05/01/24 06:30:44  AM,0.121,3272.2,,,,,
75,05/01/24 07:00:44  AM,7.682,19289.0,,,,,
76,05/01/24 07:30:44  AM,16.427,31689.1,,,,,
77,05/01/24 08:00:44  AM,22.812,49600.3,,,,,
78,05/01/24 08:30:44  AM,25.222,82667.2,,,,,
79,05/01/24 09:00:44  AM,28.655,115734.1,,,,,
80,05/01/24 09:30:44  AM,28.357,148801.0,,,,,
81,05/01/24 10:00:44  AM,31.064,170845.6,,,,,
82,05/01/24 10:30:44  AM,32.807,187379.0,,,,,
83,05/01/24 11:00:44  AM,35.649,198401.3,,,,,
84,05/01/24 11:30:44  AM,35.542,209423.6,,,,,
85,05/01/24 12:00:44  PM,39.389,220445.9,,,,,
86,05/01/24 12:30:44  PM,39.843,220445.9,,,,,
87,05/01/24 01:00:44  PM,39.389,220445.9,,,,,
88,05/01/24 01:30:44  PM,40.300,220445.9,,,,,
89,05/01/24 02:00:44  PM,40.300,209423.6,,,,,
90,05/01/24 02:30:44  PM,38.490,187379.0,,,,,
91,05/01/24 03:00:44  PM,40.876,170845.6,,,,,
92,05/01/24 03:30:44  PM,39.276,143289.8,,,,,
93,05/01/24 04:00:44  PM,39.615,115734.1,,,,,
