"Plot Title: 20597557"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597557, SEN S/N: 20597557)","Intensity, Lux (LGR S/N: 20597557, SEN S/N: 20597557)","Coupler Attached (LGR S/N: 20597557)","Host Connected (LGR S/N: 20597557)","Stopped (LGR S/N: 20597557)","End Of File (LGR S/N: 20597557)"
1,04/29/24 07:00:00  PM,23.292,0.0,,,,
2,04/29/24 07:30:00  PM,23.004,0.0,,,,
3,04/29/24 08:00:00  PM,22.908,10.8,,,,
4,04/29/24 08:30:00  PM,22.908,0.0,,,,
5,04/29/24 09:00:00  PM,22.812,0.0,,,,
6,04/29/24 09:30:00  PM,22.812,0.0,,,,
7,04/29/24 10:00:00  PM,22.717,0.0,,,,
8,04/29/24 10:30:00  PM,22.621,0.0,,,,
9,04/29/24 11:00:00  PM,22.429,0.0,,,,
10,04/29/24 11:30:00  PM,22.429,0.0,,,,
11,04/30/24 12:00:00  AM,22.238,0.0,,,,
12,04/30/24 12:30:00  AM,22.046,0.0,,,,
13,04/30/24 01:00:00  AM,21.855,0.0,,,,
14,04/30/24 01:30:00  AM,21.664,0.0,,,,
15,04/30/24 02:00:00  AM,21.473,0.0,,,,
16,04/30/24 02:30:00  AM,21.282,0.0,,,,
17,04/30/24 03:00:00  AM,21.187,0.0,,,,
18,04/30/24 03:30:00  AM,20.996,0.0,,,,
19,04/30/24 04:00:00  AM,20.901,0.0,,,,
20,04/30/24 04:30:00  AM,20.710,0.0,,,,
21,04/30/24 05:00:00  AM,20.519,0.0,,,,
22,04/30/24 05:30:00  AM,20.424,0.0,,,,
23,04/30/24 06:00:00  AM,20.234,0.0,,,,
24,04/30/24 06:30:00  AM,20.138,0.0,,,,
25,04/30/24 07:00:00  AM,20.043,0.0,,,,
26,04/30/24 07:30:00  AM,20.234,10.8,,,,
27,04/30/24 08:00:00  AM,20.996,86.1,,,,
28,04/30/24 08:30:00  AM,22.908,43.1,,,,
29,04/30/24 09:00:00  AM,21.473,64.6,,,,
30,04/30/24 09:30:00  AM,21.664,129.2,,,,
31,04/30/24 10:00:00  AM,24.545,183.0,,,,
32,04/30/24 10:30:00  AM,27.862,226.0,,,,
33,04/30/24 11:00:00  AM,30.963,183.0,,,,
34,04/30/24 11:30:00  AM,33.535,236.8,,,,
35,04/30/24 12:00:00  PM,48.023,24800.2,,,,
36,04/30/24 12:30:00  PM,26.879,12400.1,,,,
37,04/30/24 01:00:00  PM,25.125,24800.2,,,,
38,04/30/24 01:30:00  PM,27.468,24800.2,,,,
39,04/30/24 02:00:00  PM,29.053,66133.8,,,,
40,04/30/24 02:30:00  PM,34.268,154312.1,,,,
41,04/30/24 03:00:00  PM,36.511,137778.7,,,,
42,04/30/24 03:30:00  PM,36.946,71644.9,,,,
43,04/30/24 04:00:00  PM,36.946,49600.3,,,,
44,04/30/24 04:30:00  PM,34.374,132267.5,,,,
