"Plot Title: 20619225"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619225, SEN S/N: 20619225)","Intensity, Lux (LGR S/N: 20619225, SEN S/N: 20619225)","Coupler Detached (LGR S/N: 20619225)","Coupler Attached (LGR S/N: 20619225)","Host Connected (LGR S/N: 20619225)","Stopped (LGR S/N: 20619225)","End Of File (LGR S/N: 20619225)"
1,04/26/24 11:53:49  AM,22.621,0.0,,,,,
2,04/26/24 11:54:02  AM,,,Logged,,,,
3,04/26/24 12:23:49  PM,22.238,86.1,,,,,
4,04/26/24 12:53:49  PM,22.812,8266.7,,,,,
5,04/26/24 01:23:49  PM,35.864,275557.4,,,,,
6,04/26/24 01:53:49  PM,36.295,286579.7,,,,,
7,04/26/24 02:23:49  PM,42.639,253512.8,,,,,
8,04/26/24 02:53:49  PM,41.458,242490.5,,,,,
9,04/26/24 03:23:49  PM,40.185,209423.6,,,,,
10,04/26/24 03:53:49  PM,38.379,187379.0,,,,,
11,04/26/24 04:23:49  PM,34.163,165334.4,,,,,
12,04/26/24 04:53:49  PM,31.880,115734.1,,,,,
13,04/26/24 05:23:49  PM,28.953,93689.5,,,,,
14,04/26/24 05:53:49  PM,22.046,19289.0,,,,,
15,04/26/24 06:23:49  PM,18.236,9300.1,,,,,
16,04/26/24 06:53:49  PM,17.284,6544.5,,,,,
17,04/26/24 07:23:49  PM,16.141,710.4,,,,,
18,04/26/24 07:53:49  PM,15.091,0.0,,,,,
19,04/26/24 08:23:49  PM,14.038,0.0,,,,,
20,04/26/24 08:53:49  PM,13.269,0.0,,,,,
21,04/26/24 09:23:49  PM,13.846,0.0,,,,,
22,04/26/24 09:53:49  PM,14.230,0.0,,,,,
23,04/26/24 10:23:49  PM,14.038,0.0,,,,,
24,04/26/24 10:53:49  PM,13.846,0.0,,,,,
25,04/26/24 11:23:49  PM,13.173,0.0,,,,,
26,04/26/24 11:53:49  PM,12.690,0.0,,,,,
27,04/27/24 12:23:49  AM,12.110,0.0,,,,,
28,04/27/24 12:53:49  AM,11.722,0.0,,,,,
29,04/27/24 01:23:49  AM,10.846,0.0,,,,,
30,04/27/24 01:53:49  AM,9.571,0.0,,,,,
