"Plot Title: 20619220"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619220, SEN S/N: 20619220)","Intensity, Lux (LGR S/N: 20619220, SEN S/N: 20619220)","Coupler Detached (LGR S/N: 20619220)","Coupler Attached (LGR S/N: 20619220)","Host Connected (LGR S/N: 20619220)","Stopped (LGR S/N: 20619220)","End Of File (LGR S/N: 20619220)"
1,04/26/24 11:53:29  AM,22.812,0.0,,,,,
2,04/26/24 11:53:36  AM,,,Logged,,,,
3,04/26/24 12:23:29  PM,22.429,904.2,,,,,
4,04/26/24 12:53:29  PM,25.902,13777.9,,,,,
5,04/26/24 01:23:29  PM,25.902,20666.8,,,,,
6,04/26/24 01:53:29  PM,22.525,23422.4,,,,,
7,04/26/24 02:23:29  PM,24.062,23422.4,,,,,
8,04/26/24 02:53:29  PM,25.805,44089.2,,,,,
9,04/26/24 03:23:29  PM,24.545,35822.5,,,,,
10,04/26/24 03:53:29  PM,23.484,35822.5,,,,,
11,04/26/24 04:23:29  PM,23.100,12400.1,,,,,
12,04/26/24 04:53:29  PM,22.333,10677.8,,,,,
13,04/26/24 05:23:29  PM,21.855,10677.8,,,,,
14,04/26/24 05:53:29  PM,20.043,3444.5,,,,,
15,04/26/24 06:23:29  PM,18.140,1980.6,,,,,
16,04/26/24 06:53:29  PM,17.379,1334.7,,,,,
17,04/26/24 07:23:29  PM,16.808,150.7,,,,,
18,04/26/24 07:53:29  PM,16.046,0.0,,,,,
19,04/26/24 08:23:29  PM,15.473,0.0,,,,,
20,04/26/24 08:53:29  PM,14.996,0.0,,,,,
21,04/26/24 09:23:29  PM,14.996,0.0,,,,,
22,04/26/24 09:53:29  PM,15.091,0.0,,,,,
23,04/26/24 10:23:29  PM,14.900,0.0,,,,,
24,04/26/24 10:53:29  PM,14.709,0.0,,,,,
25,04/26/24 11:23:29  PM,14.230,0.0,,,,,
26,04/26/24 11:53:29  PM,13.942,0.0,,,,,
27,04/27/24 12:23:29  AM,13.558,0.0,,,,,
28,04/27/24 12:53:29  AM,13.269,0.0,,,,,
29,04/27/24 01:23:29  AM,12.883,0.0,,,,,
30,04/27/24 01:53:29  AM,12.110,0.0,,,,,
31,04/27/24 02:23:29  AM,12.110,0.0,,,,,
32,04/27/24 02:53:29  AM,12.110,0.0,,,,,
33,04/27/24 03:23:29  AM,12.304,0.0,,,,,
34,04/27/24 03:53:29  AM,12.497,0.0,,,,,
35,04/27/24 04:23:29  AM,12.594,0.0,,,,,
36,04/27/24 04:53:29  AM,12.207,0.0,,,,,
37,04/27/24 05:23:29  AM,11.819,0.0,,,,,
38,04/27/24 05:53:29  AM,11.625,107.6,,,,,
39,04/27/24 06:23:29  AM,12.013,893.4,,,,,
