"Plot Title: 20597555"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20597555, SEN S/N: 20597555)","Intensity, Lux (LGR S/N: 20597555, SEN S/N: 20597555)","Coupler Detached (LGR S/N: 20597555)","Coupler Attached (LGR S/N: 20597555)","Host Connected (LGR S/N: 20597555)","Stopped (LGR S/N: 20597555)","End Of File (LGR S/N: 20597555)"
1,04/19/24 03:40:39  PM,22.621,0.0,,,,,
2,04/19/24 03:40:45  PM,,,Logged,,,,
3,04/19/24 04:10:39  PM,24.931,118.4,,,,,
4,04/19/24 04:40:39  PM,25.416,118.4,,,,,
5,04/19/24 05:10:39  PM,25.513,21.5,,,,,
6,04/19/24 05:40:39  PM,25.416,10.8,,,,,
7,04/19/24 06:10:39  PM,25.222,10.8,,,,,
8,04/19/24 06:40:39  PM,25.222,0.0,,,,,
9,04/19/24 07:10:39  PM,25.416,0.0,,,,,
10,04/19/24 07:40:39  PM,25.125,0.0,,,,,
11,04/19/24 08:10:39  PM,24.351,0.0,,,,,
12,04/19/24 08:40:39  PM,23.484,0.0,,,,,
13,04/19/24 09:10:39  PM,22.717,0.0,,,,,
14,04/19/24 09:40:39  PM,21.951,0.0,,,,,
15,04/19/24 10:10:39  PM,21.187,0.0,,,,,
16,04/19/24 10:40:39  PM,20.519,0.0,,,,,
17,04/19/24 11:10:39  PM,19.948,0.0,,,,,
18,04/19/24 11:40:39  PM,19.472,0.0,,,,,
19,04/20/24 12:10:39  AM,18.996,0.0,,,,,
20,04/20/24 12:40:39  AM,18.616,0.0,,,,,
21,04/20/24 01:10:39  AM,18.236,0.0,,,,,
22,04/20/24 01:40:39  AM,17.950,0.0,,,,,
23,04/20/24 02:10:39  AM,17.570,0.0,,,,,
24,04/20/24 02:40:39  AM,17.284,0.0,,,,,
25,04/20/24 03:10:39  AM,16.999,0.0,,,,,
26,04/20/24 03:40:39  AM,16.618,0.0,,,,,
27,04/20/24 04:10:39  AM,16.427,0.0,,,,,
28,04/20/24 04:40:39  AM,16.141,0.0,,,,,
29,04/20/24 05:10:39  AM,15.951,0.0,,,,,
30,04/20/24 05:40:39  AM,15.760,0.0,,,,,
31,04/20/24 06:10:39  AM,15.664,0.0,,,,,
32,04/20/24 06:40:39  AM,15.569,0.0,,,,,
33,04/20/24 07:10:39  AM,16.046,0.0,,,,,
34,04/20/24 07:40:39  AM,18.711,0.0,,,,,
35,04/20/24 08:10:39  AM,20.996,3100.0,,,,,
36,04/20/24 08:40:39  AM,23.004,2497.2,,,,,
37,04/20/24 09:10:39  AM,26.097,2583.4,,,,,
38,04/20/24 09:40:39  AM,30.457,2583.4,,,,,
39,04/20/24 10:10:39  AM,32.497,1636.1,,,,,
40,04/20/24 10:40:39  AM,42.878,44089.2,,,,,
41,04/20/24 11:10:39  AM,43.480,63378.2,,,,,
42,04/20/24 11:40:39  AM,44.211,85422.8,,,,,
43,04/20/24 12:10:39  PM,44.334,93689.5,,,,,
44,04/20/24 12:40:39  PM,45.956,104711.8,,,,,
45,04/20/24 01:10:39  PM,46.593,110223.0,,,,,
46,04/20/24 01:40:39  PM,47.238,115734.1,,,,,
47,04/20/24 02:10:39  PM,47.238,115734.1,,,,,
48,04/20/24 02:40:39  PM,52.293,115734.1,,,,,
49,04/20/24 03:10:39  PM,51.014,115734.1,,,,,
50,04/20/24 03:40:39  PM,49.768,110223.0,,,,,
51,04/20/24 04:10:39  PM,46.850,104711.8,,,,,
52,04/20/24 04:40:39  PM,43.844,93689.5,,,,,
53,04/20/24 05:10:39  PM,42.046,82667.2,,,,,
54,04/20/24 05:40:39  PM,40.530,74400.5,,,,,
55,04/20/24 06:10:39  PM,37.055,57867.0,,,,,
56,04/20/24 06:40:39  PM,33.222,28933.5,,,,,
57,04/20/24 07:10:39  PM,28.853,2066.7,,,,,
58,04/20/24 07:40:39  PM,25.319,32.3,,,,,
59,04/20/24 08:10:39  PM,22.812,0.0,,,,,
60,04/20/24 08:40:39  PM,26.000,0.0,,,,,
61,04/20/24 09:10:39  PM,25.513,0.0,,,,,
62,04/20/24 09:40:39  PM,22.333,0.0,,,,,
63,04/20/24 10:10:39  PM,20.805,0.0,,,,,
64,04/20/24 10:40:39  PM,20.710,0.0,,,,,
65,04/20/24 11:10:39  PM,20.043,0.0,,,,,
66,04/20/24 11:40:39  PM,20.996,0.0,,,,,
67,04/21/24 12:10:39  AM,20.329,0.0,,,,,
68,04/21/24 12:40:39  AM,17.950,0.0,,,,,
69,04/21/24 01:10:39  AM,17.379,0.0,,,,,
70,04/21/24 01:40:39  AM,18.331,0.0,,,,,
71,04/21/24 02:10:39  AM,18.331,0.0,,,,,
72,04/21/24 02:40:39  AM,16.523,0.0,,,,,
73,04/21/24 03:10:39  AM,16.903,0.0,,,,,
74,04/21/24 03:40:39  AM,15.760,0.0,,,,,
75,04/21/24 04:10:39  AM,14.996,0.0,,,,,
76,04/21/24 04:40:39  AM,15.378,0.0,,,,,
77,04/21/24 05:10:39  AM,14.996,0.0,,,,,
78,04/21/24 05:40:39  AM,14.421,10.8,,,,,
79,04/21/24 06:10:39  AM,13.750,1636.1,,,,,
80,04/21/24 06:40:39  AM,15.282,4305.6,,,,,
81,04/21/24 07:10:39  AM,25.708,22044.6,,,,,
82,04/21/24 07:40:39  AM,31.472,30311.3,,,,,
83,04/21/24 08:10:39  AM,34.268,38578.0,,,,,
84,04/21/24 08:40:39  AM,37.384,44089.2,,,,,
85,04/21/24 09:10:39  AM,39.389,46844.8,,,,,
86,04/21/24 09:40:39  AM,40.992,44089.2,,,,,
87,04/21/24 10:10:39  AM,41.575,42711.4,,,,,
88,04/21/24 10:40:39  AM,43.723,46844.8,,,,,
89,04/21/24 11:10:39  AM,46.210,66133.8,,,,,
90,04/21/24 11:40:39  AM,46.722,88178.4,,,,,
91,04/21/24 12:10:39  PM,47.499,85422.8,,,,,
92,04/21/24 12:40:39  PM,48.687,104711.8,,,,,
93,04/21/24 01:10:39  PM,47.760,110223.0,,,,,
94,04/21/24 01:40:39  PM,48.023,115734.1,,,,,
95,04/21/24 02:10:39  PM,49.225,115734.1,,,,,
