"Plot Title: 20619225"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619225, SEN S/N: 20619225)","Intensity, Lux (LGR S/N: 20619225, SEN S/N: 20619225)","Coupler Detached (LGR S/N: 20619225)","Coupler Attached (LGR S/N: 20619225)","Host Connected (LGR S/N: 20619225)","Stopped (LGR S/N: 20619225)","End Of File (LGR S/N: 20619225)"
1,04/15/24 07:45:06  PM,19.377,0.0,,,,,
2,04/15/24 07:45:11  PM,,,Logged,,,,
3,04/15/24 08:15:06  PM,19.187,0.0,,,,,
4,04/15/24 08:45:06  PM,19.092,0.0,,,,,
5,04/15/24 09:15:06  PM,18.996,0.0,,,,,
6,04/15/24 09:45:06  PM,18.901,0.0,,,,,
7,04/15/24 10:15:06  PM,18.806,0.0,,,,,
8,04/15/24 10:45:06  PM,18.711,0.0,,,,,
9,04/15/24 11:15:06  PM,18.616,0.0,,,,,
10,04/15/24 11:45:06  PM,18.521,0.0,,,,,
11,04/16/24 12:15:06  AM,18.426,0.0,,,,,
12,04/16/24 12:45:06  AM,18.426,0.0,,,,,
13,04/16/24 01:15:06  AM,18.331,0.0,,,,,
14,04/16/24 01:45:06  AM,18.236,0.0,,,,,
15,04/16/24 02:15:06  AM,18.236,0.0,,,,,
16,04/16/24 02:45:06  AM,18.140,0.0,,,,,
17,04/16/24 03:15:06  AM,18.045,0.0,,,,,
18,04/16/24 03:45:06  AM,18.045,0.0,,,,,
19,04/16/24 04:15:06  AM,17.950,0.0,,,,,
20,04/16/24 04:45:06  AM,17.950,0.0,,,,,
21,04/16/24 05:15:06  AM,17.855,0.0,,,,,
22,04/16/24 05:45:06  AM,17.855,0.0,,,,,
23,04/16/24 06:15:06  AM,17.760,0.0,,,,,
24,04/16/24 06:45:06  AM,17.760,0.0,,,,,
25,04/16/24 07:15:06  AM,17.094,0.0,,,,,
26,04/16/24 07:45:06  AM,17.475,10.8,,,,,
27,04/16/24 08:15:06  AM,18.711,10.8,,,,,
28,04/16/24 08:45:06  AM,20.043,75.3,,,,,
29,04/16/24 09:15:06  AM,22.142,10.8,,,,,
30,04/16/24 09:45:06  AM,23.100,1119.5,,,,,
31,04/16/24 10:15:06  AM,25.222,2238.9,,,,,
32,04/16/24 10:45:06  AM,31.574,11711.2,,,,,
33,04/16/24 11:15:06  AM,35.756,12400.1,,,,,
34,04/16/24 11:45:06  AM,39.389,198401.3,,,,,
35,04/16/24 12:15:06  PM,41.810,220445.9,,,,,
