"Plot Title: 20619220"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619220, SEN S/N: 20619220)","Intensity, Lux (LGR S/N: 20619220, SEN S/N: 20619220)","Coupler Detached (LGR S/N: 20619220)","Coupler Attached (LGR S/N: 20619220)","Host Connected (LGR S/N: 20619220)","Stopped (LGR S/N: 20619220)","End Of File (LGR S/N: 20619220)"
1,04/15/24 07:45:38  PM,19.567,0.0,,,,,
2,04/15/24 07:45:44  PM,,,Logged,,,,
3,04/15/24 08:15:38  PM,19.187,0.0,,,,,
4,04/15/24 08:45:38  PM,19.092,0.0,,,,,
5,04/15/24 09:15:38  PM,18.901,0.0,,,,,
6,04/15/24 09:45:38  PM,18.806,0.0,,,,,
7,04/15/24 10:15:38  PM,18.711,0.0,,,,,
8,04/15/24 10:45:38  PM,18.616,0.0,,,,,
9,04/15/24 11:15:38  PM,18.521,0.0,,,,,
10,04/15/24 11:45:38  PM,18.426,0.0,,,,,
11,04/16/24 12:15:38  AM,18.426,0.0,,,,,
12,04/16/24 12:45:38  AM,18.331,0.0,,,,,
13,04/16/24 01:15:38  AM,18.236,0.0,,,,,
14,04/16/24 01:45:38  AM,18.140,0.0,,,,,
15,04/16/24 02:15:38  AM,18.140,0.0,,,,,
16,04/16/24 02:45:38  AM,18.045,0.0,,,,,
17,04/16/24 03:15:38  AM,18.045,0.0,,,,,
18,04/16/24 03:45:38  AM,17.950,0.0,,,,,
19,04/16/24 04:15:38  AM,17.950,0.0,,,,,
20,04/16/24 04:45:38  AM,17.855,0.0,,,,,
21,04/16/24 05:15:38  AM,17.760,0.0,,,,,
22,04/16/24 05:45:38  AM,17.760,0.0,,,,,
23,04/16/24 06:15:38  AM,17.665,0.0,,,,,
24,04/16/24 06:45:38  AM,17.665,21.5,,,,,
25,04/16/24 07:15:38  AM,16.618,462.9,,,,,
26,04/16/24 07:45:38  AM,17.760,43.1,,,,,
27,04/16/24 08:15:38  AM,20.424,64.6,,,,,
28,04/16/24 08:45:38  AM,21.855,1550.0,,,,,
29,04/16/24 09:15:38  AM,25.222,53.8,,,,,
30,04/16/24 09:45:38  AM,25.222,1550.0,,,,,
31,04/16/24 10:15:38  AM,27.173,7233.4,,,,,
32,04/16/24 10:45:38  AM,42.998,21355.7,,,,,
33,04/16/24 11:15:38  AM,49.090,22044.6,,,,,
34,04/16/24 11:45:38  AM,30.963,20666.8,,,,,
35,04/16/24 12:15:38  PM,28.555,19977.9,,,,,
36,04/16/24 12:45:38  PM,32.807,231468.2,,,,,
37,04/16/24 01:15:38  PM,34.479,30311.3,,,,,
38,04/16/24 01:45:38  PM,34.691,30311.3,,,,,
39,04/16/24 02:15:38  PM,33.848,27555.7,,,,,
40,04/16/24 02:45:38  PM,44.580,79911.6,,,,,
41,04/16/24 03:15:38  PM,46.465,253512.8,,,,,
42,04/16/24 03:45:38  PM,50.456,231468.2,,,,,
43,04/16/24 04:15:38  PM,48.155,209423.6,,,,,
44,04/16/24 04:45:38  PM,46.465,176356.7,,,,,
45,04/16/24 05:15:38  PM,46.210,154312.1,,,,,
46,04/16/24 05:45:38  PM,40.876,121245.2,,,,,
47,04/16/24 06:15:38  PM,40.300,79911.6,,,,,
48,04/16/24 06:45:38  PM,36.079,41333.6,,,,,
49,04/16/24 07:15:38  PM,23.100,990.3,,,,,
50,04/16/24 07:45:38  PM,19.567,0.0,,,,,
51,04/16/24 08:15:38  PM,18.996,0.0,,,,,
52,04/16/24 08:45:38  PM,18.140,0.0,,,,,
53,04/16/24 09:15:38  PM,17.570,0.0,,,,,
54,04/16/24 09:45:38  PM,15.664,0.0,,,,,
55,04/16/24 10:15:38  PM,17.094,0.0,,,,,
56,04/16/24 10:45:38  PM,14.709,0.0,,,,,
57,04/16/24 11:15:38  PM,13.654,0.0,,,,,
58,04/16/24 11:45:38  PM,14.517,0.0,,,,,
59,04/17/24 12:15:38  AM,13.558,0.0,,,,,
60,04/17/24 12:45:38  AM,12.690,0.0,,,,,
61,04/17/24 01:15:38  AM,12.594,0.0,,,,,
62,04/17/24 01:45:38  AM,11.528,0.0,,,,,
63,04/17/24 02:15:38  AM,11.528,0.0,,,,,
64,04/17/24 02:45:38  AM,11.041,0.0,,,,,
65,04/17/24 03:15:38  AM,10.748,0.0,,,,,
66,04/17/24 03:45:38  AM,9.965,0.0,,,,,
67,04/17/24 04:15:38  AM,9.472,0.0,,,,,
68,04/17/24 04:45:38  AM,8.978,0.0,,,,,
69,04/17/24 05:15:38  AM,8.382,0.0,,,,,
70,04/17/24 05:45:38  AM,7.682,0.0,,,,,
71,04/17/24 06:15:38  AM,7.280,947.2,,,,,
72,04/17/24 06:45:38  AM,9.571,4305.6,,,,,
73,04/17/24 07:15:38  AM,13.269,6200.0,,,,,
74,04/17/24 07:45:38  AM,16.808,10677.8,,,,,
75,04/17/24 08:15:38  AM,17.570,6544.5,,,,,
76,04/17/24 08:45:38  AM,18.616,11022.3,,,,,
77,04/17/24 09:15:38  AM,21.187,14466.8,,,,,
78,04/17/24 09:45:38  AM,23.388,19977.9,,,,,
79,04/17/24 10:15:38  AM,25.805,22044.6,,,,,
80,04/17/24 10:45:38  AM,29.352,44089.2,,,,,
81,04/17/24 11:15:38  AM,29.752,21355.7,,,,,
82,04/17/24 11:45:38  AM,30.963,26178.0,,,,,
83,04/17/24 12:15:38  PM,32.497,28933.5,,,,,
84,04/17/24 12:45:38  PM,37.055,63378.2,,,,,
85,04/17/24 01:15:38  PM,39.729,46844.8,,,,,
