"Plot Title: 20619225"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619225, SEN S/N: 20619225)","Intensity, Lux (LGR S/N: 20619225, SEN S/N: 20619225)","Coupler Detached (LGR S/N: 20619225)","Coupler Attached (LGR S/N: 20619225)","Host Connected (LGR S/N: 20619225)","Stopped (LGR S/N: 20619225)","End Of File (LGR S/N: 20619225)"
1,04/20/24 04:22:51  PM,23.677,10.8,,,,,
2,04/20/24 04:23:05  PM,,,Logged,,,,
3,04/20/24 04:52:51  PM,22.812,0.0,,,,,
4,04/20/24 05:22:51  PM,22.525,0.0,,,,,
5,04/20/24 05:52:51  PM,22.812,0.0,,,,,
6,04/20/24 06:22:51  PM,23.196,0.0,,,,,
7,04/20/24 06:52:51  PM,24.158,0.0,,,,,
8,04/20/24 07:22:51  PM,24.641,0.0,,,,,
9,04/20/24 07:52:51  PM,23.677,0.0,,,,,
10,04/20/24 08:22:51  PM,22.717,0.0,,,,,
11,04/20/24 08:52:51  PM,21.855,0.0,,,,,
12,04/20/24 09:22:51  PM,21.187,0.0,,,,,
13,04/20/24 09:52:51  PM,20.615,0.0,,,,,
14,04/20/24 10:22:51  PM,20.234,0.0,,,,,
15,04/20/24 10:52:51  PM,19.853,0.0,,,,,
16,04/20/24 11:22:51  PM,19.092,0.0,,,,,
17,04/20/24 11:52:51  PM,18.331,0.0,,,,,
18,04/21/24 12:22:51  AM,18.045,0.0,,,,,
19,04/21/24 12:52:51  AM,17.950,0.0,,,,,
20,04/21/24 01:22:51  AM,17.665,0.0,,,,,
21,04/21/24 01:52:51  AM,17.570,0.0,,,,,
22,04/21/24 02:22:51  AM,17.379,0.0,,,,,
23,04/21/24 02:52:51  AM,16.713,0.0,,,,,
24,04/21/24 03:22:51  AM,16.141,0.0,,,,,
25,04/21/24 03:52:51  AM,15.473,0.0,,,,,
26,04/21/24 04:22:51  AM,15.282,0.0,,,,,
27,04/21/24 04:52:51  AM,15.187,0.0,,,,,
28,04/21/24 05:22:51  AM,15.187,0.0,,,,,
29,04/21/24 05:52:51  AM,15.187,0.0,,,,,
30,04/21/24 06:22:51  AM,15.378,0.0,,,,,
31,04/21/24 06:52:51  AM,15.951,0.0,,,,,
32,04/21/24 07:22:51  AM,18.236,0.0,,,,,
33,04/21/24 07:52:51  AM,20.615,0.0,,,,,
34,04/21/24 08:22:51  AM,22.525,21.5,,,,,
35,04/21/24 08:52:51  AM,24.351,753.5,,,,,
36,04/21/24 09:22:51  AM,22.717,1356.3,,,,,
37,04/21/24 09:52:51  AM,33.743,10677.8,,,,,
38,04/21/24 10:22:51  AM,43.723,13777.9,,,,,
39,04/21/24 10:52:51  AM,49.905,19289.0,,,,,
40,04/21/24 11:22:51  AM,40.071,26178.0,,,,,
41,04/21/24 11:52:51  AM,37.604,60622.6,,,,,
42,04/21/24 12:22:51  PM,39.050,85422.8,,,,,
43,04/21/24 12:52:51  PM,41.575,110223.0,,,,,
44,04/21/24 01:22:51  PM,42.878,137778.7,,,,,
45,04/21/24 01:52:51  PM,44.211,159823.3,,,,,
46,04/21/24 02:22:51  PM,44.952,176356.7,,,,,
47,04/21/24 02:52:51  PM,45.829,187379.0,,,,,
48,04/21/24 03:22:51  PM,45.956,198401.3,,,,,
49,04/21/24 03:52:51  PM,45.956,198401.3,,,,,
50,04/21/24 04:22:51  PM,46.210,198401.3,,,,,
51,04/21/24 04:52:51  PM,43.966,187379.0,,,,,
52,04/21/24 05:22:51  PM,42.401,176356.7,,,,,
53,04/21/24 05:52:51  PM,39.729,159823.3,,,,,
54,04/21/24 06:22:51  PM,35.222,126756.4,,,,,
55,04/21/24 06:52:51  PM,29.552,46844.8,,,,,
56,04/21/24 07:22:51  PM,20.901,1377.8,,,,,
57,04/21/24 07:52:51  PM,17.475,0.0,,,,,
58,04/21/24 08:22:51  PM,15.378,0.0,,,,,
59,04/21/24 08:52:51  PM,15.282,0.0,,,,,
60,04/21/24 09:22:51  PM,14.038,0.0,,,,,
61,04/21/24 09:52:51  PM,14.517,0.0,,,,,
62,04/21/24 10:22:51  PM,13.942,0.0,,,,,
63,04/21/24 10:52:51  PM,13.750,0.0,,,,,
64,04/21/24 11:22:51  PM,12.883,0.0,,,,,
65,04/21/24 11:52:51  PM,16.523,0.0,,,,,
66,04/22/24 12:22:51  AM,17.094,0.0,,,,,
67,04/22/24 12:52:51  AM,15.569,0.0,,,,,
68,04/22/24 01:22:51  AM,16.523,0.0,,,,,
69,04/22/24 01:52:51  AM,15.664,0.0,,,,,
70,04/22/24 02:22:51  AM,12.980,0.0,,,,,
71,04/22/24 02:52:51  AM,12.690,0.0,,,,,
72,04/22/24 03:22:51  AM,12.110,0.0,,,,,
73,04/22/24 03:52:51  AM,11.722,0.0,,,,,
74,04/22/24 04:22:51  AM,10.357,0.0,,,,,
75,04/22/24 04:52:51  AM,11.139,0.0,,,,,
76,04/22/24 05:22:51  AM,11.236,0.0,,,,,
77,04/22/24 05:52:51  AM,10.357,204.5,,,,,
78,04/22/24 06:22:51  AM,11.236,2497.2,,,,,
79,04/22/24 06:52:51  AM,13.654,4994.5,,,,,
80,04/22/24 07:22:51  AM,16.523,7233.4,,,,,
81,04/22/24 07:52:51  AM,19.282,9300.1,,,,,
82,04/22/24 08:22:51  AM,21.091,11022.3,,,,,
83,04/22/24 08:52:51  AM,29.252,16533.4,,,,,
84,04/22/24 09:22:51  AM,31.676,19289.0,,,,,
85,04/22/24 09:52:51  AM,32.911,20666.8,,,,,
86,04/22/24 10:22:51  AM,34.268,22044.6,,,,,
87,04/22/24 10:52:51  AM,35.115,26178.0,,,,,
88,04/22/24 11:22:51  AM,35.971,26178.0,,,,,
89,04/22/24 11:52:51  AM,36.946,38578.0,,,,,
90,04/22/24 12:22:51  PM,37.165,74400.5,,,,,
91,04/22/24 12:52:51  PM,38.826,93689.5,,,,,
92,04/22/24 01:22:51  PM,40.300,121245.2,,,,,
93,04/22/24 01:52:51  PM,42.401,148801.0,,,,,
94,04/22/24 02:22:51  PM,43.238,170845.6,,,,,
95,04/22/24 02:52:51  PM,44.089,187379.0,,,,,
96,04/22/24 03:22:51  PM,43.359,198401.3,,,,,
97,04/22/24 03:52:51  PM,43.601,198401.3,,,,,
98,04/22/24 04:22:51  PM,43.359,198401.3,,,,,
99,04/22/24 04:52:51  PM,42.878,198401.3,,,,,
100,04/22/24 05:22:51  PM,39.957,187379.0,,,,,
101,04/22/24 05:52:51  PM,38.938,176356.7,,,,,
102,04/22/24 06:22:51  PM,35.542,148801.0,,,,,
103,04/22/24 06:52:51  PM,29.652,74400.5,,,,,
104,04/22/24 07:22:51  PM,20.805,1636.1,,,,,
105,04/22/24 07:52:51  PM,20.138,0.0,,,,,
106,04/22/24 08:22:51  PM,19.092,0.0,,,,,
107,04/22/24 08:52:51  PM,17.950,0.0,,,,,
108,04/22/24 09:22:51  PM,16.808,0.0,,,,,
109,04/22/24 09:52:51  PM,15.951,0.0,,,,,
110,04/22/24 10:22:51  PM,16.141,0.0,,,,,
111,04/22/24 10:52:51  PM,13.942,0.0,,,,,
112,04/22/24 11:22:51  PM,13.654,0.0,,,,,
113,04/22/24 11:52:51  PM,13.076,0.0,,,,,
114,04/23/24 12:22:51  AM,11.528,0.0,,,,,
115,04/23/24 12:52:51  AM,11.236,0.0,,,,,
116,04/23/24 01:22:51  AM,11.819,0.0,,,,,
117,04/23/24 01:52:51  AM,11.431,0.0,,,,,
118,04/23/24 02:22:51  AM,10.944,0.0,,,,,
119,04/23/24 02:52:51  AM,10.455,0.0,,,,,
120,04/23/24 03:22:51  AM,9.669,0.0,,,,,
121,04/23/24 03:52:51  AM,9.472,0.0,,,,,
122,04/23/24 04:22:51  AM,9.768,0.0,,,,,
