"Plot Title: 20619220"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20619220, SEN S/N: 20619220)","Intensity, Lux (LGR S/N: 20619220, SEN S/N: 20619220)","Coupler Detached (LGR S/N: 20619220)","End Of File (LGR S/N: 20619220)"
1,04/20/24 04:22:31  PM,24.255,183.0,,
2,04/20/24 04:22:37  PM,,,Logged,
3,04/20/24 04:52:31  PM,22.717,10.8,,
4,04/20/24 05:22:31  PM,22.621,0.0,,
5,04/20/24 05:52:31  PM,23.100,0.0,,
6,04/20/24 06:22:31  PM,23.196,10.8,,
7,04/20/24 06:52:31  PM,24.158,0.0,,
8,04/20/24 07:22:31  PM,24.835,0.0,,
9,04/20/24 07:52:31  PM,23.773,0.0,,
10,04/20/24 08:22:31  PM,22.812,0.0,,
11,04/20/24 08:52:31  PM,21.951,0.0,,
12,04/20/24 09:22:31  PM,21.282,0.0,,
13,04/20/24 09:52:31  PM,20.710,0.0,,
14,04/20/24 10:22:31  PM,20.234,0.0,,
15,04/20/24 10:52:31  PM,19.853,0.0,,
16,04/20/24 11:22:31  PM,19.092,0.0,,
17,04/20/24 11:52:31  PM,18.331,0.0,,
18,04/21/24 12:22:31  AM,18.045,0.0,,
19,04/21/24 12:52:31  AM,17.855,0.0,,
20,04/21/24 01:22:31  AM,17.570,0.0,,
21,04/21/24 01:52:31  AM,17.475,0.0,,
22,04/21/24 02:22:31  AM,17.189,0.0,,
23,04/21/24 02:52:31  AM,16.618,0.0,,
24,04/21/24 03:22:31  AM,16.046,0.0,,
25,04/21/24 03:52:31  AM,15.378,0.0,,
26,04/21/24 04:22:31  AM,15.187,0.0,,
27,04/21/24 04:52:31  AM,15.091,0.0,,
28,04/21/24 05:22:31  AM,14.996,0.0,,
29,04/21/24 05:52:31  AM,15.091,0.0,,
30,04/21/24 06:22:31  AM,15.187,0.0,,
31,04/21/24 06:52:31  AM,15.855,21.5,,
32,04/21/24 07:22:31  AM,18.140,32.3,,
33,04/21/24 07:52:31  AM,20.424,32.3,,
34,04/21/24 08:22:31  AM,22.429,2325.0,,
35,04/21/24 08:52:31  AM,25.513,2497.2,,
36,04/21/24 09:22:31  AM,24.062,3272.2,,
37,04/21/24 09:52:31  AM,40.761,27555.7,,
38,04/21/24 10:22:31  AM,42.520,33066.9,,
39,04/21/24 10:52:31  AM,42.164,46844.8,,
40,04/21/24 11:22:31  AM,37.935,21355.7,,
41,04/21/24 11:52:31  AM,33.118,28933.5,,
42,04/21/24 12:22:31  PM,33.639,57867.0,,
43,04/21/24 12:52:31  PM,33.848,68889.3,,
44,04/21/24 01:22:31  PM,34.058,23422.4,,
45,04/21/24 01:52:31  PM,33.848,37200.2,,
46,04/21/24 02:22:31  PM,32.911,22044.6,,
47,04/21/24 02:52:31  PM,33.326,18600.1,,
48,04/21/24 03:22:31  PM,33.014,17911.2,,
49,04/21/24 03:52:31  PM,33.222,24800.2,,
50,04/21/24 04:22:31  PM,35.222,88178.4,,
51,04/21/24 04:52:31  PM,35.864,85422.8,,
52,04/21/24 05:22:31  PM,34.903,38578.0,,
53,04/21/24 05:52:31  PM,36.403,77156.1,,
54,04/21/24 06:22:31  PM,31.676,66133.8,,
55,04/21/24 06:52:31  PM,26.488,15844.5,,
56,04/21/24 07:22:31  PM,21.091,861.1,,
57,04/21/24 07:52:31  PM,17.379,0.0,,
58,04/21/24 08:22:31  PM,16.046,0.0,,
59,04/21/24 08:52:31  PM,15.951,0.0,,
60,04/21/24 09:22:31  PM,14.804,0.0,,
61,04/21/24 09:52:31  PM,14.804,0.0,,
62,04/21/24 10:22:31  PM,13.654,0.0,,
63,04/21/24 10:52:31  PM,13.365,0.0,,
64,04/21/24 11:22:31  PM,13.654,0.0,,
65,04/21/24 11:52:31  PM,15.473,0.0,,
66,04/22/24 12:22:31  AM,16.903,0.0,,
67,04/22/24 12:52:31  AM,15.760,0.0,,
68,04/22/24 01:22:31  AM,17.284,0.0,,
69,04/22/24 01:52:31  AM,16.046,0.0,,
70,04/22/24 02:22:31  AM,13.558,0.0,,
71,04/22/24 02:52:31  AM,12.883,0.0,,
72,04/22/24 03:22:31  AM,12.497,0.0,,
73,04/22/24 03:52:31  AM,12.110,0.0,,
74,04/22/24 04:22:31  AM,11.722,0.0,,
75,04/22/24 04:52:31  AM,11.625,0.0,,
76,04/22/24 05:22:31  AM,11.819,0.0,,
77,04/22/24 05:52:31  AM,11.528,204.5,,
78,04/22/24 06:22:31  AM,12.013,2152.8,,
79,04/22/24 06:52:31  AM,13.750,4133.4,,
80,04/22/24 07:22:31  AM,17.475,6200.0,,
81,04/22/24 07:52:31  AM,23.388,15844.5,,
82,04/22/24 08:22:31  AM,31.370,23422.4,,
83,04/22/24 08:52:31  AM,31.166,20666.8,,
84,04/22/24 09:22:31  AM,34.479,22044.6,,
85,04/22/24 09:52:31  AM,36.403,22044.6,,
86,04/22/24 10:22:31  AM,36.620,22044.6,,
87,04/22/24 10:52:31  AM,34.479,23422.4,,
88,04/22/24 11:22:31  AM,34.585,22044.6,,
89,04/22/24 11:52:31  AM,32.911,27555.7,,
90,04/22/24 12:22:31  PM,33.430,57867.0,,
91,04/22/24 12:52:31  PM,32.600,68889.3,,
92,04/22/24 01:22:31  PM,33.743,22044.6,,
93,04/22/24 01:52:31  PM,33.639,27555.7,,
94,04/22/24 02:22:31  PM,31.983,16533.4,,
95,04/22/24 02:52:31  PM,33.222,17222.3,,
96,04/22/24 03:22:31  PM,32.600,18600.1,,
97,04/22/24 03:52:31  PM,32.807,21355.7,,
98,04/22/24 04:22:31  PM,33.743,85422.8,,
99,04/22/24 04:52:31  PM,36.620,88178.4,,
100,04/22/24 05:22:31  PM,35.435,60622.6,,
101,04/22/24 05:52:31  PM,37.384,88178.4,,
102,04/22/24 06:22:31  PM,32.600,71644.9,,
103,04/22/24 06:52:31  PM,26.683,18600.1,,
104,04/22/24 07:22:31  PM,19.758,1001.0,,
105,04/22/24 07:52:31  PM,18.901,0.0,,
106,04/22/24 08:22:31  PM,17.950,0.0,,
107,04/22/24 08:52:31  PM,18.236,0.0,,
108,04/22/24 09:22:31  PM,16.999,0.0,,
109,04/22/24 09:52:31  PM,16.713,0.0,,
110,04/22/24 10:22:31  PM,16.903,0.0,,
111,04/22/24 10:52:31  PM,15.091,0.0,,
112,04/22/24 11:22:31  PM,14.804,0.0,,
113,04/22/24 11:52:31  PM,14.038,0.0,,
