Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),qc,Total Precip (mm),qc,Avg Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Avg Max Air Temp (C),qc,Avg Min Air Temp (C),qc,Avg Air Temp (C),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (C),qc,Avg Wind Speed (m/s),qc,Avg Soil Temp (C),qc
88,Cuyama,Central Coast Valleys,Sep 2022,36.32,K,5.20,K,236,K,1.1,K,33.5,K,14.5,K,23.5,K,50,L,12,L,37,L,7.2,L,2.4,K,29.6,L
88,Cuyama,Central Coast Valleys,Oct 2022,104.52,K,0.00,K,194,K,0.8,K,28.3, ,8.2,K,17.5,K,62,L,18,L,39, ,2.7, ,2.3,K,24.0,K
88,Cuyama,Central Coast Valleys,Nov 2022,67.14, ,21.20, ,136, ,0.6, ,17.7, ,0.2, ,8.0, ,77, ,28, ,52, ,-2.1, ,2.2,K,11.7,L
88,Cuyama,Central Coast Valleys,Dec 2022,40.14,K,59.30,K,97,K,0.8,K,15.2, ,2.1,K,7.7,K,93,K,48,K,73,K,2.9,K,2.1,K,9.2,L
88,Cuyama,Central Coast Valleys,Jan 2023,44.17, ,86.50, ,105, ,0.8,K,13.4, ,1.7,K,6.9, ,97, ,52, ,76,K,2.9,K,2.4,K,9.1,L
88,Cuyama,Central Coast Valleys,Feb 2023,51.56,L,2.70,L,158,L,0.6,L,15.3,L,-0.3,L,7.0,L,92,L,35,L,64,L,0.4,L,2.2,L,8.8,L
88,Cuyama,Central Coast Valleys,Mar 2023,,N,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
88,Cuyama,Central Coast Valleys,Apr 2023,,N,0.00,L,343,L,0.9,L,24.9,L,4.9,L,15.7,L,88,L,28,L,50,L,4.9,L,2.4,L,13.4,L
88,Cuyama,Central Coast Valleys,May 2023,,N,0.40,L,346,L,0.8,L,26.4,L,6.9,L,16.8,L,77,L,17,L,48,L,5.2,L,2.6,L,17.5,L
88,Cuyama,Central Coast Valleys,Jun 2023,,N,3.80, ,325,K,0.6,L,28.3,L,8.7,L,17.9,L,79,K,2,K,39,L,1.7,L,2.4, ,22.4,L
88,Cuyama,Central Coast Valleys,Jul 2023,,N,0.00, ,342,K,0.9, ,38.0,K,14.2, ,26.3,K,53, ,13, ,28,K,6.0,K,2.4, ,29.1, 
88,Cuyama,Central Coast Valleys,Aug 2023,,N,20.90, ,288, ,1.2,K,34.4,K,13.3, ,23.4, ,72, ,22, ,40,L,8.7,L,2.3,K,28.2,L
88,Cuyama,Central Coast Valleys,Sep 2023,,N,0.00, ,239, ,1.2, ,30.0, ,10.3, ,19.4, ,81, ,28, ,52, ,9.1, ,2.2,K,25.1, 
88,Cuyama,Central Coast Valleys,Oct 2023,,N,0.00, ,193, ,0.8, ,27.3, ,6.1,K,16.0,K,72, ,24, ,45,K,3.4,K,2.3,K,20.7,K
88,Cuyama,Central Coast Valleys,Nov 2023,,N,1.80, ,140, ,0.6, ,21.9, ,1.4, ,10.7, ,69, ,24, ,44, ,-1.9, ,2.3,K,14.0,L
88,Cuyama,Central Coast Valleys,Dec 2023,,N,2.70, ,102, ,0.7,K,18.1, ,1.9,K,9.0, ,81, ,40, ,62,K,1.1,K,2.1, ,11.1,L
88,Cuyama,Central Coast Valleys,Jan 2024,,N,42.00, ,109, ,0.8, ,15.4, ,2.4,K,8.1, ,93, ,47, ,73, ,3.5, ,2.1,K,9.8,L
88,Cuyama,Central Coast Valleys,Feb 2024,,N,73.00, ,151, ,0.9,K,15.4, ,2.7,K,8.3, ,94, ,55, ,79,K,5.0,K,2.1,K,11.4,L
88,Cuyama,Central Coast Valleys,Mar 2024,,N,51.70, ,206, ,0.8, ,17.2, ,2.4, ,9.3, ,93, ,48, ,72, ,4.4, ,2.1,K,12.1,L
88,Cuyama,Central Coast Valleys,Apr 2024,,N,17.30, ,273, ,0.9, ,21.7,K,3.1, ,11.9, ,94, ,38, ,65, ,5.3, ,2.2,K,14.0,L
88,Cuyama,Central Coast Valleys,May 2024,,N,0.10,K,337,K,0.9,K,28.5, ,4.1,K,16.2,K,88,K,21,K,47, ,4.6, ,2.2,K,18.6,L
88,Cuyama,Central Coast Valleys,Jun 2024,,N,0.00, ,350,K,1.0, ,35.1,K,10.7, ,23.2, ,68, ,17, ,35, ,6.8, ,2.2, ,24.6, 
88,Cuyama,Central Coast Valleys,Jul 2024,,N,1.10, ,328, ,1.1, ,40.2,K,15.3, ,27.8,K,55, ,14, ,28,K,7.6,K,2.2, ,29.1,L
88,Cuyama,Central Coast Valleys,Aug 2024,,N,0.00, ,302, ,1.0, ,36.5,K,12.6, ,24.3, ,63, ,17, ,33, ,6.8, ,2.2, ,28.7, 
88,Cuyama,Central Coast Valleys,Sep 2024,,N,4.60,K,254,K,0.9,K,34.0, ,10.5, ,21.7,K,66,K,19,K,38,K,6.0,K,2.2,K,26.5,L
