Year,Visit,Site,Microsite,Rep,Size,ending.weight,,,,
2023,Spring,Tecopa,shrub,1,small,1.6,,,,
2023,Spring,Tecopa,open,1,small,0,,,,348
2023,Spring,Tecopa,shrub,2,med,0,,,,
2023,Spring,Tecopa,open,2,med,0,,,,
2023,Spring,Tecopa,shrub,3,large,1.9,,,,
2023,Spring,Tecopa,open,3,large,2,,,,
2023,Spring,Tecopa,shrub,6,small,1.7,,,,
2023,Spring,Tecopa,open,6,small,0,very fine dust left,,,
2023,Spring,Tecopa,shrub,7,med,1.5,,,,
2023,Spring,Tecopa,open,7,med,1.7,,,,
2023,Spring,Tecopa,shrub,8,large,0.9,,,,
2023,Spring,Tecopa,open,8,large,1.1,,,,
2023,Spring,Tecopa,shrub,11,small,0,,,,
2023,Spring,Tecopa,open,11,small,0,,,,
2023,Spring,Tecopa,shrub,12,med,0,,,,
2023,Spring,Tecopa,open,12,med,0,,,,
2023,Spring,Tecopa,shrub,13,large,1.8,,,,
2023,Spring,Tecopa,open,13,large,0.9,,,,
2023,Spring,Tecopa,shrub,16,small,1.7,,,,
2023,Spring,Tecopa,open,16,small,1.5,,,,
2023,Spring,Tecopa,shrub,17,med,2,,,,
2023,Spring,Tecopa,open,17,med,0.7,,,,
2023,Spring,Tecopa,shrub,18,large,1.7,,,,
2023,Spring,Tecopa,open,18,large,1.9,,,,
2023,Spring,Tecopa,shrub,21,small,0,,,,
2023,Spring,Tecopa,open,21,small,0.1,fine dust lef,,,
2023,Spring,Tecopa,shrub,22,med,0.8,,,,
2023,Spring,Tecopa,open,22,med,0.6,,,,
2023,Spring,Tecopa,shrub,23,large,0.2,,,,
2023,Spring,Tecopa,open,23,large,0,,,,
2023,Spring,Tecopa,shrub,26,small,0,,,,
2023,Spring,Tecopa,open,26,small,0,,,,
2023,Spring,Tecopa,shrub,27,med,0.9,,,,
2023,Spring,Tecopa,open,27,med,1.5,,,,
2023,Spring,Tecopa,shrub,28,large,0,,,,
2023,Spring,Tecopa,open,28,large,1.9,,,,
2023,Spring,Barstow,shrub,1,large,0,,,,
2023,Spring,Barstow,open,1,large,0,,,,
2023,Spring,Barstow,shrub,2,med,0,,,,
2023,Spring,Barstow,open,2,med,0,,,,
2023,Spring,Barstow,shrub,3,small,1.7,,,,
2023,Spring,Barstow,open,3,small,1.1,,,,
2023,Spring,Barstow,shrub,6,small,0,,,,
2023,Spring,Barstow,open,6,small,0,,,,
2023,Spring,Barstow,shrub,7,med,0,,,,
2023,Spring,Barstow,open,7,med,0,,,,
2023,Spring,Barstow,shrub,8,large,0,,,,
2023,Spring,Barstow,open,8,large,0.3,,,,
2023,Spring,Barstow,shrub,11,med,0.6,,,,
2023,Spring,Barstow,open,11,med,0,,,,
2023,Spring,Barstow,shrub,12,small,2,,,,
2023,Spring,Barstow,open,12,small,broken,,,,
2023,Spring,Barstow,shrub,13,large,0.1,,,,
2023,Spring,Barstow,open,13,large,0,,,,
2023,Spring,Barstow,shrub,16,small,0,,,,
2023,Spring,Barstow,open,16,small,0,,,,
2023,Spring,Barstow,shrub,17,med,0,,,,
2023,Spring,Barstow,open,17,med,0,,,,
2023,Spring,Barstow,shrub,18,large,1.6,,,,
2023,Spring,Barstow,open,18,large,0,,,,
2023,Spring,Barstow,shrub,21,small,0.9,,,,
2023,Spring,Barstow,open,21,small,0.5,,,,
2023,Spring,Barstow,shrub,22,med,1.7,,,,
2023,Spring,Barstow,open,22,med,0,,,,
2023,Spring,Barstow,shrub,25,large,1.2,,,,
2023,Spring,Barstow,open,25,large,1.3,,,,
2023,Spring,Barstow,shrub,26,large,0.4,,,,
2023,Spring,Barstow,open,26,large,0,,,,
2023,Spring,Barstow,shrub,27,small,1.1,,,,
2023,Spring,Barstow,open,27,small,0,,,,
2023,Spring,Barstow,shrub,28,med,0.1,,,,
2023,Spring,Barstow,open,28,med,0,some fine dust left,,,
2023,Spring,Yucca Grove,shrub,1,small,disturbed,,,,
2023,Spring,Yucca Grove,open,1,small,disturbed,,,,
2023,Spring,Yucca Grove,shrub,2,med,disturbed,,,,
2023,Spring,Yucca Grove,open,2,med,disturbed,,,,
2023,Spring,Yucca Grove,shrub,3,large,disturbed,,,,
2023,Spring,Yucca Grove,open,3,large,1.5,,,,
2023,Spring,Yucca Grove,shrub,6,med,2,,,,
2023,Spring,Yucca Grove,open,6,med,2,,,,
2023,Spring,Yucca Grove,shrub,7,med,disturbed,,,,
2023,Spring,Yucca Grove,open,7,small,0,,,,
2023,Spring,Yucca Grove,shrub,8,large,2,,,,
2023,Spring,Yucca Grove,open,8,large,2,,,,
2023,Spring,Yucca Grove,shrub,11,small,1.8,,,,
2023,Spring,Yucca Grove,open,11,small,1.5,,,,
2023,Spring,Yucca Grove,shrub,12,med,1.9,,,,
2023,Spring,Yucca Grove,open,12,med,2,,,,
2023,Spring,Yucca Grove,shrub,13,large,2,,,,
2023,Spring,Yucca Grove,open,13,large,1.9,,,,
2023,Spring,Yucca Grove,shrub,16,small,1.9,grass seeds inside,,,
2023,Spring,Yucca Grove,open,16,small,1.9,,,,
2023,Spring,Yucca Grove,shrub,17,med,disturbed,,,,
2023,Spring,Yucca Grove,open,17,med,1.8,,,,
2023,Spring,Yucca Grove,shrub,18,large,1.9,,,,
2023,Spring,Yucca Grove,open,18,large,1.8,,,,
2023,Spring,Yucca Grove,shrub,21,small,1.8,,,,
2023,Spring,Yucca Grove,open,21,small,1.9,,,,
2023,Spring,Yucca Grove,shrub,22,med,1.9,,,,
2023,Spring,Yucca Grove,open,22,med,2,,,,
2023,Spring,Yucca Grove,shrub,23,large,disturbed,,,,
2023,Spring,Yucca Grove,open,23,large,disturbed,,,,
2023,Spring,Yucca Grove,shrub,26,small,disturbed,,,,
2023,Spring,Yucca Grove,open,26,small,disturbed,,,,
2023,Spring,Yucca Grove,shrub,27,med,disturbed,,,,
2023,Spring,Yucca Grove,open,27,med,disturbed,,,,
2023,Spring,Yucca Grove,shrub,28,large,disturbed,,,,
2023,Spring,Yucca Grove,open,28,large,was never put out,,,,
2023,Spring,HOM,shrub,1,small,1.9,,,,
2023,Spring,HOM,open,1,small,2,,,,
2023,Spring,HOM,shrub,2,med,1.8,,,,
2023,Spring,HOM,open,2,med,1.4,,,,
2023,Spring,HOM,shrub,3,large,1.9,,,,
2023,Spring,HOM,open,3,large,1.3,,,,
2023,Spring,HOM,shrub,6,small,0,,,,
2023,Spring,HOM,open,6,small,1.9,,,,
2023,Spring,HOM,shrub,7,med,1.5,,,,
2023,Spring,HOM,open,7,med,1.9,,,,
2023,Spring,HOM,shrub,8,large,1.9,,,,
2023,Spring,HOM,open,8,large,1.9,,,,
2023,Spring,HOM,shrub,11,small,1.9,,,,
2023,Spring,HOM,open,11,small,1.9,,,,
2023,Spring,HOM,shrub,12,med,1.7,,,,
2023,Spring,HOM,open,12,med,2,,,,
2023,Spring,HOM,shrub,13,large,1.9,,,,
2023,Spring,HOM,open,13,large,1.9,,,,
2023,Spring,HOM,shrub,16,small,1.9,,,,
2023,Spring,HOM,open,16,small,0.5,,,,
2023,Spring,HOM,shrub,17,med,1.8,,,,
2023,Spring,HOM,open,17,med,0,,,,
2023,Spring,HOM,shrub,18,large,1.8,,,,
2023,Spring,HOM,open,18,large,1.9,,,,
2023,Spring,HOM,shrub,21,small,1.8,,,,
2023,Spring,HOM,open,21,small,1.9,,,,
2023,Spring,HOM,shrub,22,med,1.9,,,,
2023,Spring,HOM,open,22,med,1.6,,,,
2023,Spring,HOM,shrub,23,large,1.6,,,,
2023,Spring,HOM,open,23,large,0,,,,
2023,Spring,HOM,shrub,26,small,disturbed,,,,
2023,Spring,HOM,open,26,small,0,,,,
2023,Spring,HOM,shrub,27,med,was never put out,,,,
2023,Spring,HOM,open,27,med,was never put out,,,,
2023,Spring,HOM,shrub,28,large,was never put out,,,,
2023,Spring,HOM,open,28,large,was never put out,,,,
2023,Spring,Sheephole,shrub,1,small,disturbed,,,,
2023,Spring,Sheephole,open,1,small,disturbed,,,,
2023,Spring,Sheephole,shrub,2,med,disturbed,,,,
2023,Spring,Sheephole,open,2,med,disturbed,,,,
2023,Spring,Sheephole,shrub,3,large,disturbed,,,,
2023,Spring,Sheephole,open,3,large,disturbed,,,,
2023,Spring,Sheephole,shrub,6,small,disturbed,,,,
2023,Spring,Sheephole,open,6,small,disturbed,,,,
2023,Spring,Sheephole,shrub,7,med,disturbed,,,,
2023,Spring,Sheephole,open,7,med,disturbed,,,,
2023,Spring,Sheephole,shrub,8,large,disturbed,,,,
2023,Spring,Sheephole,open,8,large,0,,,,
2023,Spring,Sheephole,shrub,11,small,disturbed,,,,
2023,Spring,Sheephole,open,11,small,disturbed,,,,
2023,Spring,Sheephole,shrub,12,med,disturbed,,,,
2023,Spring,Sheephole,open,12,med,disturbed,,,,
2023,Spring,Sheephole,shrub,13,large,disturbed,,,,
2023,Spring,Sheephole,open,13,large,disturbed,,,,
2023,Spring,Sheephole,shrub,16,small,disturbed,,,,
2023,Spring,Sheephole,open,16,small,disturbed,,,,
2023,Spring,Sheephole,shrub,17,med,disturbed,,,,
2023,Spring,Sheephole,open,17,med,disturbed,,,,
2023,Spring,Sheephole,shrub,18,large,disturbed,,,,
2023,Spring,Sheephole,open,18,large,disturbed,,,,
2023,Spring,Sheephole,shrub,21,small,disturbed,,,,
2023,Spring,Sheephole,open,21,small,disturbed,,,,
2023,Spring,Sheephole,shrub,22,med,disturbed,,,,
2023,Spring,Sheephole,open,22,med,disturbed,,,,
2023,Spring,Sheephole,shrub,23,large,1.8,,,,
2023,Spring,Sheephole,open,23,large,1.6,,,,
2023,Spring,Sheephole,shrub,26,small,disturbed,,,,
2023,Spring,Sheephole,open,26,small,disturbed,,,,
2023,Spring,Sheephole,shrub,27,med,disturbed,,,,
2023,Spring,Sheephole,open,27,med,disturbed,,,,
2023,Spring,Sheephole,shrub,28,large,disturbed,,,,
2023,Spring,Sheephole,open,28,large,disturbed,,,,
2023,Spring,Cuyama 1,shrub,1,small,1.9,,,,
2023,Spring,Cuyama 1,open,1,small,1.9,,,,
2023,Spring,Cuyama 1,shrub,2,med,1.6,,,,
2023,Spring,Cuyama 1,open,2,med,1.9,,,,
2023,Spring,Cuyama 1,shrub,3,large,1.3,,,,
2023,Spring,Cuyama 1,open,3,large,2,,,,
2023,Spring,Cuyama 1,shrub,6,med,1.5,,,,
2023,Spring,Cuyama 1,open,6,med,1.9,,,,
2023,Spring,Cuyama 1,shrub,7,small,1.8,,,,
2023,Spring,Cuyama 1,open,7,small,1.8,,,,
2023,Spring,Cuyama 1,shrub,8,large,1.1,,,,
2023,Spring,Cuyama 1,open,8,large,1.6,,,,
2023,Spring,Cuyama 1,shrub,10,small,1.7,,,,
2023,Spring,Cuyama 1,open,10,small,1.9,,,,
2023,Spring,Cuyama 1,shrub,12,med,1.8,,,,
2023,Spring,Cuyama 1,open,12,med,2,,,,
2023,Spring,Cuyama 1,shrub,13,large,2,,,,
2023,Spring,Cuyama 1,open,13,large,1.9,,,,
2023,Spring,Cuyama 1,shrub,16,small,2,,,,
2023,Spring,Cuyama 1,open,16,small,1.9,,,,
2023,Spring,Cuyama 1,shrub,17,med,1.7,,,,
2023,Spring,Cuyama 1,open,17,med,1.9,,,,
2023,Spring,Cuyama 1,shrub,18,large,1.5,,,,
2023,Spring,Cuyama 1,open,18,large,1.7,,,,
2023,Spring,Cuyama 1,shrub,21,small,1.6,,,,
2023,Spring,Cuyama 1,open,21,small,1.9,,,,
2023,Spring,Cuyama 1,shrub,22,med,1.4,,,,
2023,Spring,Cuyama 1,open,22,med,1.9,,,,
2023,Spring,Cuyama 1,shrub,23,large,1.5,,,,
2023,Spring,Cuyama 1,open,23,large,1.9,,,,
2023,Spring,Cuyama 1,shrub,26,med,1.5,,,,
2023,Spring,Cuyama 1,open,26,med,2,,,,
2023,Spring,Cuyama 1,shrub,27,small,1.7,,,,
2023,Spring,Cuyama 1,open,27,small,1.9,,,,
2023,Spring,Cuyama 1,shrub,28,large,1.8,,,,
2023,Spring,Cuyama 1,open,28,large,1.8,,,,
2023,Spring,Cuyama 2,shrub,1,small,0,,,,
2023,Spring,Cuyama 2,open,1,small,1.7,,,,
2023,Spring,Cuyama 2,shrub,2,med,1.7,,,,
2023,Spring,Cuyama 2,open,2,med,disturbed,,,,
2023,Spring,Cuyama 2,shrub,3,large,1.9,,,,
2023,Spring,Cuyama 2,open,3,large,1.9,,,,
2023,Spring,Cuyama 2,shrub,6,small,1.7,,,,
2023,Spring,Cuyama 2,open,6,small,1.9,,,,
2023,Spring,Cuyama 2,shrub,7,med,1.8,,,,
2023,Spring,Cuyama 2,open,7,med,1.7,,,,
2023,Spring,Cuyama 2,shrub,8,large,2,,,,
2023,Spring,Cuyama 2,open,8,large,1.9,,,,
2023,Spring,Cuyama 2,shrub,11,small,1.9,,,,
2023,Spring,Cuyama 2,open,11,small,disturbed,,,,
2023,Spring,Cuyama 2,shrub,12,med,1.9,,,,
2023,Spring,Cuyama 2,open,12,med,1.7,,,,
2023,Spring,Cuyama 2,shrub,15,large,2,,,,
2023,Spring,Cuyama 2,open,15,large,disturbed,,,,
2023,Spring,Cuyama 2,shrub,16,small,1.9,,,,
