Site,Season,Year,Lat,Long,CRS,brome
Tecopa,spring,2023,35.851248,-116.1859712,EPSG 4326,nobrome
Tecopa,summer,2023,35.851248,-116.1859712,EPSG 4326,nobrome
Tecopa,spring,2024,35.851248,-116.1859712,EPSG 4326,nobrome
Yucca,spring,2023,35.4091487,-115.797826,EPSG 4326,brome
Yucca,summer,2023,35.4091487,-115.797826,EPSG 4326,brome
Yucca,spring,2024,35.4091487,-115.797826,EPSG 4326,brome
HOM,spring,2023,34.6959051,-115.6878718,EPSG 4326,nobrome
HOM,summer,2023,34.6959051,-115.6878718,EPSG 4326,nobrome
HOM,spring,2024,34.6959051,-115.6878718,EPSG 4326,nobrome
Sheephole,spring,2024,34.205115,-115.717752,EPSG 4326,nobrome
Sheephole,spring,2023,34.208961,-115.718824,EPSG 4326,nobrome
Sheephole,summer,2023,34.208961,-115.718824,EPSG 4326,nobrome
Barstow,spring,2023,35.0934275,-116.8345124,EPSG 4326,nobrome
Barstow,summer,2023,35.0934275,-116.8345124,EPSG 4326,nobrome
Barstow,spring,2024,35.0934275,-116.8345124,EPSG 4326,nobrome
Cuyama 1,spring,2023,34.848651,-119.484328,EPSG 4326,brome
Cuyama 1,summer,2023,34.848651,-119.484328,EPSG 4326,brome
Cuyama 1,spring,2024,34.848651,-119.484328,EPSG 4326,brome
Cuyama 2,spring,2023,34.8542,-119.487114,EPSG 4326,brome
Cuyama 2,summer,2023,34.8542,-119.487114,EPSG 4326,brome
Cuyama 2,spring,2024,34.8542,-119.487114,EPSG 4326,brome
